GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           45.1400     0.101297    0.751046    2.619152    
1           1         1           69.2100     0.103242    0.446783    2.502220    
1           2         1           45.3400     0.098022    0.854225    2.363243    
1           3         1           61.7200     0.066968    0.750769    3.629587    
1           4         1           69.4200     0.110235    0.521125    2.494428    
1           5         1           24.3300     0.053988    0.943645    3.074779    
1           6         1           63.7900     0.061204    0.636376    3.015275    
1           7         1           45.3100     0.081434    1.155236    2.904661    
2           0         1           54.7300     0.049194    0.274479    2.715266    
2           1         1           72.1700     0.091308    0.244952    2.379639    
2           2         1           57.0600     0.065010    0.328074    2.921948    
2           3         1           63.6400     0.035114    0.351980    3.666930    
2           4         1           74.8000     0.116639    0.260469    2.365201    
2           5         1           41.5100     0.032631    0.363402    3.064347    
2           6         1           69.5100     0.066533    0.240235    2.581155    
2           7         1           67.6200     0.041781    0.351583    3.057064    
3           0         1           68.0000     0.071674    0.148695    2.099555    
3           1         1           82.9900     0.088683    0.171103    2.201694    
3           2         1           67.2200     0.085791    0.183859    2.249486    
3           3         1           80.6400     0.053434    0.219748    2.802806    
3           4         1           82.6000     0.092511    0.155510    2.145928    
3           5         1           70.4700     0.042722    0.218976    2.843213    
3           6         1           70.5700     0.079392    0.145837    2.149600    
3           7         1           74.3200     0.072613    0.202880    2.450146    
4           0         1           75.4900     0.094539    0.101157    1.634552    
4           1         1           76.7800     0.096893    0.140292    1.985154    
4           2         1           83.1800     0.095542    0.117821    1.685945    
4           3         1           82.3600     0.071495    0.171432    2.360164    
4           4         1           85.5000     0.111091    0.140113    1.907395    
4           5         1           81.9800     0.058832    0.158903    2.297596    
4           6         1           83.2500     0.090693    0.112024    1.790159    
4           7         1           72.2000     0.088022    0.155382    2.203081    
5           0         1           75.7400     0.109201    0.089810    1.521464    
5           1         1           84.4700     0.108013    0.120193    1.772194    
5           2         1           82.0800     0.112034    0.100127    1.527978    
5           3         1           75.1400     0.079618    0.150471    2.259124    
5           4         1           90.1200     0.122973    0.111850    1.655067    
5           5         1           76.6500     0.073580    0.124838    1.892960    
5           6         1           89.0500     0.102700    0.098548    1.619254    
5           7         1           76.3200     0.087061    0.109100    1.801179    
6           0         1           78.0500     0.122509    0.081042    1.446465    
6           1         1           85.1800     0.116919    0.106215    1.572068    
6           2         1           83.7200     0.117047    0.082229    1.468009    
6           3         1           85.1300     0.088800    0.130853    2.004526    
6           4         1           86.0600     0.119009    0.096215    1.588957    
6           5         1           81.5300     0.080890    0.116461    1.846530    
6           6         1           93.4300     0.115840    0.079469    1.466295    
6           7         1           85.9200     0.113777    0.100430    1.523147    
7           0         1           85.3300     0.109412    0.066102    1.288953    
7           1         1           86.0500     0.126921    0.099127    1.504339    
7           2         1           89.1400     0.121503    0.101435    1.613844    
7           3         1           89.9700     0.088461    0.111745    1.877345    
7           4         1           90.7900     0.113100    0.075442    1.428811    
7           5         1           87.4400     0.087236    0.115322    1.814455    
7           6         1           89.2400     0.120140    0.068988    1.323535    
7           7         1           83.9400     0.116250    0.088723    1.557457    
8           0         1           83.8700     0.112964    0.057675    1.234228    
8           1         1           85.5200     0.133334    0.091544    1.461001    
8           2         1           88.3200     0.118272    0.073453    1.391514    
8           3         1           90.5800     0.100224    0.114231    1.837011    
8           4         1           87.6200     0.130597    0.069240    1.274123    
8           5         1           89.9100     0.102211    0.081755    1.431455    
8           6         1           93.0700     0.123841    0.063617    1.311541    
8           7         1           90.7500     0.122325    0.072153    1.293659    
