GlobalRound	GlobalAccuracy
1	60.8900
2	90.8700
3	94.3500
4	95.4000
5	96.0400
6	96.6600
7	96.9800
8	97.2800
9	97.3500
10	97.7300
11	97.8100
12	97.7100
13	97.8300
14	98.1500
15	97.9900
16	98.3600
17	98.2400
18	98.3700
19	98.4800
20	98.4800
21	98.4500
22	98.6300
23	98.6500
24	98.4300
25	98.4500
26	98.6800
27	98.6600
28	98.7100
29	98.7200
30	98.7000
31	98.7900
32	98.7800
33	98.7600
34	98.7800
35	98.6600
36	98.8000
37	98.8000
38	98.7900
39	98.8300
40	98.8800
41	98.8400
42	98.8500
43	98.8500
44	98.8500
45	98.8100
46	98.8100
47	98.8900
48	98.8700
49	98.8500
50	98.9000
51	98.8700
52	98.8800
53	98.8700
54	98.8600
55	98.9000
56	98.9300
57	98.9100
58	98.9000
59	98.9100
60	98.9200
61	98.9400
62	98.9000
63	98.9500
64	98.9300
65	98.9400
66	98.8800
67	98.8600
68	98.9400
69	98.9500
70	98.9500
71	98.9800
72	98.9100
73	98.9500
74	98.9300
75	98.9900
76	98.9400
77	99.0000
78	98.9600
79	98.9700
80	98.9500
81	98.9600
82	98.9700
83	99.0100
84	98.9800
85	98.9300
86	98.9900
87	98.9600
88	98.9900
89	98.9500
90	98.9900
91	99.0000
92	98.9600
93	98.9700
94	99.0100
95	98.9600
96	98.8800
97	98.9000
98	98.9400
99	98.9800
100	98.9900
101	99.0700
102	99.0100
103	98.9900
104	99.0400
105	98.9700
106	99.0000
107	99.0300
108	99.0500
109	99.0400
110	99.0700
111	98.9900
112	99.0600
113	99.0200
114	98.9900
115	98.9700
116	98.9200
117	99.0100
118	99.0100
119	98.9900
120	99.0300
121	99.0300
122	99.0400
123	99.0700
124	99.0000
125	99.0100
126	99.0600
127	99.0500
128	99.0000
129	99.0200
130	98.9500
131	99.0100
132	98.9900
133	99.0200
134	99.0800
135	99.0400
136	99.0000
137	99.0700
138	99.0400
139	99.0100
140	99.0100
141	99.0400
142	99.0400
143	99.0400
144	99.0800
145	99.0800
146	99.0200
147	99.0400
148	99.0500
149	99.0100
150	99.0100
151	99.0100
152	98.9600
153	99.0000
154	99.0300
155	99.0200
156	99.0000
157	99.0800
158	99.0600
159	99.0700
160	99.0600
161	99.0300
162	99.0200
163	99.0600
164	99.0400
165	99.0300
166	99.0800
167	99.0700
168	99.0800
169	99.0300
170	99.0600
171	99.0600
172	99.0200
173	99.0700
174	99.0200
175	99.0400
176	99.0800
177	99.0500
178	99.0400
179	99.0000
180	99.0300
181	99.0600
182	99.0100
183	99.0800
184	99.0600
185	99.0000
186	99.0600
187	99.0300
188	98.9800
189	99.0500
190	99.0600
191	98.9400
192	99.0200
193	99.0400
194	98.9400
195	99.0600
196	99.0200
197	99.0300
198	99.0100
199	98.9800
200	99.0200
201	99.0700
202	99.0200
203	99.0200
204	99.0600
205	99.0200
206	99.0300
207	98.9800
208	99.0400
209	99.0300
210	99.0400
211	99.0300
212	99.0800
213	99.0300
214	99.0500
215	99.0800
216	99.0500
217	99.0300
218	99.0500
219	99.0500
220	99.0600
221	99.0100
222	99.0200
223	99.0600
224	99.0800
225	99.0700
226	99.0500
227	99.0300
228	99.0300
229	99.0700
230	99.0500
231	99.0100
232	99.0400
233	98.9600
234	98.9700
235	98.9700
236	99.0100
237	99.0100
238	99.0300
239	98.9300
240	98.9900
241	99.0600
242	99.0600
243	99.0600
244	99.0700
245	99.0800
246	98.9600
247	99.0200
248	99.0000
249	99.0500
250	99.0400
251	99.0900
252	99.0200
253	99.0100
254	99.0000
255	99.0700
256	99.0500
257	99.0100
258	99.0100
259	99.0600
260	99.0500
261	99.0800
262	99.0700
263	99.0900
264	98.9800
265	99.0400
266	99.0000
267	99.0400
268	99.0200
269	99.0500
270	99.0500
271	99.0300
272	99.0700
273	99.0300
274	99.0700
275	99.0700
276	99.0500
277	99.0800
278	99.0900
279	99.0500
280	99.0400
281	99.0200
282	99.0900
283	99.0700
284	99.0700
285	99.0600
286	99.0300
287	99.0200
288	99.0300
289	99.0400
290	99.0600
291	99.0600
292	99.0500
293	99.0000
294	99.0300
295	99.0200
296	99.0100
297	99.0300
298	99.0400
299	99.0100
300	99.0500
