GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           93.5800     0.113382    0.537375    3.007454    
1           1         1           93.6400     0.121740    0.576934    2.934527    
1           2         1           92.9000     0.099966    0.607531    3.306848    
1           3         1           93.5000     0.116209    0.556085    3.073823    
1           4         1           92.5200     0.091324    0.656231    3.417122    
2           0         1           96.4300     0.114148    0.227946    2.301200    
2           1         1           94.8300     0.123521    0.233231    2.307576    
2           2         1           95.9000     0.122148    0.236537    2.266111    
2           3         1           95.9800     0.117546    0.231574    2.304772    
2           4         1           95.0800     0.109656    0.222826    2.326199    
3           0         1           96.1000     0.155296    0.149482    1.722757    
3           1         1           96.4000     0.141867    0.150153    1.788286    
3           2         1           95.8400     0.145986    0.152581    1.781986    
3           3         1           96.6300     0.162944    0.170009    1.812268    
3           4         1           97.0200     0.144919    0.154756    1.827230    
4           0         1           97.0000     0.164464    0.113060    1.485424    
4           1         1           97.8300     0.173566    0.115718    1.471359    
4           2         1           97.0800     0.164100    0.104614    1.449085    
4           3         1           97.3600     0.163408    0.105400    1.424346    
4           4         1           97.5200     0.164240    0.118043    1.528397    
5           0         1           97.6600     0.170543    0.089326    1.290411    
5           1         1           97.2900     0.188330    0.097012    1.343908    
5           2         1           97.7700     0.184997    0.105145    1.380026    
5           3         1           97.7800     0.164598    0.100191    1.423558    
5           4         1           98.1500     0.169357    0.094987    1.368617    
6           0         1           97.6700     0.185780    0.081159    1.182675    
6           1         1           97.9700     0.191978    0.094553    1.282205    
6           2         1           97.4100     0.191546    0.091979    1.266792    
6           3         1           97.3500     0.181344    0.089494    1.254437    
6           4         1           97.9300     0.185894    0.088181    1.306696    
7           0         1           97.7100     0.182899    0.073589    1.169285    
7           1         1           97.5000     0.172063    0.076782    1.191171    
7           2         1           98.1100     0.190338    0.073616    1.117632    
7           3         1           97.9500     0.189623    0.066741    1.108178    
7           4         1           98.2400     0.177708    0.074072    1.184631    
8           0         1           98.0600     0.174911    0.063001    1.080022    
8           1         1           98.2000     0.187632    0.060252    1.053194    
8           2         1           98.3700     0.196620    0.056540    0.988591    
8           3         1           96.3300     0.181592    0.067777    1.091429    
8           4         1           97.8200     0.181161    0.064037    1.120053    
9           0         1           98.1000     0.185510    0.058800    1.050721    
9           1         1           98.5600     0.187098    0.057024    0.994016    
9           2         1           97.8900     0.179843    0.062453    1.056969    
9           3         1           97.7300     0.200629    0.059469    1.029593    
9           4         1           98.1300     0.189777    0.064285    1.112360    
10          0         1           98.5800     0.184756    0.047662    0.960448    
10          1         1           98.3600     0.173874    0.052727    0.981774    
10          2         1           98.4100     0.201060    0.056411    1.016925    
10          3         1           98.1100     0.197432    0.058537    1.014949    
10          4         1           98.4300     0.189431    0.054901    1.013981    
11          0         1           98.1400     0.218298    0.052009    0.957950    
11          1         1           98.4300     0.202013    0.048438    0.921336    
11          2         1           98.3900     0.208583    0.054587    0.960048    
11          3         1           98.5200     0.230956    0.048204    0.921304    
11          4         1           98.3600     0.179527    0.057760    1.034036    
12          0         1           98.5500     0.198393    0.046999    0.951735    
12          1         1           98.3500     0.203074    0.052930    0.998203    
12          2         1           98.7900     0.209882    0.044330    0.880126    
12          3         1           98.4700     0.201419    0.050483    0.984101    
12          4         1           98.6600     0.163671    0.039482    0.903312    
13          0         1           98.5700     0.203296    0.042357    0.870910    
13          1         1           97.2700     0.179065    0.046471    0.969559    
13          2         1           98.6000     0.193443    0.044474    0.933742    
13          3         1           98.5200     0.188703    0.046778    0.939707    
13          4         1           98.7800     0.165112    0.039369    0.914060    
14          0         1           98.8100     0.195223    0.042440    0.902423    
14          1         1           98.0000     0.176491    0.038360    0.921711    
14          2         1           98.2400     0.205434    0.045380    0.889555    
14          3         1           98.3000     0.199606    0.043115    0.880959    
14          4         1           98.6800     0.166826    0.041565    0.924408    
15          0         1           98.8500     0.189697    0.037103    0.844056    
15          1         1           98.9000     0.229875    0.038858    0.894510    
15          2         1           98.6900     0.236747    0.043308    0.871522    
15          3         1           98.5700     0.262388    0.039384    0.808404    
15          4         1           98.7600     0.198662    0.033308    0.758246    
16          0         1           98.6200     0.244653    0.035170    0.843821    
16          1         1           98.8400     0.237304    0.035610    0.830423    
16          2         1           98.7600     0.260553    0.031611    0.803733    
16          3         1           98.8200     0.225288    0.039779    0.840915    
16          4         1           98.7100     0.180809    0.040893    0.925388    
17          0         1           98.6000     0.232133    0.038038    0.878353    
17          1         1           98.7800     0.180287    0.036720    0.866960    
17          2         1           98.6900     0.203258    0.029187    0.734158    
17          3         1           98.7600     0.198410    0.036389    0.846414    
17          4         1           98.6100     0.184666    0.034473    0.857786    
18          0         1           98.9900     0.219206    0.031660    0.791875    
18          1         1           98.6000     0.263972    0.031776    0.814159    
18          2         1           98.7300     0.188458    0.041823    0.900192    
18          3         1           98.4100     0.180715    0.041120    0.904760    
18          4         1           98.8800     0.212304    0.037455    0.866888    
19          0         1           98.3300     0.207115    0.042696    0.886614    
19          1         1           98.6700     0.224802    0.032474    0.803535    
19          2         1           98.7900     0.202860    0.040438    0.863218    
19          3         1           98.4600     0.182793    0.030207    0.772137    
19          4         1           98.8000     0.195184    0.036987    0.869600    
20          0         1           98.7800     0.230428    0.031754    0.796607    
20          1         1           98.8800     0.220512    0.037750    0.841352    
20          2         1           98.8900     0.281042    0.027111    0.750800    
20          3         1           98.6800     0.237446    0.037801    0.839075    
20          4         1           98.9500     0.245600    0.025578    0.717432    
21          0         1           98.4900     0.265179    0.031300    0.798520    
21          1         1           98.8200     0.230738    0.034682    0.824867    
21          2         1           98.8000     0.256145    0.036662    0.926014    
21          3         1           98.8100     0.219646    0.035099    0.805501    
21          4         1           98.9000     0.267029    0.028984    0.803626    
22          0         1           98.7600     0.269212    0.031597    0.755951    
22          1         1           98.6500     0.235529    0.029076    0.786083    
22          2         1           98.4700     0.259994    0.033781    0.801698    
22          3         1           98.9700     0.332479    0.029206    0.753010    
22          4         1           98.6800     0.206425    0.032497    0.848507    
23          0         1           98.8800     0.191001    0.030816    0.819115    
23          1         1           98.9600     0.320400    0.032427    0.841870    
23          2         1           96.3100     0.208699    0.028965    0.786123    
23          3         1           98.9600     0.195525    0.031070    0.810712    
23          4         1           98.8500     0.238359    0.030788    0.799146    
24          0         1           98.8200     0.305851    0.029326    0.775274    
24          1         1           98.9600     0.210635    0.027960    0.768924    
24          2         1           99.0200     0.218165    0.024615    0.734321    
24          3         1           98.5600     0.282216    0.039954    0.907032    
24          4         1           98.9100     0.189060    0.031263    0.798544    
25          0         1           98.9600     0.294591    0.028218    0.767512    
25          1         1           98.9100     0.308897    0.033386    0.782165    
25          2         1           99.0000     0.336050    0.021383    0.659655    
25          3         1           99.0100     0.290120    0.026794    0.778315    
25          4         1           98.9000     0.213441    0.031537    0.839727    
26          0         1           98.8800     0.296751    0.030162    0.794473    
26          1         1           98.9600     0.214493    0.027169    0.765006    
26          2         1           99.0200     0.364792    0.027287    0.759160    
26          3         1           99.1200     0.343738    0.026725    0.734451    
26          4         1           99.0100     0.253755    0.023724    0.748385    
27          0         1           99.1100     0.245379    0.026225    0.770538    
27          1         1           98.9500     0.304796    0.029331    0.805473    
27          2         1           98.8900     0.291273    0.025016    0.742172    
27          3         1           98.8200     0.218529    0.031093    0.816287    
27          4         1           98.8800     0.325909    0.031783    0.840233    
28          0         1           98.7400     0.252602    0.026869    0.783770    
28          1         1           99.0200     0.295989    0.025872    0.754487    
28          2         1           98.7400     0.193950    0.028671    0.792450    
28          3         1           98.2500     0.419268    0.028246    0.782040    
28          4         1           98.9000     0.273817    0.025506    0.795995    
29          0         1           98.9600     0.385281    0.029300    0.851318    
29          1         1           98.7900     0.188879    0.032931    0.886823    
29          2         1           98.4200     0.282621    0.028022    0.791807    
29          3         1           99.0300     0.209937    0.029579    0.789708    
29          4         1           99.0600     0.284005    0.025570    0.775705    
30          0         1           98.9700     0.268630    0.027047    0.794179    
30          1         1           98.8000     0.327235    0.027387    0.804608    
30          2         1           98.8700     0.235218    0.032130    0.847065    
30          3         1           98.7400     0.197357    0.032603    0.868972    
30          4         1           99.0800     0.187653    0.024159    0.807747    
31          0         1           98.9300     0.389683    0.030882    0.872819    
31          1         1           99.0800     0.242873    0.026288    0.743147    
31          2         1           98.9800     0.355272    0.026449    0.799569    
31          3         1           98.9000     0.363702    0.025234    0.779312    
31          4         1           98.9600     0.174562    0.025386    0.833421    
32          0         1           99.0300     0.423776    0.023936    0.724517    
32          1         1           98.9800     0.410036    0.026144    0.777793    
32          2         1           98.6700     0.166549    0.033842    0.898524    
32          3         1           98.9800     0.330391    0.025827    0.811918    
32          4         1           99.0400     0.259847    0.022711    0.757140    
33          0         1           99.0500     0.278256    0.027706    0.804133    
33          1         1           98.9300     0.267254    0.028152    0.843949    
33          2         1           98.9900     0.355813    0.023412    0.708055    
33          3         1           98.9700     0.200919    0.024305    0.755230    
33          4         1           98.9300     0.307158    0.025013    0.731502    
34          0         1           98.8800     0.395171    0.025090    0.778261    
34          1         1           99.0900     0.232661    0.026833    0.817877    
34          2         1           99.0000     0.277972    0.028941    0.776492    
34          3         1           99.0200     0.168089    0.030220    0.888759    
34          4         1           99.0500     0.407689    0.020918    0.717725    
35          0         1           99.0400     0.440216    0.025747    0.809136    
35          1         1           98.9600     0.407933    0.026299    0.803300    
35          2         1           98.8700     0.370140    0.021014    0.717326    
35          3         1           99.0600     0.446691    0.022737    0.730302    
35          4         1           99.1000     0.423257    0.020106    0.693376    
36          0         1           99.0000     0.223037    0.030674    0.900642    
36          1         1           98.8900     0.228816    0.030899    0.917030    
36          2         1           98.8600     0.313444    0.024320    0.741244    
36          3         1           98.7600     0.390796    0.026777    0.776863    
36          4         1           98.9500     0.273368    0.023176    0.793144    
37          0         1           99.0000     0.271495    0.024299    0.765635    
37          1         1           99.0400     0.253779    0.023168    0.741859    
37          2         1           99.0500     0.368240    0.017757    0.599641    
37          3         1           99.0400     0.271896    0.021095    0.712637    
37          4         1           98.9700     0.296124    0.022896    0.725821    
38          0         1           99.1600     0.487593    0.027356    0.847298    
38          1         1           99.0200     0.559357    0.029434    0.895831    
38          2         1           98.8400     0.462910    0.029193    0.891070    
38          3         1           99.0400     0.404399    0.025539    0.779032    
38          4         1           99.0800     0.343869    0.021564    0.765381    
39          0         1           99.0300     0.272983    0.027608    0.830996    
39          1         1           98.4400     0.240888    0.027790    0.853823    
39          2         1           98.8900     0.183842    0.021850    0.787507    
39          3         1           99.0800     0.292328    0.025024    0.805136    
39          4         1           98.7900     0.265492    0.031032    0.909457    
40          0         1           99.0900     0.562478    0.026963    0.763368    
40          1         1           99.1400     0.432620    0.024922    0.804030    
40          2         1           98.8900     0.276145    0.021545    0.672872    
40          3         1           99.1000     0.298498    0.024559    0.817191    
40          4         1           99.0200     0.209262    0.020718    0.713307    
41          0         1           99.0000     0.461007    0.026797    0.883664    
41          1         1           99.1700     0.352539    0.024796    0.802066    
41          2         1           99.0600     0.235300    0.029659    0.849949    
41          3         1           99.1600     0.253939    0.024505    0.779221    
41          4         1           98.9500     0.331632    0.021845    0.768805    
42          0         1           98.9500     0.274301    0.026697    0.863673    
42          1         1           99.0400     0.506567    0.028194    0.819069    
42          2         1           99.0700     0.419567    0.017744    0.643184    
42          3         1           98.8800     0.238110    0.023632    0.768289    
42          4         1           99.0700     0.434260    0.021355    0.719842    
43          0         1           99.0400     0.607889    0.027028    0.868245    
43          1         1           99.1500     0.477519    0.023160    0.780894    
43          2         1           99.0400     0.489896    0.019938    0.702783    
43          3         1           98.7500     0.354841    0.025520    0.793679    
43          4         1           98.8000     0.380399    0.031707    0.964497    
44          0         1           99.0500     0.412375    0.026669    0.862390    
44          1         1           99.1300     0.360996    0.026368    0.823946    
44          2         1           99.0300     0.420640    0.020577    0.731567    
44          3         1           98.7700     0.254235    0.028561    0.851929    
44          4         1           99.0200     0.294152    0.021956    0.771662    
45          0         1           98.7200     0.320540    0.029456    0.894573    
45          1         1           98.7300     0.862059    0.026821    0.862290    
45          2         1           99.0800     0.301689    0.019261    0.666065    
45          3         1           99.1400     0.582808    0.020661    0.673912    
45          4         1           99.0900     0.310442    0.020337    0.720319    
46          0         1           99.0500     0.228930    0.025302    0.788491    
46          1         1           98.9200     0.188707    0.030264    0.912042    
46          2         1           99.1500     0.282762    0.017918    0.666567    
46          3         1           99.0500     0.504665    0.022793    0.780276    
46          4         1           99.1000     0.295637    0.020541    0.740322    
47          0         1           98.8200     0.361554    0.022049    0.811668    
47          1         1           99.0700     0.447805    0.027226    0.841436    
47          2         1           99.0800     0.595805    0.024374    0.790780    
47          3         1           99.0700     0.359225    0.026609    0.759462    
47          4         1           99.0600     0.312031    0.020209    0.716106    
48          0         1           98.8400     0.520694    0.029388    0.846193    
48          1         1           99.1400     0.353157    0.023242    0.780579    
48          2         1           99.1600     0.423914    0.017727    0.635973    
48          3         1           98.4700     0.395208    0.022468    0.717862    
48          4         1           99.1300     0.311269    0.020245    0.724786    
49          0         1           98.9600     0.336325    0.029433    0.879564    
49          1         1           99.1500     0.367253    0.023034    0.768544    
49          2         1           99.0100     0.275828    0.020660    0.728892    
49          3         1           99.1400     0.211331    0.026485    0.885954    
49          4         1           99.1300     0.329767    0.021365    0.731660    
50          0         1           99.0200     0.223245    0.021673    0.768080    
50          1         1           99.0200     0.289319    0.026361    0.817983    
50          2         1           98.9600     0.443816    0.018228    0.640761    
50          3         1           99.1500     0.279968    0.021154    0.706822    
50          4         1           99.0400     0.429720    0.019805    0.704826    
51          0         1           99.0100     0.374035    0.022039    0.736563    
51          1         1           99.0500     0.315204    0.034345    1.029128    
51          2         1           99.1000     0.447625    0.023894    0.705586    
51          3         1           99.0800     0.293903    0.026829    0.810170    
51          4         1           98.8800     0.203162    0.026748    0.858521    
52          0         1           98.8000     0.415179    0.022502    0.876854    
52          1         1           99.1900     0.757828    0.022589    0.754277    
52          2         1           99.1300     0.534701    0.017278    0.624748    
