GlobalRound	GlobalAccuracy
1	93.0700
2	96.9800
3	97.9100
4	98.2100
5	98.4800
6	98.5300
7	98.6400
8	98.7500
9	98.7500
10	98.8100
11	98.8700
12	98.9000
13	98.9400
14	98.9100
15	99.0400
16	99.0100
17	99.0100
18	99.0400
19	99.0100
20	99.0200
21	99.0300
22	99.0500
23	99.0100
24	99.0200
25	99.0600
26	99.1600
27	99.1500
28	99.1600
29	99.0900
30	99.1100
31	99.1200
32	99.1000
33	99.0700
34	99.1200
35	99.1100
36	99.1200
37	99.0800
38	99.1000
39	99.0800
40	99.1300
41	99.0900
42	99.1100
43	99.1200
44	99.1400
45	99.1000
46	99.1300
47	99.1000
48	99.1500
49	99.1500
50	99.0800
51	99.1700
52	99.2100
53	99.0900
54	99.1500
55	99.0600
56	99.1100
57	99.1300
58	99.1300
59	99.1900
60	99.1000
61	99.1300
62	99.1400
63	99.1500
64	99.1900
65	99.1200
66	99.1400
67	99.1700
68	99.1500
69	99.1200
70	99.1400
71	99.1600
72	99.1300
73	99.1600
74	99.1600
75	99.1700
76	99.1800
77	99.1700
78	99.1700
79	99.1300
80	99.1800
81	99.1600
82	99.1600
83	99.1300
84	99.1600
85	99.1600
86	99.1600
87	99.1700
88	99.1900
89	99.1300
90	99.1200
91	99.1400
92	99.1800
93	99.1500
94	99.1300
95	99.1100
96	99.1000
97	99.1800
98	99.1000
99	99.1100
100	99.1700
101	99.1400
102	99.1800
103	99.2000
104	99.1500
105	99.0900
106	99.1600
107	99.1200
108	99.1800
109	99.2000
110	99.1900
111	99.1800
112	99.1800
113	99.1500
114	99.1600
115	99.1900
116	99.1700
117	99.1900
118	99.1400
119	99.1400
120	99.1300
121	99.1600
122	99.1700
123	99.1800
124	99.1800
125	99.1500
126	99.1200
127	99.1800
128	99.1800
129	99.1700
130	99.1700
131	99.1300
132	99.1400
133	99.1000
134	99.1500
135	99.1600
136	99.1500
137	99.1800
138	99.1800
139	99.2000
140	99.1900
141	99.1800
142	99.1800
143	99.1500
144	99.1800
145	99.1300
146	99.1400
147	99.1400
148	99.1500
149	99.1700
150	99.1900
151	99.1500
152	99.1300
153	99.1700
154	99.1300
155	99.1500
156	99.1400
157	99.1400
158	99.1300
159	99.1300
160	99.1200
161	99.1200
162	99.1200
163	99.1600
164	99.1600
165	99.1500
166	99.1500
167	99.1500
168	99.1500
169	99.1500
170	99.1500
171	99.1500
172	99.1500
173	99.1500
174	99.1500
175	99.1500
176	99.1500
177	99.1500
178	99.1500
179	99.1600
180	99.1600
181	99.1500
182	99.1500
183	99.1500
184	99.1500
185	99.1400
186	99.1400
187	99.1500
188	99.1500
189	99.1500
190	99.1400
191	99.1400
192	99.1500
193	99.1400
194	99.1300
195	99.1400
196	99.1300
197	99.1300
198	99.1400
199	99.1200
200	99.1600
201	99.1300
202	99.1400
203	99.1400
204	99.1400
205	99.1400
206	99.1400
207	99.1400
208	99.1400
209	99.1400
210	99.1400
211	99.1400
212	99.1300
213	99.1400
214	99.1400
215	99.1400
216	99.1400
217	99.1400
218	99.1400
219	99.1400
220	99.1400
221	99.1400
222	99.1400
223	99.1400
224	99.1400
225	99.1400
226	99.1200
227	99.1400
228	99.1400
229	99.1400
230	99.1400
231	99.1400
232	99.1400
233	99.1400
234	99.1400
235	99.1400
236	99.1400
237	99.1400
238	99.1400
239	99.1400
240	99.1400
241	99.1400
242	99.1400
243	99.1500
244	99.1500
245	99.1600
246	99.1500
247	99.1600
248	99.1600
249	99.1500
250	99.2000
251	99.1600
252	99.1700
253	99.1600
254	99.1500
255	99.1800
256	99.1900
257	99.2000
258	99.1900
259	99.1500
260	99.1700
261	99.1700
262	99.1800
263	99.1900
264	99.1400
265	99.1500
266	99.1500
267	99.1600
268	99.1600
269	99.1400
270	99.1200
271	99.1300
272	99.1500
273	99.1500
274	99.1500
275	99.1500
276	99.1800
277	99.1600
278	99.1400
279	99.1400
280	99.1300
281	99.1700
282	99.1600
283	99.1600
284	99.1600
285	99.1600
286	99.1600
287	99.1600
288	99.1600
289	99.1400
290	99.1200
291	99.1200
292	99.1500
293	99.1500
294	99.1400
295	99.1400
296	99.1400
297	99.1400
298	99.1400
299	99.1400
300	99.1400
