GlobalRound	GlobalAccuracy
1	20.5500
2	28.4600
3	29.1500
4	23.8500
5	34.1500
6	40.1900
7	43.8800
8	45.5600
9	47.0000
10	46.9600
11	47.4500
12	46.5500
13	47.3100
14	47.5000
15	48.2600
16	48.3300
17	48.7400
18	49.6500
19	49.5300
20	50.0300
21	50.2300
22	50.9200
23	51.5900
24	51.7400
25	50.8700
26	51.9800
27	52.5900
28	52.1000
29	51.3200
30	52.7400
31	53.0900
32	53.2100
33	53.5400
34	53.8200
35	54.2300
36	54.0400
37	54.8200
38	54.5400
39	54.5900
40	55.7300
41	56.8100
42	55.3200
43	55.0600
44	55.4600
45	56.9500
46	56.3400
47	56.7300
48	57.2000
49	57.3600
50	57.2700
51	57.5500
52	57.3900
53	57.1700
54	56.7800
55	57.8200
56	58.1000
57	58.4300
58	58.6200
59	58.4100
60	58.7500
61	58.9700
62	59.4900
63	58.1500
64	58.7500
65	58.6100
66	59.0500
67	58.7800
68	59.7100
69	59.1700
70	58.5600
71	60.2500
72	59.8900
73	59.8500
74	60.5000
75	60.5500
76	60.6600
77	60.3900
78	60.1500
79	61.5600
80	60.1300
81	59.7800
82	60.3500
83	61.0000
84	61.9300
85	61.0200
86	61.1600
87	61.8600
88	61.9800
89	61.0000
90	61.2800
91	61.0600
92	61.8600
93	62.0300
94	62.5600
95	61.2700
96	61.9100
97	62.1000
98	61.4000
99	62.8500
100	63.2800
