GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         10          9.7400      0.004148    0.000000    0.007591    
1           1         10          11.3500     0.000277    0.000001    0.002532    
1           2         10          8.9200      0.000246    0.000001    0.003568    
1           3         10          9.8000      0.000283    0.000000    0.003664    
1           4         10          10.2800     0.002175    0.000000    0.003194    
1           5         10          10.3200     0.000230    0.000000    0.003721    
1           6         10          10.0900     0.000000    0.000000    0.007522    
1           7         10          9.8200      0.000831    0.000000    0.003116    
1           8         10          10.1000     0.003957    0.000000    0.007073    
1           9         10          9.5800      0.000263    0.000000    0.003128    
2           0         10          9.7400      0.000212    0.000001    0.070460    
2           1         10          11.3500     0.000223    0.000001    0.070271    
2           2         10          8.9200      0.000186    0.000001    0.090842    
2           3         10          9.8000      0.000144    0.000001    0.075465    
2           4         10          10.2800     0.000281    0.000001    0.052624    
2           5         10          10.3200     0.000264    0.000001    0.093373    
2           6         10          10.0900     0.000311    0.000001    0.836459    
2           7         10          9.8200      0.000124    0.000002    0.061782    
2           8         10          10.1000     0.000229    0.000001    0.044088    
2           9         10          9.5800      0.000227    0.000001    0.072188    
3           0         10          9.7400      0.000238    0.000001    0.317210    
3           1         10          11.3500     0.000193    0.000002    0.183917    
3           2         10          8.9200      0.000167    0.000001    0.238136    
3           3         10          9.8000      0.000211    0.000001    0.230866    
3           4         10          10.2800     0.000240    0.000001    0.145059    
3           5         10          10.3200     0.000273    0.000001    0.194800    
3           6         10          10.0900     0.000249    0.000001    0.140613    
3           7         10          9.8200      0.000227    0.000001    0.330823    
3           8         10          10.1000     0.000301    0.000001    0.221659    
3           9         10          9.5800      0.000255    0.000001    0.292393    
4           0         10          9.7400      0.000256    0.000001    0.248671    
4           1         10          11.3500     0.000258    0.000001    0.193787    
4           2         10          8.9200      0.000168    0.000001    0.360822    
4           3         10          9.8000      0.000189    0.000001    0.227544    
4           4         10          10.2800     0.000288    0.000001    0.151525    
4           5         10          10.3200     0.000328    0.000001    0.256361    
4           6         10          10.0900     0.000299    0.000001    0.238687    
4           7         10          9.8200      0.000229    0.000001    0.305291    
4           8         10          10.1000     0.000285    0.000001    0.284388    
4           9         10          9.5800      0.000202    0.000001    0.293156    
5           0         10          9.7400      0.000220    0.000001    0.275365    
5           1         10          11.3500     0.000184    0.000002    0.197183    
5           2         10          8.9200      0.000276    0.000001    0.357392    
5           3         10          9.8000      0.000158    0.000001    0.271463    
5           4         10          10.2800     0.000173    0.000001    0.274346    
5           5         10          10.3200     0.000213    0.000001    0.211521    
5           6         10          10.0900     0.000177    0.000001    0.209807    
5           7         10          9.8200      0.000238    0.000001    0.261690    
5           8         10          10.1000     0.000192    0.000001    0.218698    
5           9         10          9.5800      0.000347    0.000001    0.241147    
6           0         10          9.7400      0.000183    0.000001    0.264971    
6           1         10          11.3500     0.000287    0.000001    0.163329    
6           2         10          8.9200      0.000123    0.000001    0.373469    
6           3         10          9.8000      0.000239    0.000001    0.257176    
6           4         10          10.2800     0.000365    0.000001    0.317292    
6           5         10          10.3200     0.000219    0.000001    0.243268    
6           6         10          10.0900     0.000167    0.000001    0.300156    
6           7         10          9.8200      0.000180    0.000001    0.250662    
6           8         10          10.1000     0.000132    0.000001    0.271065    
6           9         10          9.5800      0.000132    0.000001    0.272720    
7           0         10          9.7400      0.000180    0.000001    0.236245    
7           1         10          11.3500     0.000204    0.000002    0.168606    
7           2         10          8.9200      0.000237    0.000001    0.298409    
7           3         10          9.8000      0.000159    0.000001    0.166633    
7           4         10          10.2800     0.000197    0.000001    0.128841    
7           5         10          10.3200     0.000180    0.000001    0.262509    
7           6         10          10.0900     0.000211    0.000001    0.203674    
7           7         10          9.8200      0.000192    0.000001    0.560313    
7           8         10          10.1000     0.000134    0.000001    0.434218    
7           9         10          9.5800      0.000138    0.000001    0.216340    
8           0         10          9.7400      0.000166    0.000001    0.317111    
8           1         10          11.3500     0.000186    0.000001    0.210152    
8           2         10          8.9200      0.000131    0.000001    0.268106    
8           3         10          9.8000      0.000183    0.000001    0.272835    
8           4         10          10.2800     0.000221    0.000001    0.217738    
8           5         10          10.3200     0.000206    0.000000    0.272571    
8           6         10          10.0900     0.000184    0.000001    0.285475    
8           7         10          9.8200      0.000221    0.000001    0.215968    
8           8         10          10.1000     0.000149    0.000001    0.423457    
8           9         10          9.5800      0.000297    0.000001    0.186631    
9           0         10          9.7400      0.000158    0.000001    0.320104    
9           1         10          11.3500     0.000241    0.000001    0.190753    
9           2         10          8.9200      0.000104    0.000001    0.308324    
9           3         10          9.8000      0.000136    0.000001    0.170902    
9           4         10          10.2800     0.000233    0.000001    0.278482    
9           5         10          10.3200     0.000110    0.000001    0.215978    
9           6         10          10.0900     0.000208    0.000001    0.285672    
9           7         10          9.8200      0.000163    0.000001    0.154719    
9           8         10          10.1000     0.000126    0.000001    0.191432    
9           9         10          9.5800      0.000128    0.000001    0.179687    
10          0         10          9.7400      0.000145    0.000001    0.258584    
10          1         10          11.3500     0.000106    0.000002    0.136964    
10          2         10          8.9200      0.000151    0.000001    0.363045    
10          3         10          9.8000      0.000195    0.000001    0.300943    
10          4         10          10.2800     0.000122    0.000001    0.226959    
10          5         10          10.3200     0.000117    0.000001    0.373106    
10          6         10          10.0900     0.000191    0.000001    0.232342    
10          7         10          9.8200      0.000277    0.000000    0.257072    
10          8         10          10.1000     0.000174    0.000001    0.197218    
10          9         10          9.5800      0.000110    0.000001    0.319167    
11          0         10          9.7400      0.000194    0.000000    0.413473    
11          1         10          11.3500     0.000176    0.000002    0.307470    
11          2         10          8.9200      0.000110    0.000001    0.255984    
11          3         10          9.8000      0.000141    0.000001    0.267175    
11          4         10          10.2800     0.000265    0.000001    0.384237    
11          5         10          10.3200     0.000167    0.000000    0.516385    
11          6         10          10.0900     0.000136    0.000001    0.222434    
11          7         10          9.8200      0.000121    0.000001    0.346547    
11          8         10          10.1000     0.000168    0.000000    0.291440    
11          9         10          9.5800      0.000078    0.000001    0.562134    
12          0         10          9.7400      0.000204    0.000001    0.272713    
12          1         10          11.3500     0.000165    0.000001    0.240348    
12          2         10          8.9200      0.000129    0.000001    0.452325    
12          3         10          9.8000      0.000109    0.000001    0.399763    
12          4         10          10.2800     0.000245    0.000000    0.159018    
12          5         10          10.3200     0.000163    0.000000    0.257560    
12          6         10          10.0900     0.000136    0.000000    0.291730    
12          7         10          9.8200      0.000139    0.000001    0.247425    
12          8         10          10.1000     0.000149    0.000001    0.191108    
12          9         10          9.5800      0.000152    0.000001    0.369679    
13          0         10          9.7400      0.000079    0.000001    0.438821    
13          1         10          11.3500     0.000166    0.000001    0.286712    
13          2         10          8.9200      0.000082    0.000001    0.328397    
13          3         10          9.8000      0.000149    0.000001    0.192252    
13          4         10          10.2800     0.000155    0.000001    0.141213    
13          5         10          10.3200     0.000169    0.000001    0.346787    
13          6         10          10.0900     0.000149    0.000001    0.358087    
13          7         10          9.8200      0.000184    0.000000    0.230401    
13          8         10          10.1000     0.000228    0.000000    0.329421    
13          9         10          9.5800      0.000138    0.000001    0.291404    
14          0         10          9.7400      0.000159    0.000001    0.349794    
14          1         10          11.3500     0.000178    0.000001    0.173666    
14          2         10          8.9200      0.000092    0.000001    0.260117    
14          3         10          9.8000      0.000117    0.000001    0.211361    
14          4         10          10.2800     0.000118    0.000001    0.294673    
14          5         10          10.3200     0.000122    0.000000    0.314581    
14          6         10          10.0900     0.000172    0.000000    0.275848    
14          7         10          9.8200      0.000099    0.000001    0.159718    
14          8         10          10.1000     0.000131    0.000001    0.132127    
14          9         10          9.5800      0.000149    0.000001    0.329194    
15          0         10          9.7400      0.000175    0.000001    0.267149    
15          1         10          11.3500     0.000191    0.000001    0.141990    
15          2         10          8.9200      0.000109    0.000001    0.380283    
15          3         10          9.8000      0.000096    0.000001    0.196696    
15          4         10          10.2800     0.000190    0.000001    0.324304    
15          5         10          10.3200     0.000112    0.000000    0.258470    
15          6         10          10.0900     0.000131    0.000000    0.251582    
15          7         10          9.8200      0.000141    0.000001    0.423374    
15          8         10          10.1000     0.000198    0.000000    0.214510    
15          9         10          9.5800      0.000175    0.000001    0.192824    
16          0         10          9.7400      0.000197    0.000000    0.373931    
16          1         10          11.3500     0.000212    0.000001    0.232344    
16          2         10          8.9200      0.000155    0.000001    0.271072    
16          3         10          9.8000      0.000201    0.000000    0.290936    
16          4         10          10.2800     0.000202    0.000001    0.153916    
16          5         10          10.3200     0.000073    0.000001    0.321172    
16          6         10          10.0900     0.000146    0.000001    0.293787    
16          7         10          9.8200      0.000160    0.000001    0.317818    
16          8         10          10.1000     0.000147    0.000000    0.237778    
16          9         10          9.5800      0.000165    0.000000    0.150636    
17          0         10          9.7400      0.000101    0.000001    0.287713    
17          1         10          11.3500     0.000199    0.000001    0.258302    
17          2         10          8.9200      0.000124    0.000001    0.657506    
17          3         10          9.8000      0.000111    0.000001    0.220638    
17          4         10          10.2800     0.000166    0.000001    0.483264    
17          5         10          10.3200     0.000117    0.000000    0.472318    
17          6         10          10.0900     0.000192    0.000000    0.193003    
17          7         10          9.8200      0.000135    0.000000    0.188823    
17          8         10          10.1000     0.000109    0.000001    0.229434    
17          9         10          9.5800      0.000165    0.000000    0.156473    
18          0         10          9.7400      0.000173    0.000000    0.243578    
