GlobalRound	GlobalAccuracy
1	73.2400
2	93.0400
3	95.2900
4	96.9200
5	96.8400
6	97.1900
7	97.9200
8	97.4700
9	98.2300
10	98.0500
11	97.8300
12	98.3000
13	98.6300
14	98.4300
15	98.6200
16	98.3600
17	98.3700
18	98.4200
19	98.3600
20	98.5900
21	98.5100
22	98.6200
23	98.4700
24	98.6200
25	98.5100
26	98.6800
27	98.7900
28	98.7800
29	98.6000
30	98.8200
31	98.8200
32	98.7400
33	98.7100
34	98.8700
35	98.8000
36	98.8200
37	98.8300
38	98.8300
39	98.8400
40	98.5400
41	98.6500
42	98.7800
43	98.7700
44	98.8700
45	98.9000
46	98.9100
47	98.8200
48	98.7000
49	98.8200
50	98.8700
51	98.8100
52	98.8500
53	98.8300
54	98.8400
55	98.8500
56	98.8300
57	98.8400
58	98.9200
59	98.8600
60	98.8900
61	98.8100
62	98.9700
63	98.9200
64	98.9400
65	98.9200
66	98.9500
67	98.9200
68	98.9200
69	98.8900
70	98.8300
71	98.9100
72	98.8900
73	98.8700
74	98.9000
75	98.8900
76	98.8900
77	98.8400
78	98.8000
79	98.8200
80	98.8600
81	98.8700
82	98.8800
83	98.9300
84	98.9400
85	98.9600
86	98.9000
87	98.9100
88	98.8600
89	98.9500
90	99.0000
91	98.8500
92	98.9000
93	98.9600
94	98.9100
95	98.9700
96	98.9600
97	98.8600
98	98.8600
99	98.9000
100	98.8500
