GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           79.9800     0.076019    0.404559    2.769457    
1           1         1           59.1500     0.060623    0.413143    2.811723    
1           2         1           60.5700     0.110693    0.340918    2.134734    
2           0         1           81.8200     0.103883    0.157635    1.978856    
2           1         1           66.7100     0.088549    0.145112    2.050029    
2           2         1           66.6600     0.123783    0.134474    1.760732    
3           0         1           77.3200     0.150370    0.100923    1.459285    
3           1         1           68.9900     0.123497    0.092097    1.487286    
3           2         1           73.1600     0.123613    0.082652    1.377683    
4           0         1           87.5200     0.162373    0.071438    1.154085    
4           1         1           82.4900     0.129973    0.071646    1.296617    
4           2         1           82.4800     0.142215    0.060656    1.148137    
5           0         1           84.8400     0.158102    0.061818    1.109502    
5           1         1           81.9200     0.146262    0.065540    1.173004    
5           2         1           79.7100     0.144036    0.058331    1.150693    
6           0         1           89.2500     0.165220    0.058625    1.089730    
6           1         1           87.5000     0.150798    0.051200    1.071301    
6           2         1           85.5000     0.168778    0.050026    0.989947    
7           0         1           92.4500     0.163623    0.054841    1.074406    
7           1         1           83.3900     0.181710    0.048323    0.955366    
7           2         1           89.3000     0.149536    0.044448    0.986063    
8           0         1           93.0600     0.173032    0.044250    0.941638    
8           1         1           89.5300     0.187031    0.039557    0.899401    
8           2         1           91.8400     0.161749    0.033024    0.874626    
9           0         1           93.5400     0.148041    0.042677    0.948650    
9           1         1           84.8900     0.195418    0.035787    0.894861    
9           2         1           84.9000     0.182166    0.039305    0.903547    
10          0         1           93.2400     0.223087    0.046213    0.993897    
10          1         1           84.9800     0.173503    0.038128    0.941169    
10          2         1           95.0100     0.188688    0.030865    0.829170    
11          0         1           92.7600     0.157015    0.040384    0.926676    
11          1         1           90.3700     0.182350    0.031391    0.862324    
11          2         1           93.7200     0.204254    0.031766    0.819573    
12          0         1           95.1900     0.179069    0.039198    0.951312    
12          1         1           91.2800     0.212767    0.028292    0.808016    
12          2         1           95.4300     0.222653    0.026662    0.770071    
13          0         1           96.1900     0.225271    0.032322    0.843901    
13          1         1           91.5600     0.258546    0.031919    0.869355    
13          2         1           88.5100     0.209009    0.035380    0.915619    
14          0         1           95.6100     0.195038    0.032548    0.850136    
14          1         1           93.8500     0.196988    0.029035    0.818223    
14          2         1           94.3700     0.238109    0.026355    0.804430    
15          0         1           94.6700     0.199319    0.030521    0.832825    
15          1         1           91.7700     0.326561    0.024682    0.758938    
15          2         1           96.2700     0.334962    0.029232    0.827704    
16          0         1           96.8900     0.183559    0.031509    0.915135    
16          1         1           92.9600     0.241668    0.026867    0.794150    
16          2         1           94.9700     0.245786    0.029072    0.868965    
17          0         1           94.6500     0.183267    0.034479    0.922350    
17          1         1           93.2400     0.235547    0.028180    0.845742    
17          2         1           96.7000     0.307898    0.026190    0.843245    
18          0         1           96.4000     0.196225    0.032679    0.935662    
18          1         1           92.6200     0.229598    0.023730    0.776881    
18          2         1           96.5400     0.269239    0.025455    0.826170    
19          0         1           96.8100     0.172969    0.027629    0.832345    
19          1         1           94.9500     0.227950    0.024901    0.824063    
19          2         1           96.8800     0.402811    0.022984    0.740586    
20          0         1           93.8700     0.192301    0.026167    0.861548    
20          1         1           93.2600     0.338852    0.026086    0.839002    
20          2         1           96.5100     0.347431    0.023518    0.771242    
21          0         1           96.7500     0.292169    0.030341    0.895661    
21          1         1           93.4700     0.432885    0.025231    0.799620    
21          2         1           94.9400     0.303866    0.024241    0.778659    
22          0         1           97.3800     0.185883    0.025072    0.851514    
22          1         1           95.5100     0.362582    0.021760    0.765313    
22          2         1           93.1500     0.243987    0.024108    0.762019    
23          0         1           96.5900     0.249864    0.024770    0.825919    
23          1         1           94.4700     0.315723    0.020188    0.752061    
23          2         1           96.7800     0.215652    0.027812    0.877036    
24          0         1           96.7500     0.284572    0.026959    0.885467    
24          1         1           92.7000     0.234892    0.028308    0.883686    
24          2         1           97.3400     0.246417    0.024220    0.811766    
25          0         1           97.3800     0.285941    0.024905    0.822182    
25          1         1           92.8800     0.518742    0.020485    0.743210    
25          2         1           95.3600     0.229657    0.032350    0.890059    
26          0         1           98.0400     0.213127    0.027876    0.871857    
26          1         1           95.1200     0.333706    0.025243    0.851857    
26          2         1           91.1900     0.160914    0.027665    0.934679    
27          0         1           94.0400     0.340118    0.026744    0.878106    
27          1         1           94.9400     0.215120    0.023102    0.781342    
27          2         1           96.3800     0.412504    0.023616    0.819739    
28          0         1           96.2700     0.360772    0.024298    0.766947    
28          1         1           90.7300     0.300722    0.023743    0.789000    
28          2         1           95.6300     0.391032    0.018834    0.697739    
29          0         1           97.4500     0.177345    0.028500    0.919437    
29          1         1           94.7000     0.211946    0.022067    0.832907    
29          2         1           95.0800     0.461546    0.019412    0.726200    
30          0         1           97.7400     0.269292    0.024215    0.846904    
30          1         1           92.8300     0.251315    0.023928    0.745465    
30          2         1           97.5300     0.345313    0.020095    0.724497    
31          0         1           97.3100     0.289190    0.023844    0.834352    
31          1         1           94.9800     0.283062    0.021978    0.785108    
31          2         1           96.3000     0.501833    0.023271    0.823034    
32          0         1           97.6100     0.298901    0.022275    0.779977    
32          1         1           94.1200     0.356005    0.024954    0.804254    
32          2         1           88.8000     0.286845    0.021364    0.836528    
33          0         1           98.0600     0.245171    0.022531    0.766366    
33          1         1           96.0400     0.250046    0.018358    0.732443    
33          2         1           97.1200     0.484300    0.019456    0.779723    
34          0         1           96.4600     0.330586    0.019074    0.735884    
34          1         1           95.8200     0.349543    0.015147    0.643317    
34          2         1           97.7500     0.204513    0.020926    0.823984    
35          0         1           98.0600     0.292039    0.017937    0.719884    
35          1         1           93.3600     0.444084    0.017575    0.759742    
35          2         1           97.2800     0.155663    0.023437    0.889392    
36          0         1           98.2300     0.355821    0.020997    0.777552    
36          1         1           96.3800     0.354629    0.017609    0.763159    
36          2         1           97.2900     0.246172    0.021821    0.861706    
37          0         1           98.0900     0.544010    0.023439    0.829767    
37          1         1           96.9300     0.170117    0.023140    0.865987    
37          2         1           97.3200     0.386791    0.022554    0.806820    
38          0         1           98.2100     0.507871    0.018033    0.697809    
38          1         1           96.1200     0.214163    0.015707    0.658675    
38          2         1           97.0800     0.344439    0.025862    0.948556    
39          0         1           98.0600     0.349529    0.018275    0.744868    
39          1         1           96.5600     0.298899    0.015739    0.704602    
39          2         1           97.6800     0.279939    0.021390    0.859925    
40          0         1           97.6500     0.304389    0.025869    0.877354    
40          1         1           97.5100     0.288895    0.015858    0.724957    
40          2         1           97.3800     0.345774    0.021453    0.813258    
41          0         1           97.8900     0.170201    0.021870    0.837564    
41          1         1           96.4300     0.324068    0.016457    0.766919    
41          2         1           98.1400     0.114759    0.027846    0.988863    
42          0         1           97.5900     0.378282    0.020662    0.750916    
42          1         1           96.7900     0.229655    0.017027    0.709226    
42          2         1           96.5900     0.202880    0.020164    0.788858    
43          0         1           98.5400     0.402485    0.024928    0.834303    
43          1         1           95.6000     0.359331    0.015980    0.700149    
43          2         1           97.4400     0.196691    0.020445    0.807357    
44          0         1           98.1000     0.398280    0.019952    0.795439    
44          1         1           96.4300     0.462199    0.017369    0.688389    
44          2         1           97.8300     0.238718    0.017707    0.705679    
45          0         1           98.4700     0.395366    0.019283    0.804760    
45          1         1           95.9200     0.372653    0.019714    0.745908    
45          2         1           96.2900     0.214027    0.021199    0.798475    
46          0         1           98.0500     0.238768    0.015671    0.650337    
46          1         1           95.0300     0.388425    0.014377    0.665317    
46          2         1           97.6000     0.327219    0.014765    0.687517    
47          0         1           97.7200     0.277219    0.018218    0.710413    
47          1         1           95.9200     0.298537    0.018367    0.776809    
47          2         1           97.3100     0.544755    0.018703    0.771665    
48          0         1           97.6100     0.412250    0.018610    0.775927    
48          1         1           96.9500     0.441413    0.014256    0.708593    
48          2         1           93.8800     0.136739    0.022924    0.892930    
49          0         1           97.5300     0.502909    0.019366    0.712305    
49          1         1           97.0400     0.200617    0.014816    0.710112    
49          2         1           98.2100     0.235603    0.017487    0.769568    
50          0         1           98.1900     0.356138    0.019325    0.770056    
50          1         1           96.9800     0.300190    0.014862    0.672430    
50          2         1           97.7000     0.284360    0.018813    0.781773    
51          0         1           97.5700     0.515093    0.025603    0.838069    
51          1         1           96.2700     0.360159    0.014551    0.670293    
51          2         1           95.9300     0.150790    0.017986    0.830407    
52          0         1           97.1800     0.689181    0.018550    0.744540    
52          1         1           97.2500     0.233714    0.015151    0.656628    
52          2         1           97.0400     0.317325    0.018836    0.729607    
53          0         1           98.1100     0.500593    0.016992    0.727845    
53          1         1           97.5200     0.203965    0.012591    0.629221    
53          2         1           97.4400     0.183959    0.018979    0.800201    
54          0         1           97.8800     0.798593    0.018354    0.721549    
54          1         1           96.3400     0.311909    0.013895    0.678755    
54          2         1           97.7800     0.365833    0.018906    0.789198    
55          0         1           98.3800     0.598315    0.016029    0.671276    
55          1         1           97.6800     0.193593    0.013703    0.662376    
55          2         1           97.7500     0.530566    0.018685    0.782396    
56          0         1           97.9900     0.178053    0.018069    0.752885    
56          1         1           95.7700     0.136846    0.014640    0.685234    
56          2         1           97.6300     0.187937    0.017324    0.705251    
57          0         1           98.2500     0.214662    0.017618    0.755322    
57          1         1           96.0600     0.091101    0.016014    0.731325    
57          2         1           98.6600     0.158238    0.016594    0.797442    
58          0         1           98.3200     0.192002    0.013434    0.628402    
58          1         1           97.0200     0.384210    0.015138    0.640636    
58          2         1           98.3000     0.331768    0.015056    0.695544    
59          0         1           98.0700     0.305303    0.014684    0.648781    
59          1         1           97.6200     0.385853    0.014366    0.672792    
59          2         1           97.7700     0.092320    0.018285    0.805084    
60          0         1           97.3900     0.321778    0.016081    0.690905    
60          1         1           97.4800     0.400405    0.015784    0.655398    
60          2         1           97.1900     0.167225    0.017814    0.761043    
61          0         1           98.3900     0.445391    0.019428    0.770211    
61          1         1           95.9500     0.863074    0.014039    0.630997    
61          2         1           98.1200     0.215695    0.013388    0.681834    
62          0         1           98.3400     0.345339    0.019670    0.828118    
62          1         1           97.3100     0.314947    0.017250    0.730797    
62          2         1           96.6900     0.451414    0.019160    0.826667    
63          0         1           97.9500     0.282598    0.015037    0.660816    
63          1         1           96.1400     0.205865    0.014600    0.701523    
63          2         1           97.7600     0.368035    0.015233    0.680371    
64          0         1           96.9700     0.491204    0.017489    0.783409    
64          1         1           97.9100     0.287195    0.011949    0.578917    
64          2         1           96.8100     0.245367    0.016705    0.729121    
65          0         1           97.9900     0.183848    0.016264    0.744006    
65          1         1           96.4200     0.234680    0.011204    0.595422    
65          2         1           98.1500     0.291007    0.017509    0.754611    
66          0         1           97.7600     0.235619    0.021518    0.815131    
66          1         1           97.0400     0.146409    0.011829    0.616691    
66          2         1           97.4400     0.318140    0.013737    0.736516    
67          0         1           98.2200     0.464227    0.013823    0.627127    
67          1         1           95.7200     0.531712    0.013636    0.622926    
67          2         1           98.3200     0.223350    0.009669    0.553402    
68          0         1           98.1200     0.553183    0.012715    0.596388    
68          1         1           97.3800     0.152371    0.009799    0.585975    
68          2         1           98.0300     0.295727    0.014353    0.709139    
69          0         1           98.3500     0.388325    0.013075    0.633127    
69          1         1           96.5800     0.776277    0.011715    0.540197    
69          2         1           97.9800     0.289306    0.011839    0.595108    
70          0         1           98.4000     0.453107    0.011716    0.576794    
70          1         1           96.9000     0.254423    0.012840    0.637214    
70          2         1           97.8900     0.258045    0.011962    0.620605    
71          0         1           98.6100     0.194526    0.014648    0.659653    
71          1         1           97.8100     0.202552    0.013137    0.648393    
71          2         1           97.7100     0.079056    0.013953    0.751144    
72          0         1           98.3000     0.135009    0.016082    0.743964    
72          1         1           96.7200     0.086138    0.010978    0.588335    
