GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           93.5800     0.113382    0.537375    3.007454    
1           1         1           93.6400     0.121740    0.576934    2.934527    
1           2         1           92.9000     0.099966    0.607531    3.306848    
1           3         1           93.5000     0.116209    0.556085    3.073823    
1           4         1           92.5200     0.091324    0.656231    3.417122    
2           0         1           93.4100     0.118571    0.235220    2.327871    
2           1         1           95.7200     0.116193    0.230224    2.310481    
2           2         1           96.2000     0.122972    0.230571    2.248263    
2           3         1           96.3800     0.121949    0.230229    2.268263    
2           4         1           95.2100     0.125469    0.230471    2.236067    
3           0         1           96.5100     0.163611    0.153072    1.725749    
3           1         1           96.7000     0.157095    0.157434    1.813754    
3           2         1           97.5400     0.157425    0.158348    1.743616    
3           3         1           97.3800     0.161411    0.166912    1.804690    
3           4         1           96.9800     0.165623    0.153964    1.682007    
4           0         1           97.3100     0.173134    0.117081    1.473530    
4           1         1           97.9700     0.176182    0.110069    1.437885    
4           2         1           96.5100     0.167761    0.106422    1.427550    
4           3         1           97.0200     0.170169    0.118071    1.469788    
4           4         1           97.5500     0.169964    0.116550    1.478077    
5           0         1           97.5300     0.170793    0.090376    1.297569    
5           1         1           95.3500     0.173876    0.085651    1.265134    
5           2         1           97.5600     0.188036    0.106268    1.362050    
5           3         1           96.8500     0.170202    0.091838    1.325258    
5           4         1           97.8400     0.179959    0.097469    1.346509    
6           0         1           98.1500     0.174957    0.083086    1.270840    
6           1         1           97.9200     0.189201    0.081071    1.167145    
6           2         1           97.6700     0.191542    0.088285    1.255674    
6           3         1           97.4900     0.162689    0.077032    1.243663    
6           4         1           97.6500     0.185348    0.083769    1.259467    
7           0         1           97.5900     0.195990    0.076574    1.167141    
7           1         1           97.6300     0.174875    0.077229    1.250041    
7           2         1           98.0000     0.192624    0.081660    1.161979    
7           3         1           98.2500     0.193780    0.065432    1.046917    
7           4         1           98.0800     0.169614    0.072735    1.173616    
8           0         1           98.2900     0.198200    0.060970    1.007765    
8           1         1           97.8900     0.190284    0.063455    1.050618    
8           2         1           98.2200     0.180994    0.062902    1.065450    
8           3         1           98.5100     0.200971    0.068757    1.075393    
8           4         1           98.3700     0.182305    0.070170    1.154811    
9           0         1           97.9700     0.188643    0.056198    0.984816    
9           1         1           98.4100     0.202207    0.057739    0.993017    
9           2         1           98.1700     0.211454    0.062046    1.031647    
9           3         1           97.6900     0.191577    0.062606    1.062972    
9           4         1           97.8300     0.183200    0.056467    1.035122    
10          0         1           98.2200     0.191296    0.046916    0.915075    
10          1         1           98.4100     0.200657    0.049315    0.947899    
10          2         1           98.2000     0.186700    0.057525    1.000700    
10          3         1           98.4100     0.204759    0.050574    0.921151    
10          4         1           98.3200     0.180296    0.059359    1.065504    
11          0         1           98.2200     0.234132    0.042373    0.846388    
11          1         1           98.5500     0.210862    0.048652    0.905641    
11          2         1           98.3900     0.178556    0.050536    0.967829    
11          3         1           98.6200     0.201788    0.041071    0.830202    
11          4         1           98.5800     0.154115    0.050121    1.042744    
12          0         1           98.6100     0.206209    0.048102    0.913176    
12          1         1           98.5900     0.176028    0.041516    0.904953    
12          2         1           98.7200     0.208632    0.045866    0.901645    
12          3         1           98.2900     0.168633    0.053389    1.041510    
12          4         1           98.7600     0.151137    0.044434    0.977567    
13          0         1           98.5400     0.197990    0.042669    0.875584    
13          1         1           98.0200     0.157441    0.041906    0.890699    
13          2         1           98.5200     0.173793    0.043891    0.898313    
13          3         1           97.6900     0.189609    0.046967    0.926042    
13          4         1           98.1200     0.177230    0.043593    0.948568    
14          0         1           97.8800     0.200839    0.042144    0.879977    
14          1         1           97.7200     0.207686    0.039419    0.890646    
14          2         1           98.5000     0.198479    0.041492    0.847021    
14          3         1           98.0100     0.226093    0.041867    0.810759    
14          4         1           98.5300     0.186152    0.040816    0.895936    
15          0         1           98.5600     0.196317    0.037057    0.824396    
15          1         1           97.3500     0.187982    0.035457    0.842086    
15          2         1           98.7600     0.286240    0.037978    0.803943    
15          3         1           98.3000     0.228384    0.048463    0.888319    
15          4         1           98.6900     0.204844    0.036636    0.810329    
16          0         1           97.5500     0.187960    0.041001    0.910746    
16          1         1           98.7200     0.228355    0.034656    0.810275    
16          2         1           98.5600     0.181825    0.032966    0.791987    
16          3         1           98.7800     0.228857    0.039396    0.861215    
16          4         1           98.5800     0.211927    0.036152    0.844018    
17          0         1           98.5300     0.212926    0.031038    0.760668    
17          1         1           98.7800     0.173344    0.034359    0.828797    
17          2         1           98.4000     0.209521    0.036383    0.806613    
17          3         1           98.3900     0.203386    0.041555    0.900072    
17          4         1           98.6900     0.221276    0.036647    0.891597    
18          0         1           98.7700     0.203958    0.037810    0.849484    
18          1         1           98.7500     0.190454    0.039082    0.927962    
18          2         1           98.6600     0.185629    0.036089    0.831346    
18          3         1           98.0600     0.230212    0.034834    0.794485    
18          4         1           98.7600     0.204273    0.029353    0.775747    
19          0         1           98.3600     0.172016    0.038510    0.902130    
19          1         1           98.4700     0.238811    0.031329    0.821610    
19          2         1           98.6500     0.270812    0.035350    0.839747    
19          3         1           98.6000     0.218828    0.035061    0.860691    
19          4         1           98.8400     0.185221    0.034884    0.833542    
20          0         1           98.8700     0.260355    0.027809    0.719797    
20          1         1           98.7800     0.186712    0.033611    0.848524    
20          2         1           98.7500     0.264605    0.034346    0.837872    
20          3         1           98.9100     0.259996    0.033296    0.794239    
20          4         1           98.7900     0.228743    0.031472    0.809525    
21          0         1           98.2800     0.198065    0.034261    0.878328    
21          1         1           98.5700     0.228217    0.034398    0.823715    
21          2         1           98.7000     0.277574    0.036949    0.871240    
21          3         1           98.9300     0.208720    0.034118    0.821043    
21          4         1           98.6100     0.252117    0.030996    0.843502    
22          0         1           98.9300     0.273299    0.030516    0.775763    
22          1         1           97.9900     0.231225    0.033196    0.860833    
22          2         1           98.5900     0.257448    0.034194    0.757142    
22          3         1           98.8200     0.201289    0.034044    0.852910    
22          4         1           98.9600     0.207350    0.023555    0.688698    
23          0         1           98.9000     0.284482    0.027070    0.747935    
23          1         1           98.7900     0.389868    0.029502    0.813062    
23          2         1           98.1400     0.230827    0.031965    0.818042    
23          3         1           98.9800     0.383060    0.027094    0.746442    
23          4         1           98.8100     0.280426    0.028172    0.746223    
24          0         1           98.7600     0.356116    0.034111    0.865949    
24          1         1           98.8800     0.368134    0.029404    0.777466    
24          2         1           98.9900     0.184176    0.028896    0.815852    
24          3         1           98.6400     0.262014    0.030903    0.802985    
24          4         1           98.9800     0.151607    0.030883    0.851218    
25          0         1           98.9800     0.234414    0.030450    0.827518    
25          1         1           99.0000     0.349320    0.031416    0.790975    
25          2         1           98.7800     0.362595    0.028565    0.780448    
25          3         1           98.5700     0.208900    0.030919    0.857006    
25          4         1           98.9000     0.322383    0.023701    0.742216    
26          0         1           98.9400     0.285735    0.030435    0.845522    
26          1         1           98.5600     0.180882    0.031362    0.848092    
26          2         1           98.6500     0.353891    0.028013    0.745794    
26          3         1           98.4500     0.309436    0.035450    0.861317    
26          4         1           99.0500     0.201186    0.024735    0.759493    
27          0         1           99.0100     0.307750    0.026386    0.797683    
27          1         1           99.0500     0.300469    0.024378    0.722229    
27          2         1           99.0400     0.311359    0.022792    0.658462    
27          3         1           98.5300     0.191306    0.029201    0.794062    
27          4         1           98.8800     0.325471    0.024119    0.707351    
28          0         1           99.0600     0.553279    0.025297    0.760039    
28          1         1           98.9000     0.220430    0.028095    0.851174    
28          2         1           99.0700     0.256470    0.022871    0.692181    
28          3         1           98.8400     0.302351    0.028655    0.800167    
28          4         1           98.9600     0.304672    0.027694    0.801846    
29          0         1           98.9500     0.233052    0.031420    0.848002    
29          1         1           99.0500     0.234634    0.028424    0.819071    
29          2         1           98.7700     0.277202    0.026789    0.785778    
29          3         1           98.8300     0.216442    0.035736    0.911547    
29          4         1           98.9500     0.190151    0.027740    0.882161    
30          0         1           99.0700     0.406268    0.024577    0.769258    
30          1         1           98.6700     0.303482    0.030157    0.877025    
30          2         1           98.9700     0.232234    0.026510    0.812616    
30          3         1           98.9600     0.267640    0.026984    0.812088    
30          4         1           99.0200     0.165304    0.030026    0.881289    
31          0         1           98.2200     0.174420    0.041640    0.977106    
31          1         1           99.0400     0.370719    0.024802    0.749560    
31          2         1           98.7700     0.255694    0.028415    0.807255    
31          3         1           98.9600     0.239077    0.028865    0.834772    
31          4         1           98.8600     0.334619    0.024088    0.782875    
32          0         1           98.9500     0.321491    0.030442    0.808286    
32          1         1           99.0400     0.252297    0.030871    0.825282    
32          2         1           98.1900     0.153675    0.033134    0.906358    
32          3         1           98.7700     0.205260    0.030113    0.813256    
32          4         1           99.0800     0.454826    0.022148    0.781659    
33          0         1           99.0600     0.546100    0.028280    0.806892    
33          1         1           98.5900     0.264703    0.031781    0.887932    
33          2         1           99.0100     0.238823    0.022167    0.729995    
33          3         1           98.9900     0.247353    0.032996    0.885693    
33          4         1           99.0100     0.297915    0.026329    0.787822    
34          0         1           98.7800     0.405730    0.032742    0.904835    
34          1         1           99.0300     0.319591    0.029658    0.856698    
34          2         1           99.0500     0.253084    0.020802    0.694129    
34          3         1           99.0200     0.257124    0.027536    0.798887    
34          4         1           99.0000     0.356239    0.021240    0.692820    
35          0         1           98.9900     0.469159    0.026902    0.774669    
35          1         1           98.9400     0.491759    0.029021    0.842602    
35          2         1           98.9300     0.427777    0.023579    0.740076    
35          3         1           98.9600     0.351393    0.026129    0.828722    
35          4         1           99.1100     0.375169    0.021856    0.730779    
36          0         1           98.9200     0.290676    0.034240    0.895591    
36          1         1           98.7300     0.258147    0.041779    1.006076    
36          2         1           98.9200     0.461428    0.027741    0.801685    
36          3         1           98.8600     0.211948    0.031486    0.845805    
36          4         1           99.0400     0.285839    0.027438    0.880572    
37          0         1           99.0700     0.531393    0.024473    0.711723    
37          1         1           99.0900     0.352542    0.023154    0.734179    
37          2         1           99.1000     0.405906    0.019425    0.656565    
37          3         1           98.9500     0.262703    0.029779    0.869949    
37          4         1           98.9800     0.276113    0.020699    0.711578    
38          0         1           98.6700     0.234904    0.027469    0.808844    
38          1         1           97.7600     0.298265    0.027266    0.796819    
38          2         1           98.9400     0.310244    0.025901    0.822168    
38          3         1           98.9300     0.191512    0.028252    0.842841    
38          4         1           99.0400     0.264082    0.023487    0.755430    
39          0         1           98.9700     0.226137    0.028781    0.842401    
39          1         1           99.0900     0.334218    0.026104    0.776407    
39          2         1           98.9500     0.402639    0.022228    0.692243    
39          3         1           98.8600     0.284107    0.023411    0.786397    
39          4         1           98.9200     0.172391    0.028970    0.910253    
40          0         1           96.6600     0.472962    0.032976    0.897805    
40          1         1           98.9700     0.252508    0.030160    0.884889    
40          2         1           98.9000     0.272784    0.025007    0.734730    
40          3         1           98.9800     0.220414    0.022869    0.794839    
40          4         1           98.9400     0.303599    0.020389    0.696261    
41          0         1           98.6000     0.537144    0.025928    0.820069    
41          1         1           98.9700     0.302311    0.031701    0.848261    
41          2         1           98.8700     0.359842    0.030557    0.759225    
41          3         1           98.7900     0.225241    0.026388    0.883201    
41          4         1           99.0400     0.558749    0.024816    0.788146    
42          0         1           98.8000     0.368012    0.025435    0.810114    
42          1         1           99.1200     0.328291    0.022919    0.733822    
42          2         1           99.0500     0.453829    0.020764    0.672604    
42          3         1           99.0200     0.199639    0.028454    0.921100    
42          4         1           99.0500     0.395893    0.021045    0.707694    
43          0         1           98.9900     0.464573    0.024012    0.753025    
43          1         1           99.0800     0.424647    0.024975    0.785756    
43          2         1           98.9700     0.640058    0.020997    0.695087    
43          3         1           99.0400     0.222895    0.022292    0.782313    
43          4         1           98.8800     0.300326    0.022145    0.761228    
44          0         1           98.7000     0.397520    0.029164    0.898820    
44          1         1           99.0800     0.412283    0.025694    0.809180    
44          2         1           99.0500     0.539418    0.023727    0.740257    
44          3         1           99.0400     0.342493    0.022809    0.813029    
44          4         1           99.0100     0.274184    0.024338    0.803405    
45          0         1           97.9100     0.290005    0.030383    0.901996    
45          1         1           99.0600     0.818713    0.025027    0.757012    
45          2         1           99.1300     0.328736    0.020328    0.685146    
45          3         1           99.0800     0.290894    0.023019    0.765520    
45          4         1           99.0300     0.257301    0.024881    0.853242    
46          0         1           99.0600     0.222396    0.024305    0.820691    
46          1         1           99.0200     0.353367    0.029868    0.886836    
46          2         1           99.0700     0.416328    0.025108    0.775001    
46          3         1           99.1200     0.293256    0.025966    0.810284    
46          4         1           99.0000     0.415101    0.024204    0.790492    
47          0         1           98.9900     0.326156    0.024989    0.829120    
47          1         1           99.0300     0.358107    0.026085    0.807478    
47          2         1           99.1000     0.857687    0.021019    0.673322    
47          3         1           99.0500     0.440455    0.023395    0.781473    
47          4         1           98.9600     0.348793    0.023862    0.780298    
48          0         1           98.9200     0.649960    0.025315    0.817769    
48          1         1           99.0100     0.370528    0.027122    0.896396    
48          2         1           99.1500     0.276153    0.022616    0.721463    
48          3         1           98.9300     0.240189    0.020403    0.712210    
48          4         1           99.0500     0.287033    0.022930    0.780161    
49          0         1           99.0900     0.448096    0.027538    0.864616    
49          1         1           99.0200     0.401864    0.022259    0.745452    
49          2         1           99.0800     0.307771    0.022637    0.696131    
49          3         1           99.0200     0.151557    0.024800    0.849956    
49          4         1           99.0800     0.615724    0.022203    0.783700    
50          0         1           98.9100     0.151123    0.026664    0.953365    
50          1         1           99.0300     0.282459    0.031748    0.932878    
50          2         1           98.8000     0.519406    0.022291    0.702895    
50          3         1           98.6400     0.107055    0.025627    0.906032    
50          4         1           98.9700     0.332936    0.027046    0.847047    
51          0         1           98.9100     0.423519    0.022933    0.789059    
51          1         1           99.0300     0.390231    0.026026    0.855281    
51          2         1           99.0600     0.572351    0.026713    0.779013    
51          3         1           99.0700     0.257136    0.026371    0.856471    
51          4         1           99.0700     0.767817    0.020885    0.742481    
52          0         1           98.8100     0.323892    0.025195    0.832901    
52          1         1           99.1000     0.370600    0.022399    0.760221    
52          2         1           98.9800     0.523859    0.022090    0.688254    
