GlobalRound	GlobalAccuracy
1	93.1400
2	97.0500
3	98.0600
4	98.2300
5	98.3200
6	98.4400
7	98.5900
8	98.7500
9	98.7900
10	98.8500
11	98.9000
12	98.9000
13	98.9700
14	98.9000
15	98.9400
16	98.9500
17	98.9900
18	98.9000
19	98.8900
20	99.0500
21	98.9200
22	98.9800
23	99.0300
24	99.0100
25	99.0000
26	99.0700
27	99.1100
28	99.0700
29	99.0800
30	99.1100
31	99.1000
32	99.1200
33	99.1300
34	99.0600
35	99.1200
36	99.1100
37	99.1700
38	99.1000
39	99.1300
40	99.0500
41	99.0100
42	99.0600
43	99.0700
44	99.1100
45	99.1000
46	99.1400
47	99.1200
48	99.1400
49	99.1700
50	99.0200
51	99.0800
52	99.1000
53	99.1500
54	99.1700
55	99.1600
56	99.1100
57	99.1300
58	99.1400
59	99.1500
60	99.0700
61	99.1300
62	99.1500
63	99.1200
64	99.0900
65	99.1100
66	99.1600
67	99.1400
68	99.0800
69	99.1900
70	99.1600
71	99.1500
72	99.1200
73	99.2100
74	99.2000
75	99.1800
76	99.2000
77	99.2100
78	99.1700
79	99.1700
80	99.1700
81	99.1900
82	99.1700
83	99.1800
84	99.2400
85	99.1800
86	99.2600
87	99.2400
88	99.2500
89	99.2200
90	99.2600
91	99.2200
92	99.2200
93	99.2400
94	99.2000
95	99.2100
96	99.2500
97	99.2300
98	99.2200
99	99.1900
100	99.2300
101	99.2500
102	99.2500
103	99.2600
104	99.2200
105	99.2100
106	99.2700
107	99.2700
108	99.2300
109	99.2400
110	99.2300
111	99.2600
112	99.2600
113	99.2200
114	99.2300
115	99.2100
116	99.2600
117	99.2300
118	99.2400
119	99.2200
120	99.2500
121	99.2100
122	99.2000
123	99.2100
124	99.2400
125	99.2100
126	99.2400
127	99.2400
128	99.2100
129	99.2300
130	99.2500
131	99.2400
132	99.2200
133	99.2500
134	99.2500
135	99.2500
136	99.2400
137	99.2400
138	99.2400
139	99.2400
140	99.2400
141	99.2400
142	99.2400
143	99.2400
144	99.2400
145	99.2300
146	99.2300
147	99.2400
148	99.2300
149	99.2300
150	99.2300
151	99.2200
152	99.2200
153	99.2200
154	99.2200
155	99.2200
156	99.2200
157	99.2200
158	99.2200
159	99.2200
160	99.2200
161	99.2200
162	99.2200
163	99.2200
164	99.2200
165	99.2200
166	99.2200
167	99.2300
168	99.2300
169	99.2300
170	99.2300
171	99.2300
172	99.2300
173	99.2300
174	99.2300
175	99.2300
176	99.2300
177	99.2300
178	99.2300
179	99.2200
180	99.2200
181	99.2200
182	99.2200
183	99.2200
184	99.2200
185	99.2200
186	99.2200
187	99.2200
188	99.2200
189	99.2200
190	99.2200
191	99.2200
192	99.2200
193	99.2200
194	99.2200
195	99.2200
196	99.2200
197	99.2200
198	99.2200
199	99.2200
200	99.2200
201	99.2200
202	99.2200
203	99.2200
204	99.2200
205	99.2200
206	99.2200
207	99.2200
208	99.2200
209	99.2200
210	99.2200
211	99.2200
212	99.2200
213	99.2200
214	99.2200
215	99.2200
216	99.2200
217	99.2200
218	99.2200
219	99.2200
220	99.2200
221	99.2200
222	99.2200
223	99.2300
224	99.2300
225	99.2300
226	99.2200
227	99.2200
228	99.2400
229	99.2100
230	99.2100
231	99.2100
232	99.2100
233	99.2100
234	99.2100
235	99.2200
236	99.2200
237	99.2200
238	99.2200
239	99.2200
240	99.2200
241	99.2200
242	99.2200
243	99.2200
244	99.2200
245	99.2200
246	99.2200
247	99.2200
248	99.2200
249	99.2200
250	99.2200
251	99.2200
252	99.2100
253	99.2100
254	99.2100
255	99.2300
256	99.2200
257	99.2200
258	99.2300
259	99.2300
260	99.2300
261	99.2300
262	99.2300
263	99.2300
264	99.2300
265	99.2300
266	99.2300
267	99.2300
268	99.2400
269	99.2400
270	99.2400
271	99.2400
272	99.2400
273	99.2300
274	99.2400
275	99.2300
276	99.2400
277	99.2300
278	99.2400
279	99.2400
280	99.2400
281	99.2400
282	99.2400
283	99.2400
284	99.2400
285	99.2400
286	99.2400
287	99.2300
288	99.1800
289	99.2300
290	99.2200
291	99.2300
292	99.2000
293	99.2300
294	99.2200
295	99.2400
296	99.2400
297	99.2400
298	99.2500
299	99.2400
300	99.2500
