GlobalRnd   ClientID  LocEpoch    Accuracy    Loss        
1           0         10          9.7400      0.000159    
1           1         10          11.3500     0.000183    
1           2         10          8.9200      0.000213    
1           3         10          9.8000      0.000191    
1           4         10          10.2800     0.000178    
1           5         10          10.3200     0.000169    
1           6         10          10.0900     0.000162    
1           7         10          9.8200      0.000181    
1           8         10          10.1000     0.000167    
1           9         10          9.5800      0.000173    
2           0         10          9.7400      0.000136    
2           1         10          11.3500     0.000181    
2           2         10          8.9200      0.000188    
2           3         10          9.8000      0.000167    
2           4         10          10.2800     0.000158    
2           5         10          10.3200     0.000149    
2           6         10          10.0900     0.000141    
2           7         10          9.8200      0.000157    
2           8         10          10.1000     0.000147    
2           9         10          9.5800      0.000155    
3           0         10          9.7400      0.000113    
3           1         10          11.3500     0.000167    
3           2         10          8.9200      0.000162    
3           3         10          9.8000      0.000148    
3           4         10          10.2800     0.000139    
3           5         10          10.3200     0.000129    
3           6         10          10.0900     0.000121    
3           7         10          9.8200      0.000137    
3           8         10          10.1000     0.000129    
3           9         10          9.5800      0.000135    
4           0         10          9.7400      0.000052    
4           1         10          11.3500     0.000159    
4           2         10          8.9200      0.000144    
4           3         10          9.8000      0.000113    
4           4         10          10.2800     0.000124    
4           5         10          10.3200     0.000103    
4           6         10          10.0900     0.000083    
4           7         10          9.8200      0.000115    
4           8         10          10.1000     0.000104    
4           9         10          9.5800      0.000102    
5           0         10          9.7400      0.000013    
5           1         10          11.3500     0.000153    
5           2         10          8.9200      0.000126    
5           3         10          9.8000      0.000076    
5           4         10          10.2800     0.000105    
5           5         10          10.3200     0.000060    
5           6         10          10.0900     0.000061    
5           7         10          9.8200      0.000082    
5           8         10          10.1000     0.000067    
5           9         10          9.5800      0.000057    
6           0         10          9.7400      0.000007    
6           1         10          11.3500     0.000149    
6           2         10          8.9200      0.000095    
6           3         10          9.8000      0.000041    
6           4         10          10.2800     0.000098    
6           5         10          10.3200     0.000037    
6           6         10          10.0900     0.000024    
6           7         10          9.8200      0.000054    
6           8         10          10.1000     0.000036    
6           9         10          9.5800      0.000030    
7           0         10          9.7400      0.000002    
7           1         10          11.3500     0.000142    
7           2         10          8.9200      0.000067    
7           3         10          9.8000      0.000029    
7           4         10          10.2800     0.000074    
7           5         10          10.3200     0.000026    
7           6         10          10.0900     0.000013    
7           7         10          9.8200      0.000046    
7           8         10          10.1000     0.000027    
7           9         10          9.5800      0.000025    
8           0         10          9.7400      0.000002    
8           1         10          11.3500     0.000141    
8           2         10          8.9200      0.000071    
8           3         10          9.8000      0.000016    
8           4         10          10.2800     0.000065    
8           5         10          10.3200     0.000019    
8           6         10          10.0900     0.000006    
8           7         10          9.8200      0.000025    
8           8         10          10.1000     0.000022    
8           9         10          9.5800      0.000016    
9           0         10          9.7400      0.000001    
9           1         10          11.3500     0.000137    
9           2         10          8.9200      0.000066    
9           3         10          9.8000      0.000012    
9           4         10          10.2800     0.000044    
9           5         10          10.3200     0.000010    
9           6         10          10.0900     0.000006    
9           7         10          9.8200      0.000013    
9           8         10          10.1000     0.000013    
9           9         10          9.5800      0.000007    
10          0         10          9.7400      0.000001    
10          1         10          11.3500     0.000134    
10          2         10          8.9200      0.000055    
10          3         10          9.8000      0.000007    
10          4         10          10.2800     0.000031    
10          5         10          10.3200     0.000009    
10          6         10          10.0900     0.000003    
10          7         10          9.8200      0.000011    
10          8         10          10.1000     0.000012    
10          9         10          9.5800      0.000008    
11          0         10          9.7400      0.000001    
11          1         10          11.3500     0.000131    
11          2         10          8.9200      0.000051    
11          3         10          9.8000      0.000006    
11          4         10          10.2800     0.000037    
11          5         10          10.3200     0.000006    
11          6         10          10.0900     0.000002    
11          7         10          9.8200      0.000008    
11          8         10          10.1000     0.000010    
11          9         10          9.5800      0.000008    
12          0         10          9.7400      0.000000    
12          1         10          11.3500     0.000126    
12          2         10          8.9200      0.000045    
12          3         10          9.8000      0.000006    
12          4         10          10.2800     0.000037    
12          5         10          10.3200     0.000004    
12          6         10          10.0900     0.000001    
12          7         10          9.8200      0.000009    
12          8         10          10.1000     0.000007    
12          9         10          9.5800      0.000009    
13          0         10          9.7400      0.000000    
13          1         10          11.3500     0.000118    
13          2         10          8.9200      0.000021    
13          3         10          9.8000      0.000003    
13          4         10          10.2800     0.000018    
13          5         10          10.3200     0.000003    
13          6         10          10.0900     0.000002    
13          7         10          9.8200      0.000006    
13          8         10          10.1000     0.000005    
13          9         10          9.5800      0.000002    
14          0         10          9.7400      0.000000    
14          1         10          11.3500     0.000117    
14          2         10          8.9200      0.000019    
14          3         10          9.8000      0.000005    
14          4         10          10.2800     0.000029    
14          5         10          10.3200     0.000003    
