GlobalRound	GlobalAccuracy
1	10.4000
2	9.9300
3	10.6100
4	14.5600
5	15.6600
6	20.8300
7	17.8900
8	26.9000
9	20.7300
10	31.3700
11	23.9500
12	27.2400
13	26.9000
14	24.0300
15	27.0400
16	27.2000
17	25.3300
18	27.4900
19	27.2000
20	28.2100
21	32.2600
22	31.2600
23	30.9300
24	33.2800
25	34.3800
26	33.7100
27	37.7500
28	38.0400
29	43.4900
30	38.1100
31	42.8000
32	39.3800
33	44.3400
34	38.9600
35	44.7200
36	40.9900
37	42.6400
38	24.7300
39	48.2100
40	32.0700
41	47.1500
42	46.1800
43	46.7200
44	40.3900
45	46.9300
46	42.1700
47	50.7500
48	35.5900
49	52.1800
50	46.5300
