GlobalRound	GlobalAccuracy
1	13.7100
2	17.4700
3	14.3600
4	21.0900
5	18.8800
6	19.3300
7	22.3900
8	16.7400
9	25.0200
10	11.8900
11	15.7300
12	9.9600
13	9.8000
14	14.9900
15	11.2700
16	13.8500
17	30.4600
18	18.9300
19	28.3900
20	23.9700
21	34.6800
22	19.8500
23	17.4000
24	21.2500
25	33.7300
26	31.1900
27	34.2300
28	29.6000
29	36.9500
30	27.2700
31	34.7100
32	29.8600
33	39.4400
34	34.4500
35	36.8400
36	34.6900
37	38.1100
38	37.5100
39	39.7900
40	39.2200
41	39.4100
42	39.8900
43	40.0900
44	38.6300
45	40.8900
46	42.4200
47	40.1000
48	40.7100
49	41.0500
50	41.9200
