GlobalRnd   ClientID  LocEpoch    Accuracy    Loss        
1           0         10          9.7400      0.000000    
1           1         10          11.3500     0.000000    
1           2         10          8.9200      0.000000    
1           3         10          9.8000      0.000000    
1           4         10          10.2800     0.000000    
1           5         10          10.3200     0.000000    
1           6         10          10.0900     0.000000    
1           7         10          9.8200      0.000000    
1           8         10          10.1000     0.000000    
1           9         10          9.5800      0.000000    
2           0         10          9.7400      0.000000    
2           1         10          11.3500     0.000000    
2           2         10          8.9200      0.000000    
2           3         10          9.8000      0.000000    
2           4         10          10.2800     0.000000    
2           5         10          10.3200     0.000005    
2           6         10          10.0900     0.000000    
2           7         10          9.8200      0.000000    
2           8         10          10.1000     0.000000    
2           9         10          9.5800      0.000000    
3           0         10          9.7400      0.000003    
3           1         10          11.3500     0.000000    
3           2         10          8.9200      0.000002    
3           3         10          9.8000      0.000000    
3           4         10          10.2800     0.000000    
3           5         10          10.3200     0.000000    
3           6         10          10.0900     0.000000    
3           7         10          9.8200      0.000000    
3           8         10          10.1000     0.000000    
3           9         10          9.5800      0.000000    
4           0         10          9.7400      0.000000    
4           1         10          11.3500     0.000468    
4           2         10          8.9200      0.000000    
4           3         10          9.8000      0.000044    
4           4         10          10.2800     0.000000    
4           5         10          10.3200     0.000000    
4           6         10          10.0900     0.000030    
4           7         10          9.8200      0.000000    
4           8         10          10.1000     0.000000    
4           9         10          9.5800      0.000000    
5           0         10          9.7400      0.000000    
5           1         10          11.3500     0.000000    
5           2         10          8.9200      0.000000    
5           3         10          9.8000      0.000000    
5           4         10          10.2800     0.000000    
5           5         10          10.3200     0.000000    
5           6         10          10.0900     0.000000    
5           7         10          9.8200      0.000000    
5           8         10          10.1000     0.000000    
5           9         10          9.5800      0.000000    
6           0         10          9.7400      0.000000    
6           1         10          11.3500     0.000000    
6           2         10          8.9200      0.000000    
6           3         10          9.8000      0.000000    
6           4         10          10.2800     0.000000    
6           5         10          10.3200     0.000000    
6           6         10          10.0900     0.000000    
6           7         10          9.8200      0.000000    
6           8         10          10.1000     0.000000    
6           9         10          9.5800      0.000000    
7           0         10          9.7400      0.000000    
7           1         10          11.3500     0.000000    
7           2         10          8.9200      0.000000    
7           3         10          9.8000      0.000000    
7           4         10          10.2800     0.000000    
7           5         10          10.3200     0.000000    
7           6         10          10.0900     0.000000    
7           7         10          9.8200      0.000000    
7           8         10          10.1000     0.000000    
7           9         10          9.5800      0.000000    
8           0         10          9.7400      0.000004    
8           1         10          11.3500     0.000000    
8           2         10          8.9200      0.000003    
8           3         10          9.8000      0.000000    
8           4         10          10.2800     0.000000    
8           5         10          10.3200     0.000003    
8           6         10          10.0900     0.000004    
8           7         10          9.8200      0.000002    
8           8         10          10.1000     0.000003    
8           9         10          9.5800      0.000000    
9           0         10          9.7400      0.000000    
9           1         10          11.3500     0.000000    
9           2         10          8.9200      0.000000    
9           3         10          9.8000      0.000021    
9           4         10          10.2800     0.000000    
9           5         10          10.3200     0.000000    
9           6         10          10.0900     0.000000    
9           7         10          9.8200      0.000000    
9           8         10          10.1000     0.000000    
9           9         10          9.5800      0.000001    
10          0         10          9.7400      0.000000    
10          1         10          11.3500     0.000003    
10          2         10          8.9200      0.000000    
10          3         10          9.8000      0.000000    
10          4         10          10.2800     0.000000    
10          5         10          10.3200     0.000000    
10          6         10          10.0900     0.000007    
10          7         10          9.8200      0.000000    
10          8         10          10.1000     0.000000    
10          9         10          9.5800      0.000000    
11          0         10          9.7400      0.000000    
11          1         10          11.3500     0.000000    
11          2         10          8.9200      0.000000    
11          3         10          9.8000      0.000000    
11          4         10          10.2800     0.000000    
11          5         10          10.3200     0.000000    
11          6         10          10.0900     0.000000    
11          7         10          9.8200      0.000000    
11          8         10          10.1000     0.000000    
11          9         10          9.5800      0.000000    
12          0         10          9.7400      0.000000    
12          1         10          11.3500     0.000000    
12          2         10          8.9200      0.000000    
12          3         10          9.8000      0.000000    
12          4         10          10.2800     0.000000    
12          5         10          10.3200     0.000000    
12          6         10          10.0900     0.000000    
12          7         10          9.8200      0.000000    
12          8         10          10.1000     0.000000    
12          9         10          9.5800      0.000000    
13          0         10          9.7400      0.000000    
13          1         10          11.3500     0.000000    
