GlobalRound	GlobalAccuracy
1	9.6400
2	11.3500
3	10.3200
4	8.8700
5	10.0900
6	19.0800
7	9.8000
8	11.3500
9	8.9200
10	9.6500
11	10.3200
12	14.0900
13	10.0600
14	12.7600
15	9.3500
16	17.3800
17	10.3200
18	9.5800
19	13.2400
20	9.7400
21	13.0100
22	20.0900
23	13.1500
24	7.8300
25	9.8800
26	9.5400
27	19.8900
28	10.3300
29	17.8300
30	28.2400
31	19.0300
32	28.1300
33	31.2100
34	26.5400
35	26.9500
36	12.8200
37	19.7900
38	32.3400
39	38.3000
40	37.8100
41	34.4400
42	36.5400
43	20.6100
44	39.8000
45	42.7700
46	47.1800
47	28.9100
48	51.5000
49	49.3200
50	38.9000
