GlobalRound	GlobalAccuracy
1	34.1100
2	42.2800
3	47.0900
4	50.2600
5	53.0900
6	54.3000
7	56.1900
8	56.7300
9	57.5500
10	59.8300
11	60.4000
12	61.2000
13	62.4800
14	63.4300
15	64.0100
16	63.8400
17	65.4400
18	66.0800
19	66.6900
20	66.9400
21	67.6400
22	67.6400
23	68.6400
24	67.9800
25	68.7800
26	69.2100
27	69.1800
28	69.3400
29	70.4200
30	69.6500
31	70.4600
32	70.8200
33	70.4100
34	70.6500
35	71.2400
36	71.2000
37	70.9400
38	70.7100
39	71.2300
40	71.5000
41	71.2400
42	71.8200
43	71.4700
44	71.1300
45	71.0900
46	71.5800
47	71.1800
48	70.9700
49	71.2300
50	70.8700
