ClientID	NNPass_Train	TrainLoss	NNPass_Test	TestLoss
0	313	2.098879	313	1.930807
0	626	1.853214	626	1.693912
0	939	1.714129	939	1.537196
0	1252	1.615841	1252	1.539304
0	1565	1.552595	1565	1.503560
0	1878	1.494493	1878	1.350710
0	2191	1.451138	2191	1.341302
0	2504	1.410348	2504	1.305837
0	2817	1.375302	2817	1.271581
0	3130	1.340497	3130	1.261250
0	3443	1.311682	3443	1.191704
0	3756	1.281293	3756	1.186216
0	4069	1.254188	4069	1.189331
0	4382	1.226887	4382	1.230131
0	4695	1.200323	4695	1.145787
0	5008	1.178287	5008	1.147021
0	5321	1.152441	5321	1.117797
0	5634	1.129448	5634	1.084984
0	5947	1.109049	5947	1.044820
0	6260	1.091433	6260	1.018227
0	6573	1.072409	6573	1.109416
0	6886	1.051932	6886	1.073194
0	7199	1.035167	7199	1.026684
0	7512	1.020836	7512	1.102025
0	7825	0.990475	7825	0.980293
0	8138	0.971825	8138	0.977669
0	8451	0.956014	8451	1.016215
0	8764	0.933755	8764	1.057590
0	9077	0.918329	9077	1.009517
0	9390	0.897963	9390	0.969483
0	9703	0.878833	9703	0.949313
0	10016	0.859240	10016	1.009639
0	10329	0.842363	10329	0.959199
0	10642	0.822275	10642	0.988250
0	10955	0.804491	10955	0.972579
0	11268	0.783852	11268	0.965930
0	11581	0.763964	11581	0.978363
0	11894	0.740731	11894	1.084991
0	12207	0.720923	12207	0.915906
0	12520	0.703207	12520	1.019056
0	12833	0.677357	12833	0.973078
0	13146	0.657685	13146	1.015063
0	13459	0.635539	13459	0.973578
0	13772	0.613329	13772	1.099657
0	14085	0.592677	14085	0.969104
0	14398	0.577456	14398	1.111150
0	14711	0.549115	14711	0.954109
0	15024	0.530724	15024	1.042403
0	15337	0.509507	15337	1.148630
0	15650	0.476484	15650	1.164813
1	313	2.054330	313	1.869769
1	626	1.765501	626	1.655180
1	939	1.600752	939	1.552070
1	1252	1.478911	1252	1.452064
1	1565	1.402192	1565	1.386022
1	1878	1.339115	1878	1.307465
1	2191	1.286783	2191	1.324373
1	2504	1.246418	2504	1.287989
1	2817	1.201496	2817	1.308331
1	3130	1.168833	3130	1.275334
1	3443	1.135728	3443	1.174132
1	3756	1.103743	3756	1.207383
1	4069	1.072463	4069	1.134192
1	4382	1.045855	4382	1.143365
1	4695	1.019224	4695	1.088487
1	5008	0.992064	5008	1.199867
1	5321	0.965235	5321	1.121424
1	5634	0.944863	5634	1.077021
1	5947	0.919781	5947	1.129319
1	6260	0.899853	6260	0.972157
1	6573	0.880287	6573	0.995967
1	6886	0.860674	6886	0.949765
1	7199	0.840106	7199	0.948165
1	7512	0.812742	7512	0.968440
1	7825	0.792548	7825	0.942427
1	8138	0.773439	8138	0.929789
1	8451	0.754838	8451	0.903559
1	8764	0.736410	8764	0.945252
1	9077	0.717244	9077	0.947586
1	9390	0.696008	9390	1.029860
1	9703	0.672653	9703	0.943028
1	10016	0.659650	10016	0.901949
1	10329	0.637474	10329	0.927201
1	10642	0.621854	10642	0.974574
1	10955	0.598799	10955	0.921052
1	11268	0.575877	11268	0.922699
1	11581	0.557834	11581	0.985883
1	11894	0.542881	11894	0.917652
1	12207	0.522083	12207	1.003822
1	12520	0.502955	12520	0.961264
1	12833	0.485079	12833	1.043922
1	13146	0.465214	13146	0.930945
1	13459	0.445434	13459	0.918477
1	13772	0.431742	13772	0.915142
1	14085	0.412378	14085	1.097344
1	14398	0.391909	14398	0.955672
1	14711	0.370167	14711	0.983536
1	15024	0.356652	15024	1.010579
1	15337	0.338329	15337	1.113006
1	15650	0.323102	15650	0.996717
2	313	2.053648	313	1.879336
2	626	1.764140	626	1.719239
2	939	1.598633	939	1.521405
2	1252	1.482922	1252	1.438924
2	1565	1.398037	1565	1.379621
2	1878	1.333944	1878	1.357408
2	2191	1.284085	2191	1.263043
2	2504	1.241535	2504	1.283049
2	2817	1.198013	2817	1.248194
2	3130	1.157679	3130	1.213685
2	3443	1.127604	3443	1.144297
2	3756	1.094790	3756	1.186837
2	4069	1.063868	4069	1.100873
2	4382	1.035335	4382	1.249948
2	4695	1.004786	4695	1.075468
2	5008	0.980315	5008	1.071548
2	5321	0.949568	5321	1.046381
2	5634	0.933541	5634	1.037295
2	5947	0.907306	5947	1.032787
2	6260	0.888622	6260	1.020732
2	6573	0.863454	6573	1.005033
2	6886	0.846686	6886	1.009616
2	7199	0.828666	7199	0.963059
2	7512	0.804879	7512	1.004527
2	7825	0.784172	7825	0.976259
2	8138	0.765428	8138	0.966554
2	8451	0.752127	8451	1.000433
2	8764	0.731302	8764	0.954434
2	9077	0.712954	9077	1.004391
2	9390	0.691375	9390	0.888231
2	9703	0.671489	9703	0.999838
2	10016	0.651907	10016	0.996652
2	10329	0.637147	10329	0.975206
2	10642	0.618751	10642	0.889699
2	10955	0.592587	10955	0.954379
2	11268	0.579114	11268	1.104568
2	11581	0.559646	11581	0.979985
2	11894	0.537853	11894	0.902086
2	12207	0.518328	12207	0.972718
