GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           29.2800     0.010000    2.098879    0.000000    
1           1         1           33.2700     0.010000    2.054330    0.000000    
1           2         1           32.4400     0.010000    2.053648    0.000000    
1           3         1           31.0100     0.010000    2.060134    0.000000    
1           4         1           33.9400     0.010000    2.053832    0.000000    
2           0         1           39.2900     0.010000    1.853214    0.000000    
2           1         1           41.4500     0.010000    1.765501    0.000000    
2           2         1           36.8900     0.010000    1.764140    0.000000    
2           3         1           39.0000     0.010000    1.773980    0.000000    
2           4         1           41.5300     0.010000    1.769899    0.000000    
3           0         1           46.1600     0.010000    1.714129    0.000000    
3           1         1           44.6400     0.010000    1.600752    0.000000    
3           2         1           46.0300     0.010000    1.598633    0.000000    
3           3         1           45.2300     0.010000    1.607552    0.000000    
3           4         1           41.9400     0.010000    1.606482    0.000000    
4           0         1           43.9400     0.010000    1.615841    0.000000    
4           1         1           46.8100     0.010000    1.478911    0.000000    
4           2         1           47.8600     0.010000    1.482922    0.000000    
4           3         1           48.8800     0.010000    1.487910    0.000000    
4           4         1           47.8000     0.010000    1.477841    0.000000    
5           0         1           46.0600     0.010000    1.552595    0.000000    
5           1         1           50.3800     0.010000    1.402192    0.000000    
5           2         1           50.8900     0.010000    1.398037    0.000000    
5           3         1           52.2100     0.010000    1.406905    0.000000    
5           4         1           45.3700     0.010000    1.398421    0.000000    
6           0         1           51.8300     0.010000    1.494493    0.000000    
6           1         1           53.0300     0.010000    1.339115    0.000000    
6           2         1           50.8300     0.010000    1.333944    0.000000    
6           3         1           51.5600     0.010000    1.342930    0.000000    
6           4         1           51.0100     0.010000    1.334517    0.000000    
7           0         1           51.6000     0.010000    1.451138    0.000000    
7           1         1           52.8400     0.010000    1.286783    0.000000    
7           2         1           55.5400     0.010000    1.284085    0.000000    
7           3         1           52.8300     0.010000    1.293214    0.000000    
7           4         1           52.7900     0.010000    1.281981    0.000000    
8           0         1           53.8700     0.010000    1.410348    0.000000    
8           1         1           54.0500     0.010000    1.246418    0.000000    
8           2         1           54.1700     0.010000    1.241535    0.000000    
8           3         1           52.3700     0.010000    1.238470    0.000000    
8           4         1           50.1800     0.010000    1.241327    0.000000    
9           0         1           54.0000     0.010000    1.375302    0.000000    
9           1         1           53.8500     0.010000    1.201496    0.000000    
9           2         1           54.4300     0.010000    1.198013    0.000000    
9           3         1           54.9900     0.010000    1.204160    0.000000    
9           4         1           54.9200     0.010000    1.197179    0.000000    
10          0         1           55.7900     0.010000    1.340497    0.000000    
10          1         1           54.1700     0.010000    1.168833    0.000000    
10          2         1           56.1800     0.010000    1.157679    0.000000    
10          3         1           57.0200     0.010000    1.164061    0.000000    
10          4         1           57.3000     0.010000    1.168159    0.000000    
11          0         1           57.9900     0.010000    1.311682    0.000000    
11          1         1           58.3600     0.010000    1.135728    0.000000    
11          2         1           59.6800     0.010000    1.127604    0.000000    
11          3         1           56.6600     0.010000    1.124189    0.000000    
11          4         1           60.1800     0.010000    1.128523    0.000000    
12          0         1           59.4200     0.010000    1.281293    0.000000    
12          1         1           55.8500     0.010000    1.103743    0.000000    
12          2         1           59.0800     0.010000    1.094790    0.000000    
12          3         1           57.9700     0.010000    1.093985    0.000000    
12          4         1           59.9300     0.010000    1.090248    0.000000    
13          0         1           57.5500     0.010000    1.254188    0.000000    
13          1         1           60.4100     0.010000    1.072463    0.000000    
13          2         1           60.9300     0.010000    1.063868    0.000000    
13          3         1           60.0200     0.010000    1.063060    0.000000    
13          4         1           61.9400     0.010000    1.060953    0.000000    
14          0         1           56.7500     0.010000    1.226887    0.000000    
14          1         1           60.3000     0.010000    1.045855    0.000000    
14          2         1           55.7900     0.010000    1.035335    0.000000    
14          3         1           59.7900     0.010000    1.033642    0.000000    
14          4         1           61.9300     0.010000    1.033387    0.000000    
15          0         1           59.2500     0.010000    1.200323    0.000000    
15          1         1           62.0300     0.010000    1.019224    0.000000    
15          2         1           62.2600     0.010000    1.004786    0.000000    
15          3         1           62.1900     0.010000    1.004123    0.000000    
15          4         1           62.2700     0.010000    1.007880    0.000000    
16          0         1           58.7700     0.010000    1.178287    0.000000    
16          1         1           58.6900     0.010000    0.992064    0.000000    
16          2         1           62.0600     0.010000    0.980315    0.000000    
16          3         1           63.3300     0.010000    0.979410    0.000000    
16          4         1           61.9300     0.010000    0.982439    0.000000    
17          0         1           60.8000     0.010000    1.152441    0.000000    
17          1         1           59.7700     0.010000    0.965235    0.000000    
17          2         1           63.2800     0.010000    0.949568    0.000000    
17          3         1           61.1200     0.010000    0.948135    0.000000    
17          4         1           60.1200     0.010000    0.952834    0.000000    
18          0         1           62.1400     0.010000    1.129448    0.000000    
18          1         1           63.2200     0.010000    0.944863    0.000000    
18          2         1           63.5700     0.010000    0.933541    0.000000    
18          3         1           64.4200     0.010000    0.927948    0.000000    
18          4         1           65.3200     0.010000    0.932327    0.000000    
19          0         1           62.6900     0.010000    1.109049    0.000000    
19          1         1           60.5100     0.010000    0.919781    0.000000    
19          2         1           63.3200     0.010000    0.907306    0.000000    
19          3         1           65.0000     0.010000    0.902403    0.000000    
19          4         1           63.8800     0.010000    0.906970    0.000000    
20          0         1           65.0400     0.010000    1.091433    0.000000    
20          1         1           65.7900     0.010000    0.899853    0.000000    
20          2         1           64.3900     0.010000    0.888622    0.000000    
20          3         1           64.7900     0.010000    0.881998    0.000000    
20          4         1           61.7300     0.010000    0.889072    0.000000    
21          0         1           60.2800     0.010000    1.072409    0.000000    
21          1         1           65.6800     0.010000    0.880287    0.000000    
21          2         1           64.5900     0.010000    0.863454    0.000000    
21          3         1           61.2500     0.010000    0.861800    0.000000    
21          4         1           64.2900     0.010000    0.865502    0.000000    
22          0         1           61.8200     0.010000    1.051932    0.000000    
22          1         1           66.7700     0.010000    0.860674    0.000000    
22          2         1           64.7100     0.010000    0.846686    0.000000    
22          3         1           65.5000     0.010000    0.838381    0.000000    
22          4         1           64.5700     0.010000    0.845163    0.000000    
23          0         1           65.6500     0.010000    1.035167    0.000000    
23          1         1           67.2000     0.010000    0.840106    0.000000    
23          2         1           66.3100     0.010000    0.828666    0.000000    
23          3         1           67.5200     0.010000    0.816985    0.000000    
23          4         1           65.6000     0.010000    0.823517    0.000000    
24          0         1           61.5300     0.010000    1.020836    0.000000    
24          1         1           66.3500     0.010000    0.812742    0.000000    
24          2         1           64.5500     0.010000    0.804879    0.000000    
24          3         1           64.1100     0.010000    0.798134    0.000000    
24          4         1           66.3400     0.010000    0.803147    0.000000    
25          0         1           66.0400     0.010000    0.990475    0.000000    
25          1         1           66.8000     0.010000    0.792548    0.000000    
25          2         1           66.4300     0.010000    0.784172    0.000000    
25          3         1           67.2300     0.010000    0.783460    0.000000    
25          4         1           64.6500     0.010000    0.782250    0.000000    
26          0         1           65.9900     0.010000    0.971825    0.000000    
26          1         1           67.6200     0.010000    0.773439    0.000000    
26          2         1           66.5300     0.010000    0.765428    0.000000    
26          3         1           68.2800     0.010000    0.756531    0.000000    
26          4         1           66.4800     0.010000    0.762559    0.000000    
27          0         1           64.6500     0.010000    0.956014    0.000000    
27          1         1           68.8000     0.010000    0.754838    0.000000    
27          2         1           65.4700     0.010000    0.752127    0.000000    
27          3         1           67.9700     0.010000    0.739422    0.000000    
27          4         1           66.4000     0.010000    0.745315    0.000000    
28          0         1           63.2700     0.010000    0.933755    0.000000    
28          1         1           67.6500     0.010000    0.736410    0.000000    
28          2         1           66.8200     0.010000    0.731302    0.000000    
28          3         1           68.5200     0.010000    0.718238    0.000000    
28          4         1           68.5500     0.010000    0.722560    0.000000    
29          0         1           65.5200     0.010000    0.918329    0.000000    
29          1         1           67.0300     0.010000    0.717244    0.000000    
29          2         1           65.3100     0.010000    0.712954    0.000000    
29          3         1           68.8100     0.010000    0.699490    0.000000    
29          4         1           67.8700     0.010000    0.705490    0.000000    
30          0         1           66.5200     0.010000    0.897963    0.000000    
30          1         1           64.6200     0.010000    0.696008    0.000000    
30          2         1           69.2600     0.010000    0.691375    0.000000    
30          3         1           68.6800     0.010000    0.678663    0.000000    
30          4         1           66.4900     0.010000    0.685116    0.000000    
31          0         1           67.4600     0.010000    0.878833    0.000000    
31          1         1           67.3900     0.010000    0.672653    0.000000    
31          2         1           66.7300     0.010000    0.671489    0.000000    
31          3         1           69.2800     0.010000    0.659036    0.000000    
31          4         1           69.1700     0.010000    0.666425    0.000000    
32          0         1           64.9200     0.010000    0.859240    0.000000    
32          1         1           68.8000     0.010000    0.659650    0.000000    
32          2         1           66.2400     0.010000    0.651907    0.000000    
32          3         1           70.0600     0.010000    0.645086    0.000000    
32          4         1           68.3000     0.010000    0.645489    0.000000    
33          0         1           67.3300     0.010000    0.842363    0.000000    
33          1         1           68.9800     0.010000    0.637474    0.000000    
33          2         1           67.0400     0.010000    0.637147    0.000000    
33          3         1           68.4500     0.010000    0.626287    0.000000    
33          4         1           69.5000     0.010000    0.627132    0.000000    
34          0         1           65.7600     0.010000    0.822275    0.000000    
34          1         1           67.7200     0.010000    0.621854    0.000000    
34          2         1           69.8000     0.010000    0.618751    0.000000    
34          3         1           68.8100     0.010000    0.604479    0.000000    
34          4         1           68.4700     0.010000    0.605538    0.000000    
35          0         1           66.7300     0.010000    0.804491    0.000000    
35          1         1           69.4400     0.010000    0.598799    0.000000    
35          2         1           67.8200     0.010000    0.592587    0.000000    
35          3         1           69.2800     0.010000    0.589236    0.000000    
35          4         1           70.5300     0.010000    0.591956    0.000000    
36          0         1           67.4900     0.010000    0.783852    0.000000    
36          1         1           69.0600     0.010000    0.575877    0.000000    
36          2         1           64.0200     0.010000    0.579114    0.000000    
36          3         1           69.7000     0.010000    0.569893    0.000000    
36          4         1           69.3700     0.010000    0.572812    0.000000    
37          0         1           66.9400     0.010000    0.763964    0.000000    
37          1         1           67.3400     0.010000    0.557834    0.000000    
37          2         1           67.5300     0.010000    0.559646    0.000000    
37          3         1           69.8500     0.010000    0.553899    0.000000    
37          4         1           68.6700     0.010000    0.554528    0.000000    
38          0         1           63.5600     0.010000    0.740731    0.000000    
38          1         1           69.5100     0.010000    0.542881    0.000000    
38          2         1           70.1600     0.010000    0.537853    0.000000    
38          3         1           67.4300     0.010000    0.531324    0.000000    
38          4         1           68.2700     0.010000    0.536777    0.000000    
39          0         1           68.8500     0.010000    0.720923    0.000000    
39          1         1           67.4300     0.010000    0.522083    0.000000    
39          2         1           67.7100     0.010000    0.518328    0.000000    
39          3         1           69.6600     0.010000    0.512632    0.000000    
39          4         1           67.5400     0.010000    0.517387    0.000000    
40          0         1           64.6300     0.010000    0.703207    0.000000    
40          1         1           68.9800     0.010000    0.502955    0.000000    
40          2         1           68.1100     0.010000    0.507216    0.000000    
40          3         1           68.1600     0.010000    0.491102    0.000000    
40          4         1           69.2900     0.010000    0.497592    0.000000    
41          0         1           67.2100     0.010000    0.677357    0.000000    
41          1         1           67.0700     0.010000    0.485079    0.000000    
41          2         1           66.9600     0.010000    0.486400    0.000000    
41          3         1           68.8600     0.010000    0.473503    0.000000    
41          4         1           67.6500     0.010000    0.475943    0.000000    
42          0         1           66.0600     0.010000    0.657685    0.000000    
42          1         1           69.3000     0.010000    0.465214    0.000000    
42          2         1           70.4400     0.010000    0.470870    0.000000    
42          3         1           67.8100     0.010000    0.456856    0.000000    
42          4         1           69.0000     0.010000    0.461521    0.000000    
43          0         1           67.9000     0.010000    0.635539    0.000000    
43          1         1           70.7700     0.010000    0.445434    0.000000    
43          2         1           67.8900     0.010000    0.450599    0.000000    
43          3         1           69.0100     0.010000    0.440748    0.000000    
43          4         1           69.3400     0.010000    0.442603    0.000000    
44          0         1           63.5400     0.010000    0.613329    0.000000    
44          1         1           70.6300     0.010000    0.431742    0.000000    
44          2         1           69.1900     0.010000    0.419895    0.000000    
44          3         1           69.2600     0.010000    0.424419    0.000000    
44          4         1           69.4000     0.010000    0.424098    0.000000    
45          0         1           67.8400     0.010000    0.592677    0.000000    
45          1         1           65.3300     0.010000    0.412378    0.000000    
45          2         1           69.7700     0.010000    0.407703    0.000000    
45          3         1           69.0800     0.010000    0.405022    0.000000    
45          4         1           68.2100     0.010000    0.400508    0.000000    
46          0         1           64.7900     0.010000    0.577456    0.000000    
46          1         1           69.8300     0.010000    0.391909    0.000000    
46          2         1           67.8500     0.010000    0.391254    0.000000    
46          3         1           69.9400     0.010000    0.388169    0.000000    
46          4         1           68.4300     0.010000    0.384449    0.000000    
47          0         1           68.8100     0.010000    0.549115    0.000000    
47          1         1           69.9800     0.010000    0.370167    0.000000    
47          2         1           70.2700     0.010000    0.369162    0.000000    
47          3         1           69.4500     0.010000    0.367610    0.000000    
47          4         1           70.1600     0.010000    0.372007    0.000000    
48          0         1           66.0900     0.010000    0.530724    0.000000    
48          1         1           69.3200     0.010000    0.356652    0.000000    
48          2         1           70.8400     0.010000    0.353888    0.000000    
48          3         1           70.3300     0.010000    0.350453    0.000000    
48          4         1           65.1700     0.010000    0.360070    0.000000    
49          0         1           63.7700     0.010000    0.509507    0.000000    
49          1         1           67.3000     0.010000    0.338329    0.000000    
49          2         1           69.9200     0.010000    0.341192    0.000000    
49          3         1           71.0800     0.010000    0.333024    0.000000    
49          4         1           66.1000     0.010000    0.329519    0.000000    
50          0         1           64.6700     0.010000    0.476484    0.000000    
50          1         1           70.2200     0.010000    0.323102    0.000000    
50          2         1           70.1200     0.010000    0.314133    0.000000    
50          3         1           68.6900     0.010000    0.319150    0.000000    
50          4         1           68.8900     0.010000    0.319743    0.000000    
