ClientID	NNPass_Train	TrainLoss	NNPass_Test	TestLoss
0	433	0.466071	433	1.554016
0	866	0.236687	866	0.795055
0	1299	0.148066	1299	0.410197
0	1732	0.120594	1732	0.365411
0	2165	0.100493	2165	0.537634
0	2598	0.092939	2598	0.249610
0	3031	0.074033	3031	0.203329
0	3464	0.071883	3464	0.192021
0	3897	0.069861	3897	0.231123
0	4330	0.062613	4330	0.210362
0	4763	0.058590	4763	0.169096
0	5196	0.048701	5196	0.181369
0	5629	0.046858	5629	0.180146
0	6062	0.048451	6062	0.168328
0	6495	0.043080	6495	0.220057
0	6928	0.039809	6928	0.141190
0	7361	0.043782	7361	0.113633
0	7794	0.043903	7794	0.205299
0	8227	0.036531	8227	0.165683
0	8660	0.038150	8660	0.164792
0	9093	0.035533	9093	0.092138
0	9526	0.041595	9526	0.080437
0	9959	0.038641	9959	0.164016
0	10392	0.050109	10392	0.167571
0	10825	0.034586	10825	0.132864
0	11258	0.039319	11258	0.102605
0	11691	0.036246	11691	0.159389
0	12124	0.030042	12124	0.067828
0	12557	0.029931	12557	0.120611
0	12990	0.028933	12990	0.091412
0	13423	0.028195	13423	0.104740
0	13856	0.033227	13856	0.103679
0	14289	0.033114	14289	0.189147
0	14722	0.032726	14722	0.100349
0	15155	0.027840	15155	0.105457
0	15588	0.033917	15588	0.136879
0	16021	0.025965	16021	0.102366
0	16454	0.027865	16454	0.132211
0	16887	0.031822	16887	0.136532
0	17320	0.025720	17320	0.119813
0	17753	0.026628	17753	0.100533
0	18186	0.032037	18186	0.241930
0	18619	0.031780	18619	0.092046
0	19052	0.026344	19052	0.152584
0	19485	0.031333	19485	0.134147
0	19918	0.031961	19918	0.079387
0	20351	0.031453	20351	0.095067
0	20784	0.030555	20784	0.077221
0	21217	0.024426	21217	0.130953
0	21650	0.025238	21650	0.090679
1	320	0.570949	320	3.640603
1	640	0.211670	640	1.328963
1	960	0.130102	960	1.175510
1	1280	0.092926	1280	0.884465
1	1600	0.073427	1600	0.450663
1	1920	0.070655	1920	0.914814
1	2240	0.060115	2240	0.533182
1	2560	0.061835	2560	0.394485
1	2880	0.052999	2880	0.388566
1	3200	0.047197	3200	0.304526
1	3520	0.046929	3520	0.233536
1	3840	0.041310	3840	0.304634
1	4160	0.040227	4160	0.191684
1	4480	0.035979	4480	0.341895
1	4800	0.037386	4800	0.246942
1	5120	0.035009	5120	0.179343
1	5440	0.040421	5440	0.267075
1	5760	0.033506	5760	0.211836
1	6080	0.032576	6080	0.259118
1	6400	0.029933	6400	0.095323
1	6720	0.028254	6720	0.123647
1	7040	0.028291	7040	0.192456
1	7360	0.027955	7360	0.183023
1	7680	0.028279	7680	0.130221
1	8000	0.025893	8000	0.165619
1	8320	0.025414	8320	0.144835
1	8640	0.032894	8640	0.136457
1	8960	0.031924	8960	0.214988
1	9280	0.029722	9280	0.151299
1	9600	0.030382	9600	0.193265
1	9920	0.029373	9920	0.115115
1	10240	0.027319	10240	0.133900
1	10560	0.029551	10560	0.168378
1	10880	0.029826	10880	0.421743
1	11200	0.026965	11200	0.121669
1	11520	0.021537	11520	0.150978
1	11840	0.029650	11840	0.149491
1	12160	0.026786	12160	0.134739
1	12480	0.030517	12480	0.127350
1	12800	0.025771	12800	0.153746
1	13120	0.018176	13120	0.121773
1	13440	0.021860	13440	0.195165
1	13760	0.027713	13760	0.133392
1	14080	0.021289	14080	0.124636
1	14400	0.021335	14400	0.146519
1	14720	0.023060	14720	0.146242
1	15040	0.021041	15040	0.090836
1	15360	0.029275	15360	0.108162
1	15680	0.021112	15680	0.139835
1	16000	0.026128	16000	0.135240
2	521	0.473634	521	2.232049
2	1042	0.219837	1042	1.463214
2	1563	0.135997	1563	0.777520
2	2084	0.103001	2084	0.586714
2	2605	0.088287	2605	0.396204
2	3126	0.076693	3126	0.699061
2	3647	0.077554	3647	0.515955
2	4168	0.069080	4168	0.284400
2	4689	0.057218	4689	0.343344
2	5210	0.054908	5210	0.337576
2	5731	0.053687	5731	0.438804
2	6252	0.055711	6252	0.409907
2	6773	0.051313	6773	0.300984
2	7294	0.056593	7294	0.319605
2	7815	0.045898	7815	0.287891
2	8336	0.045349	8336	0.267770
2	8857	0.034686	8857	0.355116
2	9378	0.045979	9378	0.377647
2	9899	0.041139	9899	0.208287
2	10420	0.034031	10420	0.121662
2	10941	0.035753	10941	0.308097
2	11462	0.043905	11462	0.427493
2	11983	0.035594	11983	0.249609
2	12504	0.035989	12504	0.242124
2	13025	0.036105	13025	0.305847
2	13546	0.030465	13546	0.199551
2	14067	0.046371	14067	0.415121
2	14588	0.035661	14588	0.215106
2	15109	0.040372	15109	0.195878
2	15630	0.029841	15630	0.242349
2	16151	0.032430	16151	0.228880
2	16672	0.034377	16672	0.140571
2	17193	0.029505	17193	0.127661
2	17714	0.031988	17714	0.199300
2	18235	0.027845	18235	0.178195
2	18756	0.024085	18756	0.199287
2	19277	0.032970	19277	0.156273
2	19798	0.031294	19798	0.164176
2	20319	0.038316	20319	0.166326
2	20840	0.027158	20840	0.137255
2	21361	0.031199	21361	0.166119
2	21882	0.030411	21882	0.142732
2	22403	0.031932	22403	0.274303
2	22924	0.025436	22924	0.159520
2	23445	0.032291	23445	0.199168
2	23966	0.027628	23966	0.122701
2	24487	0.025603	24487	0.161852
2	25008	0.026929	25008	0.256967
2	25529	0.024361	25529	0.132521
2	26050	0.029267	26050	0.157029
3	336	0.459409	336	2.705061
3	672	0.166329	672	1.707615
3	1008	0.107992	1008	1.229975
3	1344	0.075429	1344	0.870585
3	1680	0.062711	1680	0.462492
3	2016	0.053992	2016	0.703123
3	2352	0.049257	2352	0.811634
3	2688	0.043350	2688	0.464950
3	3024	0.040684	3024	0.462399
3	3360	0.030486	3360	0.381066
3	3696	0.030044	3696	0.296810
3	4032	0.038466	4032	0.253387
3	4368	0.029365	4368	0.187237
3	4704	0.025367	4704	0.477707
3	5040	0.027879	5040	0.318939
3	5376	0.021610	5376	0.334747
3	5712	0.027975	5712	0.316833
3	6048	0.024173	6048	0.162506
3	6384	0.027174	6384	0.210448
3	6720	0.022397	6720	0.259958
3	7056	0.028065	7056	0.186223
3	7392	0.024111	7392	0.348267
3	7728	0.022752	7728	0.178695
3	8064	0.019713	8064	0.182353
3	8400	0.023322	8400	0.430804
3	8736	0.022637	8736	0.188371
3	9072	0.020280	9072	0.173139
3	9408	0.022237	9408	0.211596
3	9744	0.024956	9744	0.165645
3	10080	0.022552	10080	0.219226
3	10416	0.025506	10416	0.189561
3	10752	0.020380	10752	0.110352
3	11088	0.022434	11088	0.153099
3	11424	0.049058	11424	0.291075
3	11760	0.021444	11760	0.225660
3	12096	0.022139	12096	0.352575
3	12432	0.020014	12432	0.161142
3	12768	0.021835	12768	0.185900
3	13104	0.021905	13104	0.152769
3	13440	0.020416	13440	0.175545
3	13776	0.023008	13776	0.142764
3	14112	0.019315	14112	0.144568
3	14448	0.019160	14448	0.160828
3	14784	0.020002	14784	0.139640
3	15120	0.020247	15120	0.132553
3	15456	0.027748	15456	0.301699
3	15792	0.017385	15792	0.168833
3	16128	0.023802	16128	0.233335
3	16464	0.024421	16464	0.528380
3	16800	0.017562	16800	0.162674
4	267	0.587292	267	2.913321
4	534	0.211462	534	1.253817
4	801	0.113573	801	0.616818
4	1068	0.087198	1068	0.529181
4	1335	0.073358	1335	0.662324
4	1602	0.054521	1602	0.410751
4	1869	0.052101	1869	0.407238
4	2136	0.050935	2136	0.347374
4	2403	0.040603	2403	0.290614
4	2670	0.048056	2670	0.224364
4	2937	0.038516	2937	0.315299
4	3204	0.048055	3204	0.172348
