GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           64.7500     0.085571    0.466071    2.592658    
1           1         1           51.8500     0.082707    0.570949    2.601379    
1           2         1           65.8300     0.088898    0.473634    2.780385    
1           3         1           66.3300     0.064513    0.459409    2.864471    
1           4         1           53.6500     0.080932    0.587292    2.633337    
2           0         1           76.0600     0.088283    0.236687    2.511060    
2           1         1           63.1400     0.064482    0.211670    2.496372    
2           2         1           68.9000     0.077361    0.219837    2.438194    
2           3         1           67.6300     0.064637    0.166329    2.267382    
2           4         1           72.1100     0.101512    0.211462    2.141241    
3           0         1           83.4100     0.118475    0.148066    1.895820    
3           1         1           69.4800     0.083398    0.130102    1.986047    
3           2         1           80.0500     0.104799    0.135997    1.866772    
3           3         1           69.2100     0.116171    0.107992    1.657324    
3           4         1           83.2000     0.111348    0.113573    1.686267    
4           0         1           86.1800     0.141269    0.120594    1.644823    
4           1         1           75.0700     0.115943    0.092926    1.469249    
4           2         1           86.3400     0.123626    0.103001    1.585530    
4           3         1           74.3700     0.125822    0.075429    1.340762    
4           4         1           84.2500     0.133159    0.087198    1.405610    
5           0         1           79.7500     0.134363    0.100493    1.531056    
5           1         1           86.1900     0.125002    0.073427    1.285313    
5           2         1           87.2700     0.128776    0.088287    1.437997    
5           3         1           84.9100     0.155701    0.062711    1.113024    
5           4         1           81.3100     0.159320    0.073358    1.171896    
6           0         1           91.6600     0.158625    0.092939    1.367834    
6           1         1           75.2000     0.131333    0.070655    1.242641    
6           2         1           80.5100     0.142077    0.076693    1.296831    
6           3         1           80.5700     0.160880    0.053992    1.080305    
6           4         1           87.0900     0.159321    0.054521    1.051931    
7           0         1           93.8700     0.148521    0.074033    1.268637    
7           1         1           84.0300     0.124870    0.060115    1.190065    
7           2         1           83.5300     0.134359    0.077554    1.332059    
7           3         1           77.2700     0.183601    0.049257    0.975476    
7           4         1           87.8600     0.151127    0.052101    1.106235    
8           0         1           93.7700     0.152500    0.071883    1.200874    
8           1         1           87.5400     0.144290    0.061835    1.146631    
8           2         1           90.8300     0.143613    0.069080    1.257033    
8           3         1           87.5800     0.190755    0.043350    0.966657    
8           4         1           88.1800     0.195410    0.050935    0.991213    
9           0         1           91.8900     0.139542    0.069861    1.232573    
9           1         1           87.5700     0.149334    0.052999    1.058590    
9           2         1           88.9300     0.157104    0.057218    1.105278    
9           3         1           86.6200     0.182656    0.040684    0.871210    
9           4         1           90.2900     0.183874    0.040603    0.885547    
10          0         1           93.3800     0.166520    0.062613    1.116858    
10          1         1           89.9500     0.154048    0.047197    0.971031    
10          2         1           90.5300     0.154060    0.054908    1.061731    
10          3         1           89.9900     0.223600    0.030486    0.728578    
10          4         1           93.4500     0.184437    0.048056    0.992127    
11          0         1           94.8500     0.153336    0.058590    1.143919    
11          1         1           92.7500     0.175822    0.046929    0.937429    
11          2         1           88.0400     0.141607    0.053687    1.126245    
11          3         1           92.2300     0.252177    0.030044    0.781819    
11          4         1           90.1300     0.181367    0.038516    0.821364    
12          0         1           94.9900     0.157447    0.048701    1.029680    
12          1         1           90.6700     0.150531    0.041310    0.949332    
12          2         1           88.1500     0.137989    0.055711    1.132548    
12          3         1           92.2000     0.230194    0.038466    0.845572    
12          4         1           94.6700     0.180977    0.048055    1.012347    
13          0         1           94.3900     0.162570    0.046858    0.983204    
13          1         1           93.9100     0.167197    0.040227    0.929865    
13          2         1           90.8900     0.144051    0.051313    1.088108    
13          3         1           94.3400     0.371762    0.029365    0.728285    
13          4         1           94.1100     0.180093    0.040249    0.866381    
14          0         1           95.1000     0.151383    0.048451    1.038190    
14          1         1           90.7900     0.219786    0.035979    0.887827    
14          2         1           89.5100     0.167924    0.056593    1.078212    
14          3         1           88.4600     0.401061    0.025367    0.657092    
14          4         1           94.5500     0.200976    0.031923    0.790901    
15          0         1           93.9100     0.161115    0.043080    0.956086    
15          1         1           93.3900     0.139162    0.037386    0.946583    
15          2         1           92.0100     0.139704    0.045898    1.055504    
15          3         1           92.0100     0.386351    0.027879    0.718127    
15          4         1           95.6400     0.206558    0.033094    0.847550    
16          0         1           95.8900     0.199897    0.039809    0.908727    
16          1         1           94.6400     0.197089    0.035009    0.903583    
16          2         1           91.2500     0.134993    0.045349    1.059702    
16          3         1           91.6900     0.466254    0.021610    0.607561    
16          4         1           94.2600     0.253420    0.027997    0.730067    
17          0         1           96.5100     0.146384    0.043782    0.989825    
17          1         1           92.2500     0.180891    0.040421    0.982716    
17          2         1           91.4500     0.146959    0.034686    0.925183    
17          3         1           91.5900     0.217889    0.027975    0.861777    
17          4         1           96.7500     0.240486    0.030622    0.767281    
18          0         1           93.8400     0.158852    0.043903    1.007013    
18          1         1           93.9800     0.148473    0.033506    0.905351    
18          2         1           90.1700     0.144925    0.045979    1.104708    
18          3         1           95.7000     0.430654    0.024173    0.646474    
18          4         1           94.8700     0.259572    0.024988    0.714855    
19          0         1           95.2700     0.233096    0.036531    0.941902    
19          1         1           92.6600     0.180690    0.032576    0.881859    
19          2         1           93.8500     0.163944    0.041139    0.979484    
19          3         1           94.5500     0.555363    0.027174    0.698502    
19          4         1           96.7700     0.365718    0.027042    0.707455    
20          0         1           95.5600     0.177282    0.038150    0.936378    
20          1         1           97.1300     0.179738    0.029933    0.873515    
20          2         1           96.4900     0.163860    0.034031    0.959514    
20          3         1           93.7900     0.518844    0.022397    0.609629    
20          4         1           96.6300     0.250580    0.032258    0.823090    
21          0         1           97.5100     0.177009    0.035533    0.861044    
21          1         1           96.6800     0.145066    0.028254    0.849760    
21          2         1           92.6300     0.152662    0.035753    0.984714    
21          3         1           95.3000     0.284635    0.028065    0.739834    
21          4         1           95.9000     0.355325    0.031528    0.789256    
22          0         1           97.5600     0.131065    0.041595    1.040291    
22          1         1           95.3000     0.260401    0.028291    0.826224    
22          2         1           90.2900     0.172718    0.043905    0.994131    
22          3         1           91.5300     0.353274    0.024111    0.671436    
22          4         1           94.6300     0.209376    0.028751    0.783882    
23          0         1           95.3100     0.157991    0.038641    0.994850    
23          1         1           95.1200     0.141919    0.027955    0.875577    
23          2         1           93.1000     0.130357    0.035594    0.997924    
23          3         1           95.6300     0.355116    0.022752    0.666750    
23          4         1           96.1800     0.372849    0.021517    0.625357    
24          0         1           95.3500     0.153777    0.050109    1.079137    
24          1         1           96.6700     0.239645    0.028279    0.875152    
24          2         1           93.8200     0.113306    0.035989    1.020855    
24          3         1           95.5900     0.576764    0.019713    0.617839    
24          4         1           95.6300     0.234375    0.035281    0.907149    
25          0         1           96.6500     0.175063    0.034586    0.953201    
25          1         1           95.9100     0.265496    0.025893    0.839104    
25          2         1           92.5500     0.159178    0.036105    0.987323    
25          3         1           90.4900     0.588406    0.023322    0.685235    
25          4         1           97.3700     0.338428    0.027954    0.813387    
26          0         1           97.3400     0.153414    0.039319    1.048440    
26          1         1           96.6500     0.243362    0.025414    0.774921    
26          2         1           95.1400     0.144579    0.030465    0.961404    
26          3         1           95.4400     0.542002    0.022637    0.659901    
26          4         1           96.3900     0.359703    0.029698    0.800684    
27          0         1           95.8200     0.164351    0.036246    0.978718    
27          1         1           96.5700     0.122125    0.032894    0.992660    
27          2         1           89.4500     0.180184    0.046371    1.077411    
27          3         1           95.8000     0.316806    0.020280    0.622745    
27          4         1           97.4800     0.324105    0.030186    0.766480    
28          0         1           98.0200     0.172333    0.030042    0.867168    
28          1         1           94.6200     0.219175    0.031924    0.943629    
28          2         1           94.8200     0.164931    0.035661    1.025006    
28          3         1           94.9800     0.695981    0.022237    0.664269    
28          4         1           95.4600     0.251445    0.024049    0.705428    
29          0         1           97.0500     0.205176    0.029931    0.878709    
29          1         1           96.2200     0.201712    0.029722    0.879371    
29          2         1           93.9600     0.152605    0.040372    1.058328    
29          3         1           95.8400     0.690023    0.024956    0.683139    
29          4         1           97.4200     0.236129    0.029908    0.825300    
30          0         1           97.5700     0.174505    0.028933    0.916232    
30          1         1           95.1400     0.139563    0.030382    0.966159    
30          2         1           94.1000     0.184390    0.029841    0.891276    
30          3         1           94.9100     0.628126    0.022552    0.713908    
30          4         1           97.3600     0.319835    0.025630    0.699261    
31          0         1           97.3700     0.244790    0.028195    0.848159    
31          1         1           96.9000     0.219427    0.029373    0.888271    
31          2         1           94.4700     0.163770    0.032430    0.987368    
31          3         1           95.4500     0.416604    0.025506    0.736238    
31          4         1           97.4500     0.613845    0.021459    0.638136    
32          0         1           97.0500     0.177868    0.033227    0.960277    
32          1         1           96.6500     0.236797    0.027319    0.847287    
32          2         1           96.2500     0.234261    0.034377    0.982760    
32          3         1           97.3800     0.503823    0.020380    0.593900    
32          4         1           96.2500     0.449353    0.022857    0.693228    
33          0         1           94.7500     0.165500    0.033114    0.988955    
33          1         1           96.1500     0.168848    0.029551    0.946059    
33          2         1           96.2700     0.160426    0.029505    0.961989    
33          3         1           96.3700     0.379686    0.022434    0.688764    
33          4         1           98.0200     0.277898    0.022705    0.726149    
34          0         1           97.4000     0.174572    0.032726    0.954365    
34          1         1           92.2000     0.203148    0.029826    0.867065    
34          2         1           94.9600     0.199927    0.031988    0.981868    
34          3         1           93.1900     0.501752    0.049058    1.038839    
34          4         1           96.4300     0.471417    0.024637    0.753817    
35          0         1           97.5200     0.257961    0.027840    0.836988    
35          1         1           96.8400     0.309709    0.026965    0.845338    
35          2         1           95.5400     0.209612    0.027845    0.876544    
35          3         1           94.9700     1.069875    0.021444    0.583202    
