GlobalRound	GlobalAccuracy
1	67.8800
2	92.4100
3	94.1500
4	96.0900
5	96.6800
6	96.9000
7	97.2900
8	97.5300
9	97.8800
10	97.9000
11	98.0800
12	98.0000
13	98.0400
14	97.8300
15	98.1800
16	98.0400
17	98.2800
18	98.2900
19	98.3900
20	98.4900
21	98.4500
22	98.2700
23	98.3800
24	98.5500
25	98.5300
26	98.4900
27	98.6100
28	98.5200
29	98.5000
30	98.5900
31	98.4800
32	98.6600
33	98.5400
34	98.4400
35	98.6100
36	98.5800
37	98.6000
38	98.7000
39	98.6800
40	98.8600
41	98.7600
42	98.6800
43	98.7300
44	98.6300
45	98.6700
46	98.8100
47	98.7400
48	98.7700
49	98.6700
50	98.7100
