GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           84.9400     0.010000    1.683464    0.000000    
1           1         1           86.2600     0.010000    1.507824    0.000000    
1           2         1           84.3100     0.010000    1.514062    0.000000    
1           3         1           87.5900     0.010000    1.483191    0.000000    
1           4         1           86.9700     0.010000    1.502122    0.000000    
2           0         1           92.8100     0.010000    0.665006    0.000000    
2           1         1           93.2400     0.010000    0.349229    0.000000    
2           2         1           92.7400     0.010000    0.355537    0.000000    
2           3         1           91.7500     0.010000    0.347225    0.000000    
2           4         1           92.3300     0.010000    0.350644    0.000000    
3           0         1           94.0000     0.010000    0.553962    0.000000    
3           1         1           94.4700     0.010000    0.233259    0.000000    
3           2         1           94.4700     0.010000    0.234998    0.000000    
3           3         1           94.5500     0.010000    0.237280    0.000000    
3           4         1           94.5300     0.010000    0.233086    0.000000    
4           0         1           94.7400     0.010000    0.506192    0.000000    
4           1         1           95.2300     0.010000    0.181382    0.000000    
4           2         1           95.5400     0.010000    0.182317    0.000000    
4           3         1           92.9100     0.010000    0.185358    0.000000    
4           4         1           95.8900     0.010000    0.181828    0.000000    
5           0         1           95.9700     0.010000    0.476341    0.000000    
5           1         1           95.9700     0.010000    0.150444    0.000000    
5           2         1           96.3600     0.010000    0.151594    0.000000    
5           3         1           96.3200     0.010000    0.157670    0.000000    
5           4         1           96.3600     0.010000    0.149365    0.000000    
6           0         1           96.1500     0.010000    0.458049    0.000000    
6           1         1           96.1300     0.010000    0.133035    0.000000    
6           2         1           96.0700     0.010000    0.132685    0.000000    
6           3         1           96.3400     0.010000    0.134815    0.000000    
6           4         1           96.3300     0.010000    0.128236    0.000000    
7           0         1           96.2500     0.010000    0.447785    0.000000    
7           1         1           97.0900     0.010000    0.118425    0.000000    
7           2         1           96.5000     0.010000    0.118189    0.000000    
7           3         1           97.3500     0.010000    0.122045    0.000000    
7           4         1           96.2100     0.010000    0.114435    0.000000    
8           0         1           96.2900     0.010000    0.436669    0.000000    
8           1         1           96.6000     0.010000    0.108978    0.000000    
8           2         1           97.0700     0.010000    0.108665    0.000000    
8           3         1           97.2100     0.010000    0.109980    0.000000    
8           4         1           96.9300     0.010000    0.106248    0.000000    
9           0         1           96.2700     0.010000    0.426206    0.000000    
9           1         1           97.2700     0.010000    0.099229    0.000000    
9           2         1           97.5500     0.010000    0.100375    0.000000    
9           3         1           97.0700     0.010000    0.100379    0.000000    
9           4         1           97.4300     0.010000    0.096146    0.000000    
10          0         1           96.9700     0.010000    0.421366    0.000000    
10          1         1           97.3300     0.010000    0.094757    0.000000    
10          2         1           97.6900     0.010000    0.092423    0.000000    
10          3         1           97.4100     0.010000    0.094155    0.000000    
10          4         1           97.6400     0.010000    0.090756    0.000000    
11          0         1           96.8300     0.010000    0.415074    0.000000    
11          1         1           97.6700     0.010000    0.087297    0.000000    
11          2         1           97.5700     0.010000    0.088091    0.000000    
11          3         1           97.5500     0.010000    0.088780    0.000000    
11          4         1           97.8200     0.010000    0.082798    0.000000    
12          0         1           96.8900     0.010000    0.410117    0.000000    
12          1         1           97.8700     0.010000    0.082337    0.000000    
12          2         1           97.7700     0.010000    0.079882    0.000000    
12          3         1           97.5100     0.010000    0.083770    0.000000    
12          4         1           97.2600     0.010000    0.077427    0.000000    
13          0         1           97.4100     0.010000    0.406341    0.000000    
13          1         1           98.0000     0.010000    0.077109    0.000000    
13          2         1           97.7900     0.010000    0.077557    0.000000    
13          3         1           97.9400     0.010000    0.078838    0.000000    
13          4         1           97.8200     0.010000    0.074102    0.000000    
14          0         1           96.9700     0.010000    0.402877    0.000000    
14          1         1           97.6100     0.010000    0.073095    0.000000    
14          2         1           97.8300     0.010000    0.073887    0.000000    
14          3         1           97.5300     0.010000    0.075190    0.000000    
14          4         1           97.9700     0.010000    0.070206    0.000000    
15          0         1           97.3600     0.010000    0.399265    0.000000    
15          1         1           98.1500     0.010000    0.069194    0.000000    
15          2         1           98.0500     0.010000    0.071684    0.000000    
15          3         1           98.0100     0.010000    0.071572    0.000000    
15          4         1           98.0200     0.010000    0.067282    0.000000    
16          0         1           97.1900     0.010000    0.395932    0.000000    
16          1         1           97.9700     0.010000    0.066170    0.000000    
16          2         1           97.9000     0.010000    0.066986    0.000000    
16          3         1           97.9000     0.010000    0.066425    0.000000    
16          4         1           97.6900     0.010000    0.063026    0.000000    
17          0         1           97.6200     0.010000    0.392567    0.000000    
17          1         1           97.9300     0.010000    0.061795    0.000000    
17          2         1           98.0800     0.010000    0.063850    0.000000    
17          3         1           98.1500     0.010000    0.064427    0.000000    
17          4         1           98.0500     0.010000    0.058015    0.000000    
18          0         1           97.7200     0.010000    0.390003    0.000000    
18          1         1           98.1500     0.010000    0.059655    0.000000    
18          2         1           98.3000     0.010000    0.062446    0.000000    
18          3         1           98.1300     0.010000    0.061396    0.000000    
18          4         1           98.2500     0.010000    0.056129    0.000000    
19          0         1           98.0800     0.010000    0.387450    0.000000    
19          1         1           97.9500     0.010000    0.057180    0.000000    
19          2         1           98.1200     0.010000    0.061382    0.000000    
19          3         1           98.3700     0.010000    0.058529    0.000000    
19          4         1           97.5100     0.010000    0.055139    0.000000    
20          0         1           97.8700     0.010000    0.384232    0.000000    
20          1         1           98.1500     0.010000    0.054549    0.000000    
20          2         1           98.4300     0.010000    0.057925    0.000000    
20          3         1           97.8800     0.010000    0.057161    0.000000    
20          4         1           98.0800     0.010000    0.052827    0.000000    
21          0         1           97.8700     0.010000    0.382595    0.000000    
21          1         1           98.1400     0.010000    0.054149    0.000000    
21          2         1           98.2400     0.010000    0.055026    0.000000    
21          3         1           98.2500     0.010000    0.054681    0.000000    
21          4         1           98.2600     0.010000    0.050256    0.000000    
22          0         1           97.5400     0.010000    0.381438    0.000000    
22          1         1           98.4000     0.010000    0.053484    0.000000    
22          2         1           98.2900     0.010000    0.054689    0.000000    
22          3         1           98.0900     0.010000    0.054390    0.000000    
22          4         1           98.2200     0.010000    0.047657    0.000000    
23          0         1           98.0900     0.010000    0.379084    0.000000    
23          1         1           98.5200     0.010000    0.050612    0.000000    
23          2         1           98.4200     0.010000    0.051818    0.000000    
23          3         1           98.4000     0.010000    0.052607    0.000000    
23          4         1           98.4600     0.010000    0.046767    0.000000    
24          0         1           95.8000     0.010000    0.376323    0.000000    
24          1         1           98.3300     0.010000    0.048563    0.000000    
24          2         1           98.2900     0.010000    0.048680    0.000000    
24          3         1           98.5000     0.010000    0.051538    0.000000    
24          4         1           98.3100     0.010000    0.044601    0.000000    
25          0         1           97.4100     0.010000    0.375272    0.000000    
25          1         1           98.2900     0.010000    0.046577    0.000000    
25          2         1           98.3700     0.010000    0.049309    0.000000    
25          3         1           98.3400     0.010000    0.048462    0.000000    
25          4         1           98.2700     0.010000    0.043987    0.000000    
26          0         1           98.3300     0.010000    0.374141    0.000000    
26          1         1           98.0900     0.010000    0.044811    0.000000    
26          2         1           98.4500     0.010000    0.046654    0.000000    
26          3         1           98.3500     0.010000    0.047197    0.000000    
26          4         1           98.4300     0.010000    0.042558    0.000000    
27          0         1           97.5900     0.010000    0.369617    0.000000    
27          1         1           98.4800     0.010000    0.044365    0.000000    
27          2         1           98.3300     0.010000    0.044990    0.000000    
27          3         1           98.6400     0.010000    0.045085    0.000000    
27          4         1           98.5500     0.010000    0.041376    0.000000    
28          0         1           98.1200     0.010000    0.371590    0.000000    
28          1         1           98.2700     0.010000    0.042586    0.000000    
28          2         1           98.3100     0.010000    0.044460    0.000000    
28          3         1           98.4900     0.010000    0.044248    0.000000    
28          4         1           98.4100     0.010000    0.039839    0.000000    
29          0         1           97.7100     0.010000    0.368672    0.000000    
29          1         1           98.5800     0.010000    0.042173    0.000000    
29          2         1           98.5200     0.010000    0.044897    0.000000    
29          3         1           98.2800     0.010000    0.042574    0.000000    
29          4         1           98.5300     0.010000    0.035726    0.000000    
30          0         1           97.9600     0.010000    0.364785    0.000000    
30          1         1           98.6300     0.010000    0.041421    0.000000    
30          2         1           98.6100     0.010000    0.042525    0.000000    
30          3         1           98.4800     0.010000    0.042794    0.000000    
30          4         1           98.3600     0.010000    0.037924    0.000000    
31          0         1           98.2500     0.010000    0.366843    0.000000    
31          1         1           98.7400     0.010000    0.039133    0.000000    
31          2         1           98.5000     0.010000    0.042128    0.000000    
31          3         1           98.5200     0.010000    0.039244    0.000000    
31          4         1           98.5000     0.010000    0.035873    0.000000    
32          0         1           97.8800     0.010000    0.364304    0.000000    
32          1         1           98.4400     0.010000    0.039323    0.000000    
32          2         1           98.5900     0.010000    0.040634    0.000000    
32          3         1           98.4900     0.010000    0.039195    0.000000    
32          4         1           98.6100     0.010000    0.036386    0.000000    
33          0         1           98.1400     0.010000    0.364288    0.000000    
33          1         1           98.3300     0.010000    0.037095    0.000000    
33          2         1           98.6700     0.010000    0.040032    0.000000    
33          3         1           98.6100     0.010000    0.038650    0.000000    
33          4         1           98.4400     0.010000    0.033916    0.000000    
34          0         1           98.4000     0.010000    0.365285    0.000000    
34          1         1           98.3400     0.010000    0.036267    0.000000    
34          2         1           98.6200     0.010000    0.040175    0.000000    
34          3         1           98.5200     0.010000    0.036184    0.000000    
34          4         1           98.6500     0.010000    0.032664    0.000000    
35          0         1           98.1600     0.010000    0.361629    0.000000    
35          1         1           98.6900     0.010000    0.036009    0.000000    
35          2         1           98.5900     0.010000    0.039494    0.000000    
35          3         1           98.5500     0.010000    0.036955    0.000000    
35          4         1           98.6700     0.010000    0.032606    0.000000    
36          0         1           98.3000     0.010000    0.359728    0.000000    
36          1         1           98.7100     0.010000    0.035388    0.000000    
36          2         1           98.5600     0.010000    0.037742    0.000000    
36          3         1           98.6200     0.010000    0.035292    0.000000    
36          4         1           98.5400     0.010000    0.031734    0.000000    
37          0         1           98.4800     0.010000    0.359995    0.000000    
37          1         1           98.5900     0.010000    0.033685    0.000000    
37          2         1           98.5300     0.010000    0.037056    0.000000    
37          3         1           98.6900     0.010000    0.036370    0.000000    
37          4         1           98.4700     0.010000    0.031637    0.000000    
38          0         1           98.2200     0.010000    0.359725    0.000000    
38          1         1           98.6600     0.010000    0.032052    0.000000    
38          2         1           98.4700     0.010000    0.036635    0.000000    
38          3         1           98.6200     0.010000    0.033743    0.000000    
38          4         1           98.5200     0.010000    0.030993    0.000000    
39          0         1           98.5700     0.010000    0.359328    0.000000    
39          1         1           98.7400     0.010000    0.032329    0.000000    
39          2         1           98.6100     0.010000    0.035568    0.000000    
39          3         1           98.5900     0.010000    0.034293    0.000000    
39          4         1           98.4700     0.010000    0.029026    0.000000    
40          0         1           98.5200     0.010000    0.355640    0.000000    
40          1         1           98.3500     0.010000    0.032248    0.000000    
40          2         1           98.5500     0.010000    0.034383    0.000000    
40          3         1           98.6100     0.010000    0.033207    0.000000    
40          4         1           98.6800     0.010000    0.027896    0.000000    
41          0         1           98.5200     0.010000    0.357064    0.000000    
41          1         1           98.4500     0.010000    0.032173    0.000000    
41          2         1           98.5800     0.010000    0.033138    0.000000    
41          3         1           98.6200     0.010000    0.032579    0.000000    
41          4         1           98.5200     0.010000    0.027775    0.000000    
42          0         1           98.0600     0.010000    0.356577    0.000000    
42          1         1           98.5900     0.010000    0.028983    0.000000    
42          2         1           98.5700     0.010000    0.033542    0.000000    
42          3         1           98.5900     0.010000    0.032134    0.000000    
42          4         1           98.5700     0.010000    0.027364    0.000000    
43          0         1           98.1500     0.010000    0.353445    0.000000    
43          1         1           98.7700     0.010000    0.030212    0.000000    
43          2         1           98.6600     0.010000    0.032700    0.000000    
