GlobalRnd   Accuracy
       1    40.6000
       2    77.9800
       3    81.6200
       4    86.1000
       5    84.0700
       6    89.3100
       7    91.2500
       8    90.5500
       9    93.1600
      10    94.2100
      11    93.8000
      12    94.1800
      13    94.7200
      14    96.8100
      15    95.8100
      16    96.9700
      17    96.9500
      18    97.0600
      19    97.5000
      20    97.2300
      21    96.8100
      22    97.3200
      23    97.3200
      24    97.3100
      25    97.5300
      26    97.7400
      27    97.7200
      28    97.4700
      29    97.9100
      30    98.0600
      31    97.7700
      32    97.7900
      33    98.0900
      34    98.0100
      35    97.7400
      36    97.3200
      37    97.8700
      38    97.9800
      39    98.1900
      40    98.0000
      41    97.8700
      42    98.1300
      43    98.0200
      44    98.1300
      45    98.0900
      46    98.2000
      47    98.2500
      48    98.1100
      49    98.0100
      50    98.0700
      51    98.2800
      52    98.0100
      53    98.2800
      54    97.9600
      55    98.1700
      56    98.2100
      57    98.2700
      58    98.0700
      59    98.4000
      60    97.9900
      61    98.4900
      62    98.3800
      63    97.4500
      64    98.2600
      65    98.4500
      66    98.3200
      67    97.8700
      68    98.2400
      69    98.4300
      70    98.2900
      71    97.9200
      72    98.5500
      73    98.2000
      74    98.3600
      75    98.4300
      76    98.3900
      77    98.4700
      78    98.4600
      79    98.5100
      80    98.3400
      81    98.3300
      82    98.2400
      83    98.1800
      84    98.3200
      85    98.4300
      86    98.4500
      87    98.3900
      88    98.5700
      89    98.3900
      90    98.4000
      91    98.5100
      92    98.5100
      93    98.5300
      94    98.3700
      95    98.4900
      96    98.5200
      97    98.4500
      98    98.5700
      99    98.5200
     100    98.5700
