GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         2           56.8400     0.079160    0.205556    2.809993    
1           1         2           35.4100     0.059366    0.235326    2.592505    
1           2         2           37.9400     0.062170    0.231453    2.429336    
1           3         2           46.2400     0.036475    0.253545    3.033888    
1           4         2           35.2000     0.037480    0.214283    2.487905    
1           5         2           38.4900     0.021839    0.200847    2.938245    
1           6         2           57.5300     0.096241    0.152334    1.917165    
1           7         2           26.2200     0.019233    0.537272    3.275142    
1           8         2           36.0200     0.190640    0.127668    1.259422    
1           9         2           31.3100     0.021236    0.310252    3.442230    
2           0         2           59.1000     0.083664    0.132748    2.394575    
2           1         2           47.1000     0.038994    0.199592    3.224986    
2           2         2           54.9100     0.120681    0.118318    1.990716    
2           3         2           54.2500     0.037391    0.165423    3.095073    
2           4         2           36.2500     0.039874    0.135471    2.495595    
2           5         2           39.1100     0.024793    0.167291    3.318987    
2           6         2           62.1000     0.184950    0.091812    1.599376    
2           7         2           26.1500     0.028618    0.271845    3.330910    
2           8         2           34.8300     0.255632    0.072030    1.136824    
2           9         2           40.8000     0.051700    0.151954    2.521443    
3           0         2           66.0400     0.094140    0.102864    2.077010    
3           1         2           55.6500     0.063904    0.140354    2.627889    
3           2         2           60.4100     0.103465    0.099765    1.877851    
3           3         2           62.0000     0.074590    0.116775    2.220759    
3           4         2           53.2200     0.075151    0.092904    2.044699    
3           5         2           47.2900     0.051577    0.070564    1.929816    
3           6         2           68.3000     0.143379    0.061182    1.361044    
3           7         2           44.8900     0.041126    0.138401    2.750648    
3           8         2           48.8200     0.198404    0.064086    1.232052    
3           9         2           45.6100     0.070716    0.113928    2.253027    
4           0         2           59.8000     0.129403    0.086131    1.716295    
4           1         2           71.6300     0.070364    0.109646    2.236755    
4           2         2           65.0700     0.107589    0.061348    1.565704    
4           3         2           73.0900     0.094002    0.088755    1.867713    
4           4         2           65.2700     0.080975    0.077088    1.858687    
4           5         2           56.7100     0.062021    0.057583    1.549096    
4           6         2           73.7700     0.137505    0.060211    1.226614    
4           7         2           66.1200     0.042069    0.104181    2.520900    
4           8         2           54.9400     0.236287    0.054428    1.103280    
4           9         2           51.4900     0.084847    0.107321    1.993625    
5           0         2           67.3400     0.127520    0.070010    1.520785    
5           1         2           81.2800     0.068271    0.087043    1.939194    
5           2         2           78.6600     0.107473    0.060074    1.526964    
5           3         2           77.4200     0.097275    0.074875    1.558315    
5           4         2           64.9700     0.098917    0.052909    1.590126    
5           5         2           55.5800     0.106482    0.061842    1.478574    
5           6         2           80.3300     0.175228    0.042380    0.988499    
5           7         2           78.8500     0.069075    0.089099    2.431387    
5           8         2           58.0400     0.147414    0.055647    1.134485    
5           9         2           68.4800     0.087540    0.079453    1.602899    
6           0         2           67.6600     0.118242    0.064537    1.485421    
6           1         2           80.6400     0.083919    0.072653    1.808501    
6           2         2           82.9800     0.117893    0.061849    1.452927    
6           3         2           80.8000     0.099342    0.068837    1.486966    
6           4         2           74.7800     0.095584    0.066581    1.400780    
6           5         2           62.1300     0.100651    0.042835    1.240238    
6           6         2           80.3100     0.226682    0.038210    0.847557    
6           7         2           78.1700     0.058265    0.061469    2.101978    
6           8         2           80.3700     0.253191    0.040383    0.873356    
6           9         2           75.5500     0.076534    0.082749    1.805824    
7           0         2           73.0600     0.111597    0.061987    1.381249    
7           1         2           82.1600     0.092737    0.071891    1.616969    
7           2         2           78.4400     0.133107    0.070881    1.333629    
7           3         2           76.2300     0.122087    0.057652    1.353946    
7           4         2           69.7100     0.088616    0.060064    1.302836    
7           5         2           67.8600     0.110614    0.032791    1.097213    
7           6         2           81.2800     0.239639    0.028624    0.755482    
7           7         2           83.6200     0.059230    0.043844    1.836184    
7           8         2           66.9700     0.461931    0.029917    0.817589    
7           9         2           71.3600     0.096182    0.067223    1.693156    
8           0         2           74.7500     0.112276    0.058231    1.397130    
8           1         2           81.5300     0.095051    0.071190    1.639836    
8           2         2           76.7100     0.126651    0.043947    1.228240    
8           3         2           76.8200     0.104798    0.053793    1.368380    
8           4         2           71.2600     0.126889    0.060551    1.259818    
8           5         2           72.0500     0.140840    0.031488    1.075288    
8           6         2           92.7800     0.245772    0.028236    0.779028    
8           7         2           83.0100     0.067173    0.057651    1.781397    
8           8         2           85.4800     0.355374    0.041158    0.862808    
8           9         2           75.1700     0.089590    0.069838    1.614146    
9           0         2           59.1000     0.116788    0.055315    1.458650    
9           1         2           75.3500     0.102046    0.047398    1.436051    
9           2         2           80.1000     0.137397    0.033378    1.106337    
9           3         2           78.4500     0.119658    0.048482    1.308756    
9           4         2           75.2000     0.130593    0.048902    1.269920    
9           5         2           69.4800     0.152866    0.032290    0.967801    
9           6         2           86.1700     0.239607    0.025152    0.761296    
9           7         2           82.4100     0.062989    0.053391    1.692136    
9           8         2           70.6500     0.475253    0.036167    0.834126    
9           9         2           79.4500     0.103960    0.058195    1.511815    
10          0         2           74.9400     0.125115    0.051820    1.244855    
10          1         2           77.7800     0.098160    0.051653    1.363892    
10          2         2           83.0000     0.134046    0.047401    1.155896    
10          3         2           82.6600     0.120809    0.049036    1.227126    
10          4         2           60.5800     0.127442    0.038228    1.107681    
10          5         2           78.2000     0.149858    0.048871    1.114681    
10          6         2           85.7400     0.516117    0.023315    0.709337    
10          7         2           85.7100     0.073739    0.040808    1.628545    
10          8         2           83.0400     0.558018    0.043017    0.854269    
10          9         2           83.5600     0.083381    0.069753    1.573887    
11          0         2           80.6700     0.157332    0.048993    1.176844    
11          1         2           88.1400     0.102980    0.050706    1.364128    
11          2         2           82.2700     0.127123    0.029253    1.062903    
11          3         2           86.5900     0.104013    0.044126    1.236654    
11          4         2           78.0800     0.149808    0.035822    1.070900    
11          5         2           69.8600     0.316695    0.021450    0.858440    
11          6         2           90.3800     0.701433    0.022244    0.663303    
11          7         2           82.2000     0.098690    0.040708    1.400104    
11          8         2           76.3000     0.543847    0.027941    0.677739    
11          9         2           81.7700     0.081305    0.050777    1.340672    
12          0         2           76.6400     0.140587    0.059747    1.178568    
12          1         2           87.4700     0.095054    0.055337    1.515025    
12          2         2           86.4100     0.124354    0.048146    1.247878    
12          3         2           81.1400     0.126945    0.042775    1.142375    
12          4         2           79.2000     0.086009    0.048402    1.375252    
12          5         2           75.2000     0.184898    0.030847    0.877247    
12          6         2           90.4300     0.456616    0.018430    0.613318    
12          7         2           90.0900     0.076649    0.062178    1.763907    
12          8         2           72.8300     0.483250    0.021602    0.642962    
12          9         2           84.2700     0.109170    0.037339    1.349430    
13          0         2           81.9100     0.117485    0.041737    1.212038    
13          1         2           90.9900     0.094454    0.044980    1.246884    
13          2         2           83.4300     0.145300    0.037395    1.108400    
13          3         2           79.1800     0.138304    0.042463    1.158134    
13          4         2           69.6500     0.111365    0.040173    1.194616    
13          5         2           79.9100     0.323370    0.020635    0.792085    
13          6         2           84.4800     0.966906    0.026541    0.669763    
13          7         2           84.3900     0.065912    0.031813    1.604836    
13          8         2           75.3400     1.106228    0.029066    0.689709    
13          9         2           78.1700     0.121778    0.047985    1.460804    
14          0         2           72.9100     0.128754    0.041938    1.116861    
14          1         2           85.4400     0.102589    0.044282    1.353288    
14          2         2           82.6900     0.125486    0.037647    1.128927    
14          3         2           84.2500     0.144705    0.040227    1.073979    
14          4         2           78.9000     0.165550    0.029088    1.080783    
14          5         2           72.5900     0.265312    0.028030    0.835292    
14          6         2           89.6400     1.029431    0.018554    0.546730    
14          7         2           87.7400     0.119074    0.027418    1.379252    
14          8         2           71.9100     0.783599    0.032391    0.697541    
14          9         2           83.9900     0.089716    0.053002    1.432088    
15          0         2           83.0400     0.145065    0.036487    1.106238    
15          1         2           92.0500     0.098873    0.038635    1.381049    
15          2         2           86.4800     0.218275    0.039036    1.061505    
15          3         2           83.2700     0.126280    0.036326    1.084257    
15          4         2           76.6000     0.131064    0.032432    1.235503    
15          5         2           80.5700     0.300033    0.018680    0.710464    
15          6         2           91.5800     0.552609    0.020052    0.608035    
15          7         2           78.7000     0.079161    0.055364    1.683078    
15          8         2           79.1700     1.171764    0.035200    0.761898    
15          9         2           88.5800     0.090751    0.052817    1.421492    
16          0         2           81.7900     0.134098    0.036441    1.079280    
16          1         2           92.9000     0.086761    0.042615    1.254272    
16          2         2           90.1200     0.262335    0.028698    1.002022    
16          3         2           83.9800     0.134923    0.035561    1.117225    
16          4         2           77.4000     0.175836    0.034704    1.331901    
16          5         2           72.7100     0.525438    0.022383    0.827725    
16          6         2           92.9900     1.429248    0.016436    0.533737    
16          7         2           89.5100     0.109554    0.028003    1.436559    
16          8         2           75.9100     0.860611    0.027020    0.749138    
16          9         2           86.4100     0.067837    0.067749    1.568359    
17          0         2           79.4300     0.140819    0.037084    1.094247    
17          1         2           88.1800     0.083830    0.035270    1.211973    
17          2         2           81.2300     0.126234    0.043633    1.125602    
17          3         2           87.1300     0.144230    0.041819    1.059868    
17          4         2           82.2100     0.131495    0.032480    1.118526    
17          5         2           77.6200     0.632245    0.018141    0.773793    
17          6         2           92.3200     1.212974    0.019347    0.610596    
17          7         2           94.3900     0.079509    0.029116    1.410744    
17          8         2           68.6200     2.157474    0.040396    0.761541    
17          9         2           85.6900     0.098864    0.040752    1.447255    
18          0         2           86.3600     0.137257    0.034159    1.054258    
18          1         2           88.6100     0.083999    0.036528    1.278948    
18          2         2           87.8000     0.173266    0.025020    1.062518    
18          3         2           93.0700     0.117895    0.038687    1.052441    
18          4         2           75.4100     0.116201    0.026801    1.153526    
18          5         2           77.2400     0.771224    0.020069    0.713902    
18          6         2           90.7000     1.376254    0.019485    0.554002    
18          7         2           90.2300     0.078566    0.021616    1.279646    
18          8         2           79.8300     2.406581    0.028933    0.713472    
18          9         2           87.1200     0.107592    0.052434    1.467032    
19          0         2           88.8300     0.182868    0.025333    0.986532    
19          1         2           88.3900     0.101675    0.034389    1.241032    
19          2         2           90.5900     0.197087    0.024769    0.975112    
19          3         2           85.8500     0.127205    0.033827    1.008444    
19          4         2           87.7300     0.232417    0.040525    1.181520    
19          5         2           86.0600     0.514841    0.018606    0.721423    
19          6         2           91.3900     1.662391    0.019818    0.544336    
19          7         2           88.8800     0.137891    0.015213    1.154837    
19          8         2           78.4600     1.173959    0.033061    0.748809    
19          9         2           88.5700     0.080057    0.057865    1.479006    
20          0         2           87.1400     0.132727    0.036180    1.116128    
20          1         2           92.9600     0.105967    0.028186    1.208600    
20          2         2           86.5200     0.177729    0.028173    1.027567    
20          3         2           91.6000     0.121660    0.032013    0.997945    
20          4         2           85.7700     0.175494    0.030301    1.105352    
20          5         2           82.5700     0.500018    0.021210    0.749303    
20          6         2           91.8600     2.678302    0.018778    0.537909    
20          7         2           89.8800     0.081921    0.018631    1.152041    
20          8         2           70.2200     2.713999    0.033755    0.804091    
20          9         2           80.4000     0.117859    0.039127    1.221060    
21          0         2           79.3600     0.143154    0.035312    1.083575    
21          1         2           93.6000     0.106683    0.033168    1.236534    
21          2         2           87.6400     0.211855    0.023959    0.983881    
21          3         2           91.5800     0.179785    0.033249    1.067208    
21          4         2           88.4000     0.142419    0.025917    1.121642    
21          5         2           83.4700     0.662703    0.018602    0.712664    
21          6         2           90.3300     1.283979    0.013773    0.541094    
21          7         2           94.9600     0.083463    0.041225    1.348250    
21          8         2           79.8100     3.186425    0.037385    0.768475    
21          9         2           86.9500     0.099965    0.034064    1.368126    
22          0         2           88.4500     0.177404    0.025984    0.975444    
22          1         2           93.1900     0.102959    0.026654    1.132315    
22          2         2           93.3100     0.238043    0.026294    0.919511    
22          3         2           88.9200     0.125478    0.035492    1.074648    
22          4         2           88.4200     0.179013    0.029709    1.344693    
22          5         2           88.0900     0.520149    0.015921    0.730325    
22          6         2           92.8500     1.477672    0.017443    0.541130    
22          7         2           93.2000     0.095108    0.030686    1.318939    
