GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         2           82.9500     0.141636    0.292528    2.481970    
1           1         2           92.5300     0.133793    0.211134    2.518241    
1           2         2           89.1200     0.120540    0.254846    2.675987    
1           3         2           84.6000     0.085995    0.396176    3.131168    
1           4         2           80.2900     0.096877    0.305953    2.849527    
1           5         2           86.2800     0.115291    0.255417    2.630433    
1           6         2           71.2700     0.108913    0.225051    2.594042    
1           7         2           80.7200     0.078381    0.360706    2.997850    
1           8         2           91.1500     0.137238    0.222791    2.363662    
1           9         2           88.1700     0.073054    0.471392    3.204108    
2           0         2           89.3000     0.134615    0.172907    2.325716    
2           1         2           94.3200     0.144162    0.144205    2.030713    
2           2         2           94.0700     0.128833    0.166740    2.244376    
2           3         2           94.6400     0.105156    0.225874    2.691627    
2           4         2           94.3800     0.106540    0.161852    2.317336    
2           5         2           93.5900     0.114820    0.187192    2.405571    
2           6         2           84.0800     0.113440    0.127831    2.098336    
2           7         2           80.7500     0.106477    0.174465    2.434655    
2           8         2           85.8200     0.113774    0.145484    2.145903    
2           9         2           91.6800     0.106267    0.212315    2.560041    
3           0         2           94.2300     0.130315    0.110460    1.665559    
3           1         2           96.5400     0.146512    0.113526    1.659683    
3           2         2           94.8200     0.141136    0.100280    1.657986    
3           3         2           94.3300     0.125222    0.132372    1.869214    
3           4         2           92.5500     0.122057    0.109931    1.756001    
3           5         2           96.9500     0.127869    0.116046    1.822187    
3           6         2           92.8100     0.125482    0.094899    1.677953    
3           7         2           95.0000     0.120814    0.091516    1.746066    
3           8         2           96.1300     0.144618    0.105419    1.678608    
3           9         2           96.1400     0.121863    0.117424    1.917956    
4           0         2           87.7200     0.140094    0.077978    1.442255    
4           1         2           97.0000     0.158293    0.083580    1.413136    
4           2         2           95.9900     0.150080    0.085234    1.389139    
4           3         2           95.3600     0.153945    0.099764    1.583505    
4           4         2           94.9600     0.143422    0.085492    1.470462    
4           5         2           97.0200     0.129441    0.090210    1.574023    
4           6         2           94.1700     0.136652    0.064520    1.303780    
4           7         2           91.5800     0.125867    0.074025    1.514306    
4           8         2           94.9800     0.153767    0.086359    1.494391    
4           9         2           96.9600     0.147797    0.076998    1.461822    
5           0         2           96.9900     0.149757    0.052417    1.185065    
5           1         2           96.5100     0.155551    0.073806    1.359001    
5           2         2           96.8600     0.140248    0.063972    1.299640    
5           3         2           97.3400     0.124417    0.063010    1.454552    
5           4         2           97.4600     0.141799    0.062008    1.332661    
5           5         2           95.2000     0.146728    0.082267    1.435012    
