GlobalRnd   Accuracy
       1    94.9400
       2    98.1000
       3    96.9600
       4    97.0900
       5    96.3500
       6    98.4900
       7    98.5900
       8    98.4900
       9    98.5900
      10    98.8800
      11    99.0400
      12    99.1000
      13    98.9300
      14    99.0400
      15    99.1900
      16    99.0600
      17    99.1300
      18    99.0500
      19    99.1500
      20    99.1700
      21    99.0900
      22    99.1100
      23    99.2400
      24    99.0800
      25    99.0900
      26    99.1700
      27    99.3200
      28    99.2500
      29    99.2700
      30    99.3100
      31    99.1700
      32    99.1900
      33    99.1100
      34    98.8500
      35    99.2800
      36    99.2700
      37    99.2700
      38    99.2100
      39    99.2400
      40    99.1500
      41    99.2600
      42    99.2200
      43    99.2500
      44    99.1900
      45    99.2100
      46    99.1900
      47    99.2700
      48    99.2500
      49    99.2100
      50    99.2500
