GlobalRnd   Accuracy
       1    92.1800
       2    96.0600
       3    97.2800
       4    97.7500
       5    98.3000
       6    98.4100
       7    98.5900
       8    98.6600
       9    98.6500
      10    98.7400
      11    98.7900
      12    98.7900
      13    98.8100
      14    98.8600
      15    98.9600
      16    98.9300
      17    98.8100
      18    98.9400
      19    99.0600
      20    99.0500
      21    98.9600
      22    98.9400
      23    99.0500
      24    99.0000
      25    99.0500
      26    98.9500
      27    99.1000
      28    99.0700
      29    99.0100
      30    99.0500
      31    99.0300
      32    99.0500
      33    99.0500
      34    99.0500
      35    99.0400
      36    99.0900
      37    99.0800
      38    99.1200
      39    99.1100
      40    99.1000
      41    99.0700
      42    99.0900
      43    99.1000
      44    99.0700
      45    99.0600
      46    99.0800
      47    99.0400
      48    99.0900
      49    99.0500
      50    99.0700
