GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         2           66.0500     0.053778    0.389794    3.129289    
1           1         2           92.4400     0.119270    0.233121    2.660726    
1           2         2           85.1300     0.101892    0.320635    3.026769    
1           3         2           71.4300     0.047265    0.568337    3.761326    
1           4         2           89.5800     0.114922    0.266027    2.568376    
1           5         2           88.7000     0.096157    0.295329    3.035716    
1           6         2           76.4600     0.101636    0.283757    2.748045    
1           7         2           78.8300     0.100546    0.303803    2.639194    
1           8         2           92.3800     0.105030    0.270946    2.867535    
1           9         2           53.7300     0.041779    0.665962    3.973818    
2           0         2           89.7600     0.108032    0.203151    2.521101    
2           1         2           94.2200     0.117331    0.146621    2.298673    
2           2         2           93.6000     0.104690    0.177037    2.584628    
2           3         2           92.9800     0.085069    0.248019    3.439915    
2           4         2           91.1800     0.100778    0.177723    2.607563    
2           5         2           93.2800     0.099695    0.201007    2.728363    
2           6         2           86.3300     0.108188    0.141074    2.275189    
2           7         2           84.6700     0.071663    0.186980    2.656773    
2           8         2           92.0600     0.116246    0.169445    2.604383    
2           9         2           90.5500     0.068319    0.274333    3.444843    
3           0         2           92.9900     0.125441    0.112697    1.744055    
3           1         2           95.9000     0.156897    0.117432    1.697820    
3           2         2           94.7500     0.139107    0.108512    1.707804    
3           3         2           96.3700     0.127489    0.152081    1.924849    
3           4         2           92.2500     0.110394    0.123889    1.927876    
3           5         2           93.3000     0.124849    0.137563    1.956323    
3           6         2           89.9500     0.128684    0.097058    1.668840    
3           7         2           94.3600     0.115612    0.113508    1.866102    
3           8         2           94.0900     0.134092    0.126464    1.782455    
3           9         2           94.2200     0.106872    0.147711    2.054087    
4           0         2           93.1700     0.141276    0.071945    1.387974    
4           1         2           96.3400     0.158633    0.088091    1.445108    
4           2         2           95.1900     0.154575    0.087725    1.475099    
4           3         2           95.6100     0.107440    0.088567    1.644623    
4           4         2           96.3700     0.134963    0.107507    1.630974    
4           5         2           96.6400     0.131049    0.097760    1.666370    
4           6         2           94.4700     0.130230    0.065670    1.324511    
4           7         2           94.1900     0.131599    0.090432    1.610770    
4           8         2           95.9600     0.155255    0.099608    1.550381    
4           9         2           97.0700     0.131930    0.106224    1.676019    
5           0         2           96.8100     0.154610    0.059630    1.286496    
5           1         2           94.6500     0.143766    0.077597    1.384123    
5           2         2           95.4800     0.143579    0.060249    1.273000    
5           3         2           97.0200     0.137178    0.086254    1.549471    
5           4         2           96.8800     0.143810    0.077197    1.382368    
5           5         2           96.8400     0.135472    0.078576    1.509415    
5           6         2           95.0200     0.167508    0.051015    1.185039    
5           7         2           95.0800     0.140342    0.069403    1.386464    
5           8         2           96.1200     0.151450    0.069108    1.308198    
5           9         2           97.1600     0.139112    0.086792    1.447936    
6           0         2           97.0400     0.158218    0.059659    1.223727    
6           1         2           95.8200     0.161105    0.078162    1.282337    
6           2         2           95.5400     0.158697    0.058988    1.166464    
6           3         2           97.4900     0.145257    0.061488    1.246007    
6           4         2           97.7300     0.145563    0.058983    1.260835    
6           5         2           97.6200     0.131968    0.063503    1.340526    
6           6         2           92.6100     0.161077    0.050100    1.130722    
6           7         2           94.3900     0.136184    0.061815    1.294720    
6           8         2           97.5300     0.171140    0.074889    1.231969    
6           9         2           96.9000     0.164937    0.060282    1.302620    
7           0         2           96.9800     0.135167    0.051507    1.146975    
7           1         2           97.3100     0.151297    0.057990    1.170666    
7           2         2           97.2000     0.145741    0.049956    1.091646    
7           3         2           97.3100     0.152861    0.044440    1.095525    
7           4         2           97.6000     0.136694    0.059829    1.307502    
7           5         2           90.1000     0.144319    0.070184    1.304765    
7           6         2           95.3000     0.164977    0.046643    0.997562    
7           7         2           96.9100     0.149352    0.058219    1.251756    
7           8         2           97.0100     0.180945    0.068054    1.239675    
7           9         2           98.0300     0.136355    0.055385    1.149962    
8           0         2           97.7200     0.165340    0.033405    0.935900    
8           1         2           97.8500     0.143796    0.053387    1.162651    
8           2         2           97.8500     0.152352    0.050027    1.101571    
8           3         2           97.0000     0.146250    0.056015    1.183687    
8           4         2           97.7300     0.133642    0.057056    1.172337    
8           5         2           96.9300     0.152564    0.074607    1.254383    
8           6         2           92.5900     0.146323    0.035973    0.894326    
8           7         2           98.1400     0.121370    0.059729    1.297569    
8           8         2           97.4300     0.161647    0.057030    1.154785    
8           9         2           97.9200     0.151694    0.058974    1.160051    
9           0         2           96.8900     0.165458    0.035365    0.890628    
9           1         2           97.4900     0.164480    0.054774    1.065161    
9           2         2           98.1500     0.145979    0.045288    1.016147    
9           3         2           97.8100     0.127571    0.039614    0.989946    
9           4         2           97.1900     0.145110    0.044976    1.058700    
9           5         2           96.8400     0.130605    0.052913    1.230875    
9           6         2           95.2300     0.188124    0.036371    0.900809    
9           7         2           97.6200     0.146043    0.043431    1.045730    
9           8         2           97.4800     0.173371    0.040781    1.024775    
9           9         2           98.0000     0.210024    0.037489    1.001983    
10          0         2           96.5100     0.146412    0.048042    1.017724    
10          1         2           87.3300     0.175549    0.058351    1.181441    
10          2         2           97.0700     0.169155    0.042186    0.993582    
10          3         2           97.8500     0.129346    0.046665    1.089339    
10          4         2           97.5500     0.172441    0.033358    0.926315    
10          5         2           97.9800     0.137049    0.055882    1.182302    
10          6         2           95.9300     0.162080    0.034256    0.869029    
10          7         2           97.3100     0.161226    0.042531    1.077791    
