GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         2           93.8600     0.092158    0.321971    3.185252    
1           1         2           94.6500     0.098517    0.268143    2.952487    
1           2         2           89.5000     0.075487    0.310057    3.191232    
1           3         2           92.2000     0.094495    0.289820    3.012510    
1           4         2           89.6200     0.102493    0.300093    3.000715    
1           5         2           93.8900     0.088837    0.267489    2.970773    
1           6         2           93.8800     0.095742    0.272396    3.044284    
1           7         2           87.3900     0.096668    0.299126    2.993830    
1           8         2           93.8600     0.067158    0.334074    3.501051    
1           9         2           92.0100     0.102348    0.287902    3.011817    
2           0         2           94.9900     0.118738    0.200888    2.404728    
2           1         2           95.0300     0.119726    0.172013    2.287397    
2           2         2           95.5800     0.109385    0.161728    2.279282    
2           3         2           95.0900     0.111175    0.172328    2.349403    
2           4         2           96.4600     0.109106    0.170239    2.309956    
2           5         2           91.0900     0.119019    0.180267    2.355287    
2           6         2           93.9200     0.108253    0.186129    2.447041    
2           7         2           95.9800     0.111457    0.167339    2.345686    
2           8         2           95.9500     0.117478    0.186392    2.467347    
2           9         2           92.2600     0.102986    0.182108    2.309157    
3           0         2           96.8300     0.147547    0.120256    1.775005    
3           1         2           97.0200     0.142857    0.125648    1.740401    
3           2         2           96.4400     0.130643    0.115471    1.705645    
3           3         2           96.1200     0.135801    0.125136    1.832542    
3           4         2           97.2000     0.127177    0.124815    1.858278    
3           5         2           96.9900     0.127207    0.111273    1.725097    
3           6         2           96.7200     0.126132    0.131665    1.864500    
3           7         2           96.5200     0.122983    0.121617    1.854426    
3           8         2           96.8300     0.133250    0.116591    1.704516    
3           9         2           95.6500     0.124241    0.107092    1.702805    
4           0         2           96.9100     0.141412    0.111500    1.597518    
4           1         2           96.8500     0.131885    0.099301    1.542040    
4           2         2           95.7300     0.152581    0.091052    1.479874    
4           3         2           97.0000     0.142521    0.097645    1.542527    
4           4         2           96.8600     0.147716    0.102206    1.604660    
4           5         2           96.9300     0.127110    0.083431    1.512240    
4           6         2           95.5100     0.126286    0.090300    1.598090    
4           7         2           96.5200     0.122149    0.096233    1.550355    
4           8         2           95.5600     0.162944    0.124369    1.607551    
4           9         2           96.4300     0.143713    0.091705    1.584193    
5           0         2           97.6100     0.157767    0.076366    1.298289    
5           1         2           97.2800     0.145385    0.079438    1.324276    
5           2         2           97.6500     0.141350    0.071055    1.317229    
5           3         2           97.4400     0.153444    0.103128    1.436432    
5           4         2           95.8000     0.153271    0.085766    1.448358    
5           5         2           96.0400     0.133622    0.073314    1.416797    
5           6         2           97.3500     0.136080    0.078604    1.441051    
5           7         2           97.5000     0.146327    0.082274    1.426230    
5           8         2           97.5300     0.166241    0.105389    1.507083    
5           9         2           96.2500     0.136114    0.078191    1.431680    
6           0         2           97.4700     0.165896    0.071057    1.287032    
6           1         2           97.6500     0.170343    0.076757    1.272934    
6           2         2           96.9200     0.162554    0.065409    1.235247    
6           3         2           97.5700     0.143603    0.078785    1.321690    
6           4         2           97.7700     0.152759    0.063000    1.270371    
6           5         2           96.3900     0.139023    0.051120    1.176683    
6           6         2           97.7300     0.142019    0.059422    1.293593    
6           7         2           97.8400     0.146663    0.070771    1.301003    
6           8         2           98.0500     0.161562    0.077866    1.284642    
6           9         2           98.0500     0.147418    0.055205    1.185320    
7           0         2           97.3700     0.147185    0.073232    1.233664    
7           1         2           98.1000     0.156075    0.059979    1.150621    
7           2         2           97.8100     0.151693    0.064862    1.208465    
7           3         2           98.2000     0.138435    0.068825    1.249483    
7           4         2           98.0600     0.180642    0.046148    1.179797    
7           5         2           98.2200     0.150482    0.049697    1.092656    
7           6         2           98.0500     0.150867    0.069919    1.204788    
7           7         2           97.6200     0.138012    0.063384    1.279182    
