GlobalRnd	ClientID	LocEpoch	Accuracy	LR	Loss	GradNorm
1	0	1	90.8164	0.033568	0.537184	0.000000
1	1	1	90.0010	0.020633	0.640714	0.000000
1	2	1	90.5874	0.048124	0.576384	0.000000
2	0	1	95.0579	0.033568	0.320137	0.000000
2	1	1	94.3324	0.020633	0.304592	0.000000
2	2	1	94.7969	0.048124	0.306963	0.000000
3	0	1	96.5761	0.107039	0.190022	0.000000
3	1	1	95.8181	0.020633	0.196614	0.000000
3	2	1	95.7269	0.048124	0.174217	0.000000
4	0	1	96.3266	0.107039	0.143217	0.000000
4	1	1	97.1011	0.036845	0.149142	0.000000
4	2	1	97.1366	0.085936	0.123235	0.000000
5	0	1	97.3936	0.033568	0.112873	0.000000
5	1	1	96.7924	0.065795	0.116385	0.000000
5	2	1	98.2183	0.085936	0.096991	0.000000
6	0	1	96.2523	0.107039	0.091080	0.000000
6	1	1	98.1719	0.117490	0.095052	0.000000
6	2	1	96.6079	0.153457	0.084128	0.000000
7	0	1	96.1195	0.107039	0.080338	0.000000
7	1	1	98.3456	0.117490	0.089206	0.000000
7	2	1	97.5820	0.153457	0.074344	0.000000
8	0	1	98.5083	0.107039	0.073975	0.000000
8	1	1	97.0287	0.209804	0.073181	0.000000
8	2	1	97.7631	0.048124	0.062513	0.000000
9	0	1	97.6484	0.191141	0.068456	0.000000
9	1	1	98.7941	0.065795	0.068129	0.000000
9	2	1	98.8399	0.153457	0.057656	0.000000
10	0	1	98.7578	0.191141	0.059460	0.000000
10	1	1	98.9099	0.209804	0.059248	0.000000
10	2	1	97.9148	0.153457	0.054204	0.000000
11	0	1	97.9563	0.191141	0.064275	0.000000
11	1	1	98.9678	0.117490	0.051405	0.000000
11	2	1	98.8204	0.085936	0.048748	0.000000
12	0	1	97.7227	0.341324	0.047831	0.000000
12	1	1	99.0498	0.117490	0.047367	0.000000
12	2	1	99.2315	0.274030	0.042994	0.000000
13	0	1	98.8215	0.191141	0.041321	0.000000
13	1	1	96.8889	0.209804	0.040655	0.000000
13	2	1	99.0896	0.274030	0.038542	0.000000
14	0	1	99.1347	0.191141	0.041564	0.000000
14	1	1	98.6928	0.117490	0.038402	0.000000
14	2	1	99.1826	0.274030	0.037324	0.000000
15	0	1	98.8268	0.191141	0.039902	0.000000
15	1	1	99.1077	0.117490	0.033497	0.000000
15	2	1	98.8155	0.274030	0.035538	0.000000
16	0	1	99.2993	0.107039	0.040445	0.000000
16	1	1	99.3344	0.065795	0.032149	0.000000
16	2	1	99.1238	0.153457	0.036048	0.000000
17	0	1	99.3152	0.191141	0.033085	0.000000
17	1	1	99.1655	0.209804	0.033775	0.000000
17	2	1	99.4126	0.153457	0.029292	0.000000
18	0	1	99.2781	0.107039	0.031282	0.000000
18	1	1	99.3633	0.117490	0.030581	0.000000
18	2	1	99.2119	0.085936	0.027985	0.000000
19	0	1	99.1507	0.191141	0.036894	0.000000
19	1	1	99.2958	0.117490	0.025538	0.000000
19	2	1	99.4518	0.085936	0.024493	0.000000
20	0	1	99.4055	0.191141	0.027039	0.000000
20	1	1	99.3151	0.117490	0.022608	0.000000
20	2	1	99.4812	0.085936	0.026741	0.000000
21	0	1	99.4001	0.107039	0.027163	0.000000
21	1	1	98.6977	0.209804	0.029440	0.000000
21	2	1	99.3147	0.085936	0.021950	0.000000
22	0	1	99.3683	0.191141	0.027667	0.000000
22	1	1	99.3874	0.209804	0.019941	0.000000
22	2	1	99.4175	0.153457	0.022522	0.000000
23	0	1	99.1560	0.107039	0.026469	0.000000
23	1	1	99.3922	0.209804	0.022325	0.000000
23	2	1	99.5252	0.274030	0.020013	0.000000
24	0	1	99.3948	0.191141	0.020384	0.000000
24	1	1	99.5080	0.117490	0.020049	0.000000
24	2	1	99.2413	0.085936	0.023230	0.000000
25	0	1	99.4426	0.191141	0.025670	0.000000
25	1	1	99.5804	0.209804	0.020408	0.000000
25	2	1	99.4126	0.153457	0.023782	0.000000
26	0	1	99.5541	0.059942	0.020394	0.000000
26	1	1	99.5418	0.117490	0.019976	0.000000
26	2	1	99.5644	0.153457	0.020003	0.000000
27	0	1	99.4957	0.107039	0.019420	0.000000
27	1	1	99.4935	0.117490	0.018442	0.000000
27	2	1	99.5056	0.153457	0.018705	0.000000
28	0	1	98.0730	0.191141	0.021221	0.000000
28	1	1	99.5562	0.209804	0.016965	0.000000
28	2	1	99.4958	0.274030	0.016973	0.000000
29	0	1	99.5116	0.191141	0.021041	0.000000
29	1	1	99.4887	0.209804	0.015331	0.000000
29	2	1	99.5791	0.153457	0.017701	0.000000
30	0	1	99.2940	0.059942	0.015506	0.000000
30	1	1	99.5032	0.117490	0.019032	0.000000
30	2	1	99.1875	0.153457	0.025126	0.000000
