GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         2           69.1300     0.169022    0.103066    1.872092    
1           1         2           60.7100     0.226915    0.078459    1.338754    
1           2         2           49.6800     0.212648    0.094436    1.575686    
1           3         2           54.4100     0.074579    0.151610    2.312725    
1           4         2           37.9000     0.185804    0.065287    1.377094    
2           0         2           72.7800     0.148373    0.061570    1.482537    
2           1         2           63.3800     0.229394    0.052971    1.065358    
2           2         2           62.2000     0.279485    0.044715    0.995704    
2           3         2           50.1000     0.124963    0.088278    1.624971    
2           4         2           38.5700     0.271427    0.050137    1.231800    
3           0         2           77.7700     0.163907    0.054148    1.220909    
3           1         2           68.4600     0.260558    0.035851    0.968470    
3           2         2           69.8300     0.339658    0.027782    0.665558    
3           3         2           65.0300     0.168436    0.054944    1.119517    
3           4         2           47.3100     0.499331    0.028228    0.848959    
4           0         2           76.1700     0.175699    0.045918    1.127924    
4           1         2           71.2900     0.355113    0.032339    0.916313    
4           2         2           76.6400     0.501740    0.028801    0.671703    
4           3         2           69.7500     0.189174    0.043501    0.944325    
4           4         2           63.4400     0.902199    0.028347    0.710438    
5           0         2           78.3200     0.173669    0.039819    1.088432    
5           1         2           73.2600     0.243196    0.033822    0.939535    
5           2         2           82.0600     0.566379    0.023670    0.618771    
5           3         2           76.9600     0.190044    0.042355    0.943742    
5           4         2           59.6200     1.499825    0.026014    0.704444    
6           0         2           78.5700     0.173669    0.032548    1.001847    
6           1         2           75.6300     0.381343    0.030428    0.834177    
6           2         2           84.2000     0.817151    0.025308    0.583270    
6           3         2           70.6400     0.219556    0.036494    0.857078    
6           4         2           73.0400     1.305700    0.031922    0.676377    
7           0         2           78.5200     0.198069    0.033677    0.988090    
7           1         2           79.9200     0.664748    0.028370    0.902829    
7           2         2           86.5700     0.937259    0.029602    0.610162    
7           3         2           80.5200     0.274843    0.028434    0.808730    
7           4         2           74.9600     3.506602    0.026971    0.609825    
8           0         2           79.5000     0.163892    0.029135    0.937921    
8           1         2           76.3000     0.502668    0.021588    0.831598    
8           2         2           85.7600     0.882834    0.024429    0.617813    
8           3         2           82.5600     0.247423    0.035764    0.894348    
8           4         2           75.6300     4.624675    0.020231    0.614610    
9           0         2           79.0600     0.174746    0.031578    0.970484    
9           1         2           77.9900     0.515511    0.026967    0.846050    
9           2         2           86.2100     2.538367    0.024260    0.649219    
9           3         2           81.0700     0.472832    0.038411    0.882533    
9           4         2           74.7400     4.848715    0.024969    0.641721    
10          0         2           81.7900     0.193163    0.027027    0.918933    
10          1         2           76.9400     0.751065    0.033792    0.830788    
10          2         2           86.0500     2.682469    0.025422    0.655785    
10          3         2           82.2800     0.520716    0.027431    0.810346    
10          4         2           73.5200     4.945391    0.023631    0.610569    
11          0         2           80.9800     0.216457    0.026253    0.859295    
11          1         2           77.5500     0.922111    0.025741    0.841705    
11          2         2           86.4300     2.647768    0.026298    0.652518    
11          3         2           87.4400     0.266742    0.034045    0.901463    
11          4         2           73.8900     3.909102    0.026449    0.620126    
12          0         2           83.9000     0.198032    0.029664    0.932384    
12          1         2           78.2800     1.201418    0.021274    0.839755    
12          2         2           87.8500     2.464149    0.023100    0.667140    
12          3         2           88.0100     0.506146    0.035534    0.890080    
12          4         2           79.3900     5.674352    0.028204    0.651021    
13          0         2           82.0700     0.317933    0.021678    0.860152    
13          1         2           78.3300     1.868433    0.027915    0.819278    
13          2         2           87.8600     2.389105    0.023538    0.669993    
13          3         2           87.3200     0.497788    0.057025    1.076448    
13          4         2           81.1600     4.389375    0.029260    0.695670    
14          0         2           85.0400     0.412534    0.022496    0.896878    
14          1         2           79.5400     1.516411    0.029101    0.900375    
14          2         2           87.1300     3.042667    0.024622    0.674356    
14          3         2           86.7500     0.756290    0.035359    0.910131    
14          4         2           81.4200     6.255949    0.027701    0.637826    
15          0         2           88.4000     0.386174    0.023037    0.935993    
15          1         2           79.5500     1.000188    0.029099    0.970591    
15          2         2           88.4000     2.145451    0.026820    0.757792    
15          3         2           89.0600     0.523201    0.033340    1.014193    
15          4         2           82.5000     6.268694    0.024133    0.679350    
16          0         2           84.6400     0.280162    0.031969    1.018849    
16          1         2           81.4700     1.385763    0.027330    0.984520    
16          2         2           88.7000     3.764904    0.028805    0.780870    
16          3         2           92.3600     0.898462    0.034132    1.016233    
16          4         2           80.8800     7.328150    0.022421    0.625825    
17          0         2           90.1300     0.443488    0.029313    0.976969    
17          1         2           87.1900     1.128881    0.033135    0.902068    
17          2         2           85.7400     3.315053    0.018926    0.751075    
17          3         2           90.1400     0.667153    0.030492    0.968775    
17          4         2           81.9200     6.980907    0.026812    0.667105    
18          0         2           88.1400     0.520642    0.027171    1.013823    
18          1         2           80.7600     3.290929    0.025203    0.857362    
18          2         2           86.7600     2.791653    0.027795    0.731284    
18          3         2           87.0300     0.912566    0.024676    0.951832    
