GlobalRound	ClientID	LocalEpoch	Accuracy	LR	Loss
1	0	2	72.2600	0.143108	0.104939
1	1	2	60.5500	0.182369	0.130210
1	2	2	37.9400	0.090095	0.118624
1	3	2	51.9200	0.035240	0.181191
1	4	2	37.8400	0.129998	0.105597
2	0	2	73.2300	0.150977	0.073747
2	1	2	64.0000	0.203060	0.066663
2	2	2	56.6700	0.183062	0.065846
2	3	2	62.8200	0.110661	0.091988
2	4	2	39.2500	0.274950	0.051216
3	0	2	76.9600	0.146863	0.066437
3	1	2	66.6700	0.215774	0.049772
3	2	2	68.3200	0.256112	0.031055
3	3	2	71.9100	0.133453	0.057390
3	4	2	52.9200	0.321277	0.036624
4	0	2	74.3900	0.136070	0.048314
4	1	2	67.0200	0.208981	0.039796
4	2	2	74.2400	0.526793	0.049709
4	3	2	73.0400	0.153238	0.049310
4	4	2	56.6900	0.920139	0.031452
5	0	2	78.4400	0.138543	0.041900
5	1	2	69.1500	0.293477	0.041048
5	2	2	77.4200	0.436942	0.024112
5	3	2	81.7900	0.158236	0.047215
5	4	2	68.6000	0.693073	0.036279
6	0	2	79.3600	0.149566	0.044107
6	1	2	71.3300	0.286407	0.032719
6	2	2	78.8700	0.535979	0.022958
6	3	2	81.7900	0.194053	0.041196
6	4	2	71.0700	1.037190	0.033949
7	0	2	77.6600	0.157043	0.040244
7	1	2	72.9300	0.309692	0.031567
7	2	2	73.1500	0.980521	0.028709
7	3	2	82.8600	0.246593	0.039500
7	4	2	63.4400	0.731115	0.026901
8	0	2	75.6100	0.165137	0.034579
8	1	2	74.7100	0.291580	0.034145
8	2	2	74.6600	0.655172	0.023894
8	3	2	72.7500	0.283704	0.030699
8	4	2	71.0900	1.457602	0.030190
9	0	2	80.7700	0.174618	0.034700
9	1	2	78.9700	0.488252	0.034458
9	2	2	85.2900	0.778404	0.018242
9	3	2	83.7000	0.194833	0.036386
9	4	2	75.9100	3.406386	0.026527
10	0	2	80.9700	0.197724	0.027738
10	1	2	78.3600	0.772775	0.030342
10	2	2	85.2500	0.894780	0.025288
10	3	2	90.9400	0.133916	0.037354
10	4	2	79.4700	1.466635	0.023469
