GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         2           90.2900     0.082328    0.291529    3.155594    
1           1         2           94.2200     0.104474    0.302006    3.195310    
1           2         2           92.9600     0.112153    0.333038    3.143274    
1           3         2           94.7000     0.110356    0.303147    2.959310    
1           4         2           92.7700     0.100850    0.317811    3.098610    
1           5         2           92.9000     0.095615    0.310392    3.126841    
1           6         2           93.0700     0.123183    0.301316    2.849030    
1           7         2           84.7000     0.086811    0.312566    3.294528    
1           8         2           93.8000     0.135278    0.272156    2.711989    
1           9         2           90.4500     0.098606    0.232857    2.911753    
2           0         2           92.1100     0.141893    0.185150    2.295392    
2           1         2           96.1500     0.125977    0.176929    2.180514    
2           2         2           96.2200     0.114977    0.155106    2.131604    
2           3         2           95.1600     0.132303    0.174667    2.184782    
2           4         2           95.2700     0.130052    0.181383    2.346823    
2           5         2           95.3700     0.134567    0.153773    2.173233    
2           6         2           94.1800     0.129316    0.165427    2.176663    
2           7         2           96.3400     0.125165    0.159863    2.200797    
2           8         2           95.4000     0.123178    0.153937    2.123890    
2           9         2           94.6600     0.117532    0.155579    2.211877    
3           0         2           96.8100     0.153779    0.114941    1.689097    
3           1         2           94.0700     0.151828    0.113779    1.747164    
3           2         2           96.3800     0.142245    0.105864    1.718780    
3           3         2           96.6600     0.148136    0.119012    1.677695    
3           4         2           96.1600     0.138174    0.112075    1.703020    
3           5         2           96.7200     0.150173    0.124801    1.687339    
3           6         2           96.9100     0.148982    0.119639    1.728661    
3           7         2           97.0300     0.158454    0.110762    1.587778    
3           8         2           96.6300     0.122700    0.101931    1.683170    
3           9         2           95.0200     0.156120    0.092923    1.536966    
4           0         2           96.7800     0.151904    0.102033    1.516943    
4           1         2           97.2200     0.159077    0.091453    1.468020    
4           2         2           97.0600     0.144572    0.081789    1.397339    
4           3         2           96.5100     0.148672    0.092852    1.357442    
4           4         2           97.3900     0.141931    0.098047    1.524466    
4           5         2           97.7200     0.164430    0.092748    1.392443    
4           6         2           97.0800     0.144145    0.096831    1.566125    
4           7         2           97.6600     0.148486    0.078935    1.364398    
4           8         2           97.5200     0.163103    0.088288    1.477168    
4           9         2           96.3300     0.149093    0.074877    1.369017    
5           0         2           98.1100     0.171575    0.078616    1.312022    
5           1         2           97.9000     0.149619    0.075519    1.317680    
5           2         2           97.6500     0.167036    0.079160    1.300966    
5           3         2           97.9300     0.167615    0.076254    1.242575    
5           4         2           97.9800     0.156163    0.076287    1.327115    
5           5         2           97.8100     0.154918    0.068271    1.310462    
5           6         2           97.5200     0.150310    0.070116    1.342387    
5           7         2           96.8100     0.159978    0.067183    1.227394    
5           8         2           97.5500     0.149673    0.070844    1.264163    
5           9         2           97.7500     0.167698    0.064131    1.152990    
6           0         2           97.9200     0.150629    0.068125    1.207582    
6           1         2           97.1900     0.140409    0.059909    1.257583    
6           2         2           97.9900     0.175646    0.071199    1.196592    
6           3         2           97.8600     0.173636    0.056042    1.131021    
6           4         2           98.2000     0.148795    0.063628    1.227602    
6           5         2           98.0500     0.172483    0.065548    1.205391    
6           6         2           97.8600     0.159343    0.064480    1.200870    
6           7         2           97.7900     0.171513    0.060702    1.126708    
6           8         2           97.8300     0.158212    0.066748    1.192073    
6           9         2           97.4000     0.164667    0.041564    1.045269    
7           0         2           97.2200     0.162890    0.059988    1.161832    
7           1         2           98.4500     0.147410    0.055859    1.207068    
7           2         2           97.4800     0.166397    0.058556    1.149881    
7           3         2           97.6600     0.173576    0.054523    1.096276    
7           4         2           97.9000     0.163650    0.057483    1.120647    
7           5         2           96.2300     0.161713    0.065419    1.166025    
7           6         2           98.3200     0.181317    0.055086    1.157113    
7           7         2           98.0900     0.168122    0.051990    1.029046    
7           8         2           97.2000     0.140550    0.052560    1.093777    
7           9         2           97.4900     0.156649    0.053889    1.106412    
8           0         2           97.3100     0.181344    0.046587    1.057299    
8           1         2           98.3700     0.163172    0.053378    1.158343    
8           2         2           98.4500     0.180696    0.045864    1.043357    
8           3         2           98.2000     0.160679    0.050990    1.069147    
8           4         2           98.3900     0.154923    0.055235    1.067520    
8           5         2           97.7300     0.174484    0.047360    1.058748    
8           6         2           98.3300     0.161752    0.066004    1.169630    
8           7         2           97.6900     0.178869    0.057767    1.033128    
8           8         2           98.3900     0.172978    0.039303    0.963612    
8           9         2           97.9700     0.189466    0.044404    0.986673    
9           0         2           98.3200     0.171218    0.043310    1.046013    
9           1         2           98.0000     0.167450    0.060740    1.178991    
9           2         2           98.2500     0.141610    0.046344    1.052049    
9           3         2           98.6500     0.160680    0.043552    1.021644    
9           4         2           97.8100     0.172933    0.048710    1.058879    
9           5         2           98.3200     0.187799    0.053047    1.005820    
