GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         2           58.8400     0.080054    0.163954    2.661977    
1           1         2           37.9400     0.051195    0.268811    2.493822    
1           2         2           45.7700     0.147557    0.145420    1.826973    
1           3         2           47.3200     0.035658    0.222649    2.836291    
1           4         2           33.5600     0.023830    0.291406    3.212835    
1           5         2           37.0100     0.025675    0.192553    2.813698    
1           6         2           46.6400     0.063401    0.196133    2.157639    
1           7         2           18.8300     0.019012    0.675389    3.297000    
1           8         2           27.6400     0.385894    0.123579    1.140490    
1           9         2           35.3200     0.013951    0.359288    3.320972    
2           0         2           57.6200     0.070329    0.137736    2.565465    
2           1         2           43.0200     0.022689    0.229637    3.281939    
2           2         2           56.8500     0.129428    0.119497    1.860137    
2           3         2           55.5100     0.047069    0.183099    2.730710    
2           4         2           41.7700     0.076798    0.135961    2.293275    
2           5         2           39.1800     0.027689    0.140264    2.890317    
2           6         2           52.5300     0.151833    0.112456    1.799479    
2           7         2           26.5700     0.016462    0.332002    3.625544    
2           8         2           43.1100     0.261422    0.068827    1.029938    
2           9         2           39.6000     0.033517    0.213805    2.955469    
3           0         2           60.3500     0.086140    0.118742    2.389444    
3           1         2           67.5800     0.039465    0.149384    2.939350    
3           2         2           57.0000     0.144614    0.091650    1.800989    
3           3         2           57.7300     0.037672    0.132878    2.751090    
3           4         2           52.9600     0.083436    0.111947    2.081781    
3           5         2           49.2800     0.042365    0.087944    2.310715    
3           6         2           65.2400     0.144535    0.067948    1.727429    
3           7         2           32.9100     0.030409    0.142241    2.977950    
3           8         2           41.8900     0.247331    0.054446    1.197274    
3           9         2           41.2400     0.057999    0.158078    2.520630    
4           0         2           65.1700     0.072657    0.104158    2.140905    
4           1         2           70.7700     0.054013    0.097394    2.191626    
4           2         2           61.5500     0.164200    0.078773    1.585484    
4           3         2           63.3300     0.066437    0.105500    2.384312    
4           4         2           51.3700     0.097011    0.100117    1.871578    
4           5         2           59.1600     0.073943    0.071211    2.062391    
4           6         2           72.3800     0.151566    0.063665    1.346010    
4           7         2           60.6800     0.039195    0.106292    2.521144    
4           8         2           44.9000     0.219342    0.045164    0.989165    
4           9         2           44.3400     0.080406    0.123964    2.108186    
5           0         2           71.3700     0.116438    0.097003    1.905562    
5           1         2           73.3700     0.077927    0.081608    1.958887    
5           2         2           53.0600     0.128025    0.064161    1.524197    
5           3         2           73.8400     0.063939    0.082726    2.056680    
5           4         2           53.7800     0.080094    0.069260    1.528975    
5           5         2           59.6700     0.078607    0.049430    1.637452    
5           6         2           70.6300     0.177940    0.066509    1.134970    
5           7         2           80.6800     0.052276    0.073771    1.726324    
5           8         2           65.9000     0.193983    0.041419    0.952613    
5           9         2           60.3100     0.079489    0.082622    1.860270    
6           0         2           64.0900     0.109591    0.085399    1.761828    
6           1         2           75.3200     0.069444    0.076849    1.815421    
6           2         2           73.5000     0.110294    0.054780    1.375528    
6           3         2           83.9000     0.071512    0.084126    1.864380    
6           4         2           61.5300     0.111031    0.061823    1.458458    
6           5         2           64.3800     0.077175    0.042966    1.440382    
6           6         2           81.4300     0.185019    0.041932    1.002389    
6           7         2           77.3100     0.048501    0.061125    1.828370    
6           8         2           51.9400     0.295650    0.039397    0.864982    
6           9         2           63.8000     0.092122    0.090305    1.860286    
7           0         2           64.5200     0.117158    0.076147    1.654959    
7           1         2           75.8800     0.066970    0.072388    1.830692    
7           2         2           76.7800     0.116622    0.052337    1.338073    
7           3         2           80.6000     0.079563    0.074110    1.702404    
7           4         2           61.9200     0.101299    0.054511    1.375712    
7           5         2           64.0700     0.089472    0.044811    1.352600    
7           6         2           83.9200     0.249044    0.042744    0.929038    
7           7         2           86.3800     0.058765    0.052887    1.691026    
7           8         2           55.1500     0.362967    0.033638    0.865561    
7           9         2           71.3000     0.084259    0.080863    1.664895    
8           0         2           73.8200     0.110834    0.073307    1.591457    
8           1         2           80.9900     0.088289    0.060917    1.660325    
8           2         2           80.1800     0.122436    0.051207    1.382030    
8           3         2           88.1800     0.093643    0.065321    1.528021    
8           4         2           73.9300     0.127026    0.050861    1.275064    
8           5         2           70.1100     0.101563    0.035318    1.227722    
8           6         2           83.4000     0.183744    0.031713    0.822700    
8           7         2           81.5100     0.080329    0.033125    1.307523    
8           8         2           54.7400     0.200932    0.039321    0.838270    
