GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         2           86.2100     0.116268    0.215527    2.832527    
1           1         2           91.9700     0.202675    0.174459    1.978591    
1           2         2           86.5300     0.079506    0.243488    3.204033    
1           3         2           95.2300     0.124728    0.172745    2.513323    
1           4         2           82.5400     0.075763    0.311349    3.190647    
2           0         2           95.6100     0.134115    0.110313    1.880832    
2           1         2           92.5100     0.161693    0.111932    1.733342    
2           2         2           93.2400     0.127621    0.101799    1.864072    
2           3         2           96.5900     0.152181    0.110365    1.908359    
2           4         2           95.0000     0.122060    0.133602    2.088779    
3           0         2           91.8500     0.157098    0.074994    1.355885    
3           1         2           94.7700     0.198717    0.084446    1.291986    
3           2         2           94.3500     0.147765    0.067929    1.344576    
3           3         2           97.0600     0.161583    0.075210    1.299778    
3           4         2           97.1600     0.159791    0.096166    1.492819    
4           0         2           96.3600     0.162134    0.057652    1.161919    
4           1         2           96.8000     0.152260    0.056085    1.120902    
4           2         2           96.9500     0.157598    0.054956    1.111039    
4           3         2           96.9100     0.158248    0.053974    1.099504    
4           4         2           98.1200     0.172591    0.063830    1.188446    
5           0         2           96.1000     0.171137    0.053323    1.039482    
5           1         2           96.8900     0.198962    0.051593    1.027246    
5           2         2           97.2900     0.169487    0.043327    1.016971    
5           3         2           96.9800     0.191490    0.048605    0.982356    
5           4         2           97.5900     0.201873    0.059021    1.001520    
6           0         2           96.3800     0.164886    0.045067    0.961643    
6           1         2           97.2300     0.213393    0.049099    0.940380    
6           2         2           97.9100     0.159098    0.041199    0.965330    
6           3         2           98.0700     0.210562    0.042588    0.893464    
6           4         2           97.7400     0.201616    0.057399    1.057608    
7           0         2           97.9700     0.176419    0.046146    0.978756    
7           1         2           97.6600     0.215527    0.040316    0.897921    
7           2         2           98.2600     0.181437    0.029719    0.861659    
7           3         2           98.2400     0.204203    0.039696    0.880333    
7           4         2           98.2900     0.194756    0.039599    1.002502    
8           0         2           97.6700     0.196924    0.045243    0.916975    
8           1         2           97.8900     0.243255    0.037664    0.863206    
8           2         2           98.0200     0.163194    0.030684    0.908858    
8           3         2           98.2400     0.208381    0.033034    0.787071    
8           4         2           97.6300     0.181182    0.048393    1.057300    
9           0         2           97.1000     0.185847    0.047321    0.951356    
9           1         2           97.4600     0.293883    0.034044    0.832071    
9           2         2           97.9400     0.246602    0.029801    0.861414    
9           3         2           98.5000     0.254859    0.031222    0.786854    
9           4         2           98.1100     0.226579    0.032140    0.776405    
10          0         2           97.4400     0.213461    0.037798    0.851976    
10          1         2           97.7800     0.230790    0.037652    0.857562    
10          2         2           97.4200     0.289049    0.026213    0.792773    
10          3         2           98.6500     0.284265    0.026209    0.711252    
10          4         2           98.7300     0.224872    0.030436    0.867590    
11          0         2           97.3700     0.247465    0.039015    0.905591    
11          1         2           97.9200     0.273441    0.033263    0.841151    
11          2         2           98.4800     0.321527    0.024293    0.804054    
11          3         2           98.4000     0.330681    0.026013    0.756893    
11          4         2           97.9900     0.159026    0.050207    0.963899    
12          0         2           97.4900     0.234754    0.031160    0.813985    
12          1         2           98.4000     0.315778    0.027876    0.816477    
12          2         2           98.5100     0.319917    0.027991    0.832231    
12          3         2           98.3500     0.369518    0.028132    0.718909    
12          4         2           98.5800     0.271026    0.025577    0.847888    
13          0         2           97.9900     0.226148    0.029644    0.891988    
13          1         2           98.1100     0.282356    0.030043    0.851065    
13          2         2           97.5000     0.258259    0.033266    0.894266    
13          3         2           97.9100     0.692803    0.030933    0.748666    
13          4         2           98.5900     0.206036    0.035792    0.906503    
14          0         2           98.5000     0.268974    0.025785    0.782273    
14          1         2           98.4400     0.263944    0.032806    0.851271    
14          2         2           98.0800     0.292785    0.021814    0.786065    
14          3         2           97.0700     0.143862    0.044430    0.915735    
14          4         2           98.7400     0.183543    0.030397    0.823347    
15          0         2           98.3300     0.244290    0.030831    0.778761    
15          1         2           98.5400     0.312199    0.027389    0.779269    
15          2         2           98.3200     0.543880    0.020156    0.799601    
15          3         2           98.3500     0.203664    0.033008    0.774146    
15          4         2           98.7800     0.282082    0.027834    0.818355    
16          0         2           98.2600     0.311881    0.026432    0.816159    
16          1         2           98.8200     0.361932    0.036653    0.923353    
16          2         2           97.5300     0.711237    0.023207    0.759631    
16          3         2           98.7800     0.767435    0.028760    0.745764    
16          4         2           98.8400     0.345059    0.023126    0.860034    
17          0         2           98.7600     0.343200    0.031001    0.889872    
17          1         2           98.6800     0.711717    0.028149    0.820551    
17          2         2           98.2400     0.285897    0.028472    0.784252    
17          3         2           98.8900     0.601720    0.029163    0.799617    
17          4         2           98.8600     0.212368    0.031127    0.944091    
18          0         2           97.2900     0.248488    0.032019    0.900287    
18          1         2           98.4000     0.992629    0.033268    0.894523    
18          2         2           98.4700     0.628005    0.020109    0.823284    
18          3         2           98.6400     0.905981    0.031712    0.825651    
18          4         2           98.8600     0.507486    0.032500    0.865246    
19          0         2           98.3900     0.351968    0.031470    0.866423    
19          1         2           98.6800     0.719010    0.036089    0.971397    
19          2         2           98.3200     0.710465    0.023437    0.857863    
19          3         2           98.6600     0.347302    0.032521    0.907001    
19          4         2           98.9900     0.290955    0.039943    1.014093    
20          0         2           98.8500     0.833655    0.034293    0.916471    
20          1         2           98.7200     0.224252    0.042013    1.070324    
20          2         2           98.6000     0.978895    0.021935    0.873096    
20          3         2           98.6500     0.347566    0.029992    0.893828    
20          4         2           98.8500     0.200701    0.042167    1.062244    
21          0         2           97.3300     0.291130    0.027288    0.926388    
21          1         2           98.7700     1.425450    0.036679    0.959669    
21          2         2           98.4400     0.678973    0.021822    0.809439    
21          3         2           98.8300     0.583945    0.028993    0.868191    
21          4         2           98.6900     0.403717    0.035317    0.972392    
22          0         2           98.5900     0.449826    0.029728    0.952939    
22          1         2           99.0400     1.701811    0.037578    1.040568    
22          2         2           98.7800     1.183336    0.023579    0.868300    
22          3         2           98.4600     0.709043    0.034028    0.930500    
22          4         2           98.7300     0.505528    0.041130    1.061098    
23          0         2           99.0100     0.581684    0.037664    1.014342    
23          1         2           98.6900     0.600886    0.034201    1.002639    
23          2         2           98.5200     1.220890    0.027319    0.918423    
23          3         2           98.8000     1.300197    0.030440    0.904904    
23          4         2           99.0500     1.128193    0.037691    1.003476    
24          0         2           98.0500     0.268594    0.034810    1.129936    
24          1         2           98.6200     0.490078    0.041508    1.152343    
24          2         2           98.7900     1.738791    0.025788    0.963229    
24          3         2           98.8200     1.936651    0.030549    0.923133    
24          4         2           99.0200     0.746601    0.038490    1.081201    
25          0         2           98.9700     0.844157    0.039026    1.096573    
25          1         2           98.8500     1.597192    0.040952    1.122375    
25          2         2           98.8100     1.085807    0.024959    0.961811    
25          3         2           98.8800     2.245103    0.031878    0.974191    
25          4         2           99.0400     0.533163    0.041034    1.122364    
26          0         2           98.5500     0.226950    0.031485    1.105445    
26          1         2           98.7700     1.172297    0.045678    1.231672    
26          2         2           98.9000     1.830400    0.026686    1.029366    
26          3         2           98.7600     1.667937    0.032219    0.995592    
26          4         2           98.8400     0.377333    0.049717    1.167448    
27          0         2           99.0400     0.668803    0.036541    1.031748    
27          1         2           98.9200     1.628321    0.041657    1.135403    
27          2         2           98.7400     1.812231    0.023188    0.940412    
27          3         2           98.9500     2.447233    0.033882    1.021547    
27          4         2           99.0100     1.437444    0.037431    1.078570    
28          0         2           98.9800     1.752530    0.040651    1.100139    
28          1         2           98.8600     2.345298    0.043410    1.196750    
28          2         2           98.8700     1.775789    0.026010    1.013059    
28          3         2           98.8100     0.643735    0.025040    1.017018    
28          4         2           99.0400     1.766254    0.039831    1.043419    
29          0         2           98.9100     1.393246    0.040398    1.191086    
29          1         2           98.8100     3.179002    0.045179    1.229166    
29          2         2           98.9300     2.079437    0.027031    1.033369    
29          3         2           98.9600     1.740599    0.035139    1.028410    
29          4         2           98.9400     0.163148    0.066859    1.462509    
30          0         2           99.0200     1.288377    0.047220    1.178716    
30          1         2           98.7100     0.401034    0.037067    1.175857    
30          2         2           98.7100     2.034311    0.027544    1.025263    
30          3         2           98.9500     1.579497    0.036872    1.122158    
30          4         2           98.9900     1.308331    0.045374    1.241998    
31          0         2           98.9400     2.547147    0.043321    1.216011    
31          1         2           98.3500     2.706971    0.050060    1.307136    
31          2         2           98.8900     2.483865    0.028403    1.064409    
31          3         2           98.9400     2.759911    0.036529    1.080479    
31          4         2           98.8700     0.152145    0.072364    1.488747    
32          0         2           99.0400     2.184561    0.045688    1.221932    
32          1         2           98.7200     0.654998    0.042049    1.289627    
32          2         2           98.6900     3.069736    0.028356    1.087740    
32          3         2           98.9800     3.578180    0.036501    1.113208    
32          4         2           98.8500     1.044221    0.054343    1.367586    
33          0         2           98.9900     1.711715    0.044725    1.206473    
33          1         2           98.8700     2.944597    0.045902    1.292864    
33          2         2           98.7800     2.475455    0.026449    1.124966    
33          3         2           98.6800     0.663572    0.035678    1.125063    
33          4         2           98.8900     0.307273    0.038307    1.418298    
34          0         2           98.9400     1.382176    0.045456    1.210661    
34          1         2           98.9800     3.148856    0.048186    1.276769    
34          2         2           98.9000     2.340341    0.031250    1.151551    
34          3         2           98.8900     3.339273    0.035799    1.083873    
34          4         2           99.0000     1.669667    0.044277    1.223923    
35          0         2           98.9100     2.167600    0.047604    1.276796    
35          1         2           98.8400     3.119379    0.049907    1.350568    
35          2         2           98.9300     3.035364    0.032498    1.162813    
35          3         2           98.7800     3.666256    0.038958    1.130567    
35          4         2           99.0200     1.205435    0.048719    1.362358    
36          0         2           98.9700     2.158409    0.048385    1.318893    
36          1         2           98.8400     3.883420    0.050980    1.355742    
36          2         2           98.9000     4.143960    0.032778    1.222167    
36          3         2           98.9100     2.818455    0.040715    1.197094    
36          4         2           99.0000     1.866568    0.047408    1.368847    
37          0         2           98.6200     0.168595    0.038686    1.466576    
37          1         2           98.9000     3.183667    0.052239    1.408382    
37          2         2           98.8500     3.134459    0.032394    1.216180    
37          3         2           98.8600     3.271010    0.039091    1.174091    
37          4         2           99.0400     2.200509    0.052305    1.342486    
38          0         2           98.9700     2.472156    0.052120    1.425524    
38          1         2           98.8600     3.828245    0.054537    1.459901    
38          2         2           98.6900     3.826707    0.032447    1.221362    
38          3         2           98.8300     2.414460    0.041765    1.226116    
38          4         2           99.0600     3.095603    0.051193    1.325053    
39          0         2           98.8100     3.335132    0.050788    1.385780    
39          1         2           98.9100     4.808936    0.056008    1.411450    
39          2         2           98.8100     4.393443    0.034170    1.277215    
39          3         2           98.8500     4.694350    0.042075    1.243926    
39          4         2           98.9700     1.280708    0.041160    1.414243    
40          0         2           97.8100     2.150303    0.066483    1.570351    
40          1         2           98.9900     4.045435    0.053846    1.437973    
40          2         2           98.8000     3.577324    0.034998    1.292075    
40          3         2           98.8700     2.618097    0.044325    1.291897    
40          4         2           99.0300     2.479643    0.045674    1.322289    
41          0         2           98.9300     2.834640    0.054734    1.463851    
41          1         2           98.8700     3.222672    0.055113    1.492846    
41          2         2           98.7100     4.734343    0.036177    1.282892    
41          3         2           98.7900     5.480963    0.043267    1.201848    
41          4         2           98.8100     0.323486    0.046227    1.468277    
42          0         2           98.9000     2.836447    0.053116    1.474406    
42          1         2           98.9200     4.539417    0.055925    1.500884    
42          2         2           98.8400     3.531524    0.036491    1.319564    
42          3         2           98.8900     4.669483    0.046884    1.240226    
42          4         2           98.9600     1.274512    0.055112    1.458853    
43          0         2           99.0000     3.152825    0.057333    1.515493    
43          1         2           98.9600     3.822905    0.056775    1.524881    
43          2         2           98.8400     3.557432    0.037619    1.330741    
43          3         2           98.9800     4.670006    0.044360    1.240196    
43          4         2           98.9600     2.910529    0.055061    1.488336    
44          0         2           99.0300     2.303092    0.051997    1.460341    
44          1         2           98.7700     4.902816    0.059248    1.545951    
44          2         2           98.9100     2.623989    0.036956    1.355923    
44          3         2           98.8500     4.765572    0.047194    1.321308    
44          4         2           98.7600     0.380196    0.077488    1.759322    
45          0         2           98.9200     3.340332    0.057411    1.536422    
45          1         2           98.8300     2.689151    0.058979    1.600959    
45          2         2           98.8700     3.796959    0.038841    1.464776    
45          3         2           98.8000     5.690128    0.047001    1.277031    
45          4         2           98.6400     0.192295    0.048963    1.827931    
46          0         2           98.9800     4.292981    0.056308    1.455463    
46          1         2           98.7900     1.363324    0.058308    1.562646    
46          2         2           98.8800     4.340071    0.036367    1.429586    
46          3         2           98.9400     4.843737    0.046192    1.283334    
46          4         2           99.0200     2.636126    0.054916    1.613780    
47          0         2           98.9400     5.203703    0.055796    1.520425    
47          1         2           98.9800     4.421277    0.058756    1.573013    
47          2         2           98.6700     4.486773    0.037118    1.402156    
47          3         2           98.8600     5.413173    0.045758    1.307063    
47          4         2           98.9600     1.377841    0.058935    1.637343    
48          0         2           98.8800     3.314596    0.055839    1.556061    
48          1         2           98.8500     4.102326    0.056678    1.583970    
48          2         2           98.8800     3.372502    0.041651    1.456136    
48          3         2           98.8600     5.258073    0.049107    1.276805    
48          4         2           99.0400     2.876904    0.055327    1.595095    
49          0         2           98.9200     3.605109    0.058045    1.531801    
49          1         2           98.9000     4.198236    0.058631    1.632206    
49          2         2           98.8600     4.302517    0.040209    1.448994    
49          3         2           98.8800     4.115030    0.049782    1.348697    
49          4         2           99.0100     3.153964    0.057172    1.544420    
50          0         2           98.9100     5.064878    0.059008    1.559957    
50          1         2           98.8100     5.291526    0.059446    1.618726    
50          2         2           98.8300     2.108295    0.038520    1.595747    
50          3         2           98.9100     5.092513    0.049614    1.318439    
50          4         2           98.9900     1.806159    0.061617    1.711272    
